Species	MIP	Ind	Coverage
Amb_tex	100	14829-Ambt-APG	123
Amb_tex	101	14829-Ambt-APG	253
Amb_tex	102	14829-Ambt-APG	27
Amb_tex	103	14829-Ambt-APG	224
Amb_tex	104	14829-Ambt-APG	15
Amb_tex	105	14829-Ambt-APG	24
Amb_tex	106	14829-Ambt-APG	38
Amb_tex	107	14829-Ambt-APG	51
Amb_tex	108	14829-Ambt-APG	66
Amb_tex	109	14829-Ambt-APG	301
Amb_tex	10	14829-Ambt-APG	91
Amb_tex	110	14829-Ambt-APG	40
Amb_tex	111	14829-Ambt-APG	155
Amb_tex	112	14829-Ambt-APG	101
Amb_tex	113	14829-Ambt-APG	11
Amb_tex	114	14829-Ambt-APG	202
Amb_tex	115	14829-Ambt-APG	0
Amb_tex	116	14829-Ambt-APG	0
Amb_tex	117	14829-Ambt-APG	40
Amb_tex	118	14829-Ambt-APG	22
Amb_tex	119	14829-Ambt-APG	19
Amb_tex	11	14829-Ambt-APG	64
Amb_tex	120	14829-Ambt-APG	12
Amb_tex	121	14829-Ambt-APG	0
Amb_tex	122	14829-Ambt-APG	71
Amb_tex	123	14829-Ambt-APG	210
Amb_tex	124	14829-Ambt-APG	20
Amb_tex	125	14829-Ambt-APG	0
Amb_tex	126	14829-Ambt-APG	107
Amb_tex	127	14829-Ambt-APG	82
Amb_tex	128	14829-Ambt-APG	17
Amb_tex	129	14829-Ambt-APG	42
Amb_tex	12	14829-Ambt-APG	0
Amb_tex	130	14829-Ambt-APG	17
Amb_tex	131	14829-Ambt-APG	144
Amb_tex	132	14829-Ambt-APG	165
Amb_tex	133	14829-Ambt-APG	92
Amb_tex	134	14829-Ambt-APG	212
Amb_tex	135	14829-Ambt-APG	2
Amb_tex	136	14829-Ambt-APG	54
Amb_tex	137	14829-Ambt-APG	30
Amb_tex	138	14829-Ambt-APG	153
Amb_tex	139	14829-Ambt-APG	76
Amb_tex	13	14829-Ambt-APG	0
Amb_tex	140	14829-Ambt-APG	116
Amb_tex	141	14829-Ambt-APG	166
Amb_tex	142	14829-Ambt-APG	45
Amb_tex	143	14829-Ambt-APG	123
Amb_tex	144	14829-Ambt-APG	143
Amb_tex	145	14829-Ambt-APG	0
Amb_tex	146	14829-Ambt-APG	4
Amb_tex	147	14829-Ambt-APG	202
Amb_tex	148	14829-Ambt-APG	370
Amb_tex	149	14829-Ambt-APG	41
Amb_tex	14	14829-Ambt-APG	141
Amb_tex	150	14829-Ambt-APG	113
Amb_tex	151	14829-Ambt-APG	70
Amb_tex	152	14829-Ambt-APG	0
Amb_tex	153	14829-Ambt-APG	0
Amb_tex	15	14829-Ambt-APG	205
Amb_tex	16	14829-Ambt-APG	230
Amb_tex	17	14829-Ambt-APG	279
Amb_tex	18	14829-Ambt-APG	25
Amb_tex	19	14829-Ambt-APG	97
Amb_tex	1	14829-Ambt-APG	191
Amb_tex	20	14829-Ambt-APG	5
Amb_tex	21	14829-Ambt-APG	56
Amb_tex	22	14829-Ambt-APG	36
Amb_tex	23	14829-Ambt-APG	261
Amb_tex	24	14829-Ambt-APG	50
Amb_tex	25	14829-Ambt-APG	171
Amb_tex	26	14829-Ambt-APG	197
Amb_tex	27	14829-Ambt-APG	264
Amb_tex	28	14829-Ambt-APG	93
Amb_tex	29	14829-Ambt-APG	135
Amb_tex	2	14829-Ambt-APG	13
Amb_tex	30	14829-Ambt-APG	151
Amb_tex	31	14829-Ambt-APG	123
Amb_tex	32	14829-Ambt-APG	61
Amb_tex	33	14829-Ambt-APG	63
Amb_tex	34	14829-Ambt-APG	7
Amb_tex	35	14829-Ambt-APG	69
Amb_tex	36	14829-Ambt-APG	98
Amb_tex	37	14829-Ambt-APG	0
Amb_tex	38	14829-Ambt-APG	58
Amb_tex	39	14829-Ambt-APG	67
Amb_tex	3	14829-Ambt-APG	157
Amb_tex	40	14829-Ambt-APG	92
Amb_tex	41	14829-Ambt-APG	107
Amb_tex	42	14829-Ambt-APG	78
Amb_tex	43	14829-Ambt-APG	62
Amb_tex	44	14829-Ambt-APG	1
Amb_tex	45	14829-Ambt-APG	0
Amb_tex	46	14829-Ambt-APG	0
Amb_tex	47	14829-Ambt-APG	331
Amb_tex	48	14829-Ambt-APG	46
Amb_tex	49	14829-Ambt-APG	163
Amb_tex	4	14829-Ambt-APG	43
Amb_tex	50	14829-Ambt-APG	23
Amb_tex	51	14829-Ambt-APG	116
Amb_tex	52	14829-Ambt-APG	1
Amb_tex	53	14829-Ambt-APG	150
Amb_tex	54	14829-Ambt-APG	2
Amb_tex	55	14829-Ambt-APG	218
Amb_tex	56	14829-Ambt-APG	132
Amb_tex	57	14829-Ambt-APG	47
Amb_tex	58	14829-Ambt-APG	177
Amb_tex	59	14829-Ambt-APG	72
Amb_tex	5	14829-Ambt-APG	0
Amb_tex	60	14829-Ambt-APG	378
Amb_tex	61	14829-Ambt-APG	110
Amb_tex	62	14829-Ambt-APG	31
Amb_tex	63	14829-Ambt-APG	212
Amb_tex	64	14829-Ambt-APG	67
Amb_tex	65	14829-Ambt-APG	356
Amb_tex	66	14829-Ambt-APG	111
Amb_tex	67	14829-Ambt-APG	0
Amb_tex	68	14829-Ambt-APG	82
Amb_tex	69	14829-Ambt-APG	458
Amb_tex	6	14829-Ambt-APG	507
Amb_tex	70	14829-Ambt-APG	241
Amb_tex	71	14829-Ambt-APG	184
Amb_tex	72	14829-Ambt-APG	165
Amb_tex	73	14829-Ambt-APG	145
Amb_tex	74	14829-Ambt-APG	390
Amb_tex	75	14829-Ambt-APG	262
Amb_tex	76	14829-Ambt-APG	144
Amb_tex	77	14829-Ambt-APG	137
Amb_tex	78	14829-Ambt-APG	159
Amb_tex	79	14829-Ambt-APG	148
Amb_tex	7	14829-Ambt-APG	83
Amb_tex	80	14829-Ambt-APG	90
Amb_tex	81	14829-Ambt-APG	215
Amb_tex	82	14829-Ambt-APG	163
Amb_tex	83	14829-Ambt-APG	62
Amb_tex	84	14829-Ambt-APG	203
Amb_tex	85	14829-Ambt-APG	240
Amb_tex	86	14829-Ambt-APG	8
Amb_tex	87	14829-Ambt-APG	1
Amb_tex	88	14829-Ambt-APG	84
Amb_tex	89	14829-Ambt-APG	210
Amb_tex	8	14829-Ambt-APG	275
Amb_tex	90	14829-Ambt-APG	136
Amb_tex	91	14829-Ambt-APG	30
Amb_tex	92	14829-Ambt-APG	66
Amb_tex	93	14829-Ambt-APG	137
Amb_tex	94	14829-Ambt-APG	198
Amb_tex	95	14829-Ambt-APG	223
Amb_tex	96	14829-Ambt-APG	121
Amb_tex	97	14829-Ambt-APG	6
Amb_tex	98	14829-Ambt-APG	30
Amb_tex	99	14829-Ambt-APG	64
Amb_tex	9	14829-Ambt-APG	75
Amb_tex	100	14830-Ambt-APG	45
Amb_tex	101	14830-Ambt-APG	82
Amb_tex	102	14830-Ambt-APG	6
Amb_tex	103	14830-Ambt-APG	93
Amb_tex	104	14830-Ambt-APG	0
Amb_tex	105	14830-Ambt-APG	9
Amb_tex	106	14830-Ambt-APG	13
Amb_tex	107	14830-Ambt-APG	25
Amb_tex	108	14830-Ambt-APG	19
Amb_tex	109	14830-Ambt-APG	59
Amb_tex	10	14830-Ambt-APG	65
Amb_tex	110	14830-Ambt-APG	17
Amb_tex	111	14830-Ambt-APG	30
Amb_tex	112	14830-Ambt-APG	22
Amb_tex	113	14830-Ambt-APG	0
Amb_tex	114	14830-Ambt-APG	66
Amb_tex	115	14830-Ambt-APG	0
Amb_tex	116	14830-Ambt-APG	0
Amb_tex	117	14830-Ambt-APG	10
Amb_tex	118	14830-Ambt-APG	6
Amb_tex	119	14830-Ambt-APG	0
Amb_tex	11	14830-Ambt-APG	22
Amb_tex	120	14830-Ambt-APG	6
Amb_tex	121	14830-Ambt-APG	2
Amb_tex	122	14830-Ambt-APG	17
Amb_tex	123	14830-Ambt-APG	133
Amb_tex	124	14830-Ambt-APG	7
Amb_tex	125	14830-Ambt-APG	0
Amb_tex	126	14830-Ambt-APG	21
Amb_tex	127	14830-Ambt-APG	20
Amb_tex	128	14830-Ambt-APG	7
Amb_tex	129	14830-Ambt-APG	17
Amb_tex	12	14830-Ambt-APG	0
Amb_tex	130	14830-Ambt-APG	8
Amb_tex	131	14830-Ambt-APG	49
Amb_tex	132	14830-Ambt-APG	56
Amb_tex	133	14830-Ambt-APG	22
Amb_tex	134	14830-Ambt-APG	58
Amb_tex	135	14830-Ambt-APG	5
Amb_tex	136	14830-Ambt-APG	8
Amb_tex	137	14830-Ambt-APG	0
Amb_tex	138	14830-Ambt-APG	46
Amb_tex	139	14830-Ambt-APG	9
Amb_tex	13	14830-Ambt-APG	0
Amb_tex	140	14830-Ambt-APG	47
Amb_tex	141	14830-Ambt-APG	55
Amb_tex	142	14830-Ambt-APG	9
Amb_tex	143	14830-Ambt-APG	30
Amb_tex	144	14830-Ambt-APG	62
Amb_tex	145	14830-Ambt-APG	0
Amb_tex	146	14830-Ambt-APG	1
Amb_tex	147	14830-Ambt-APG	92
Amb_tex	148	14830-Ambt-APG	149
Amb_tex	149	14830-Ambt-APG	5
Amb_tex	14	14830-Ambt-APG	37
Amb_tex	150	14830-Ambt-APG	15
Amb_tex	151	14830-Ambt-APG	20
Amb_tex	152	14830-Ambt-APG	0
Amb_tex	153	14830-Ambt-APG	0
Amb_tex	15	14830-Ambt-APG	37
Amb_tex	16	14830-Ambt-APG	71
Amb_tex	17	14830-Ambt-APG	19
Amb_tex	18	14830-Ambt-APG	14
Amb_tex	19	14830-Ambt-APG	23
Amb_tex	1	14830-Ambt-APG	54
Amb_tex	20	14830-Ambt-APG	1
Amb_tex	21	14830-Ambt-APG	40
Amb_tex	22	14830-Ambt-APG	10
Amb_tex	23	14830-Ambt-APG	82
Amb_tex	24	14830-Ambt-APG	13
Amb_tex	25	14830-Ambt-APG	59
Amb_tex	26	14830-Ambt-APG	69
Amb_tex	27	14830-Ambt-APG	74
Amb_tex	28	14830-Ambt-APG	34
Amb_tex	29	14830-Ambt-APG	47
