Species	MIP	Ind	Coverage
Amb_tig	100	14799-amb	222
Amb_tig	101	14799-amb	437
Amb_tig	102	14799-amb	67
Amb_tig	103	14799-amb	176
Amb_tig	104	14799-amb	54
Amb_tig	105	14799-amb	90
Amb_tig	106	14799-amb	146
Amb_tig	107	14799-amb	73
Amb_tig	108	14799-amb	111
Amb_tig	109	14799-amb	387
Amb_tig	10	14799-amb	157
Amb_tig	110	14799-amb	230
Amb_tig	111	14799-amb	195
Amb_tig	112	14799-amb	293
Amb_tig	113	14799-amb	253
Amb_tig	114	14799-amb	393
Amb_tig	115	14799-amb	370
Amb_tig	116	14799-amb	104
Amb_tig	117	14799-amb	93
Amb_tig	118	14799-amb	65
Amb_tig	119	14799-amb	95
Amb_tig	11	14799-amb	22
Amb_tig	120	14799-amb	115
Amb_tig	121	14799-amb	7
Amb_tig	122	14799-amb	73
Amb_tig	123	14799-amb	403
Amb_tig	124	14799-amb	363
Amb_tig	125	14799-amb	325
Amb_tig	126	14799-amb	97
Amb_tig	127	14799-amb	215
Amb_tig	128	14799-amb	123
Amb_tig	129	14799-amb	108
Amb_tig	12	14799-amb	0
Amb_tig	130	14799-amb	116
Amb_tig	131	14799-amb	271
Amb_tig	132	14799-amb	692
Amb_tig	133	14799-amb	356
Amb_tig	134	14799-amb	539
Amb_tig	135	14799-amb	105
Amb_tig	136	14799-amb	272
Amb_tig	137	14799-amb	73
Amb_tig	138	14799-amb	86
Amb_tig	139	14799-amb	22
Amb_tig	13	14799-amb	0
Amb_tig	140	14799-amb	128
Amb_tig	141	14799-amb	185
Amb_tig	142	14799-amb	26
Amb_tig	143	14799-amb	90
Amb_tig	144	14799-amb	195
Amb_tig	145	14799-amb	195
Amb_tig	146	14799-amb	125
Amb_tig	147	14799-amb	64
Amb_tig	148	14799-amb	114
Amb_tig	149	14799-amb	45
Amb_tig	14	14799-amb	76
Amb_tig	150	14799-amb	122
Amb_tig	151	14799-amb	85
Amb_tig	152	14799-amb	0
Amb_tig	153	14799-amb	0
Amb_tig	15	14799-amb	117
Amb_tig	16	14799-amb	227
Amb_tig	17	14799-amb	163
Amb_tig	18	14799-amb	178
Amb_tig	19	14799-amb	96
Amb_tig	1	14799-amb	118
Amb_tig	20	14799-amb	78
Amb_tig	21	14799-amb	77
Amb_tig	22	14799-amb	52
Amb_tig	23	14799-amb	158
Amb_tig	24	14799-amb	107
Amb_tig	25	14799-amb	178
Amb_tig	26	14799-amb	431
Amb_tig	27	14799-amb	230
Amb_tig	28	14799-amb	266
Amb_tig	29	14799-amb	189
Amb_tig	2	14799-amb	16
Amb_tig	30	14799-amb	258
Amb_tig	31	14799-amb	75
Amb_tig	32	14799-amb	47
Amb_tig	33	14799-amb	207
Amb_tig	34	14799-amb	7
Amb_tig	35	14799-amb	110
Amb_tig	36	14799-amb	0
Amb_tig	37	14799-amb	0
Amb_tig	38	14799-amb	73
Amb_tig	39	14799-amb	87
Amb_tig	3	14799-amb	99
Amb_tig	40	14799-amb	195
Amb_tig	41	14799-amb	174
Amb_tig	42	14799-amb	104
Amb_tig	43	14799-amb	368
Amb_tig	44	14799-amb	128
Amb_tig	45	14799-amb	0
Amb_tig	46	14799-amb	144
Amb_tig	47	14799-amb	325
Amb_tig	48	14799-amb	88
Amb_tig	49	14799-amb	300
Amb_tig	4	14799-amb	32
Amb_tig	50	14799-amb	287
Amb_tig	51	14799-amb	672
Amb_tig	52	14799-amb	322
Amb_tig	53	14799-amb	604
Amb_tig	54	14799-amb	902
Amb_tig	55	14799-amb	91
Amb_tig	56	14799-amb	102
Amb_tig	57	14799-amb	71
Amb_tig	58	14799-amb	169
Amb_tig	59	14799-amb	31
Amb_tig	5	14799-amb	0
Amb_tig	60	14799-amb	140
Amb_tig	61	14799-amb	61
Amb_tig	62	14799-amb	14
Amb_tig	63	14799-amb	331
Amb_tig	64	14799-amb	58
Amb_tig	65	14799-amb	287
Amb_tig	66	14799-amb	179
Amb_tig	67	14799-amb	0
Amb_tig	68	14799-amb	114
Amb_tig	69	14799-amb	167
Amb_tig	6	14799-amb	154
Amb_tig	70	14799-amb	111
Amb_tig	71	14799-amb	117
Amb_tig	72	14799-amb	183
Amb_tig	73	14799-amb	37
Amb_tig	74	14799-amb	176
Amb_tig	75	14799-amb	127
Amb_tig	76	14799-amb	130
Amb_tig	77	14799-amb	90
Amb_tig	78	14799-amb	217
Amb_tig	79	14799-amb	85
Amb_tig	7	14799-amb	64
Amb_tig	80	14799-amb	90
Amb_tig	81	14799-amb	193
Amb_tig	82	14799-amb	154
Amb_tig	83	14799-amb	97
Amb_tig	84	14799-amb	188
Amb_tig	85	14799-amb	189
Amb_tig	86	14799-amb	60
Amb_tig	87	14799-amb	63
Amb_tig	88	14799-amb	93
Amb_tig	89	14799-amb	213
Amb_tig	8	14799-amb	236
Amb_tig	90	14799-amb	93
Amb_tig	91	14799-amb	533
Amb_tig	92	14799-amb	116
Amb_tig	93	14799-amb	256
Amb_tig	94	14799-amb	331
Amb_tig	95	14799-amb	729
Amb_tig	96	14799-amb	577
Amb_tig	97	14799-amb	25
Amb_tig	98	14799-amb	62
Amb_tig	99	14799-amb	66
Amb_tig	9	14799-amb	158
Amb_tig	100	14800-amb	324
Amb_tig	101	14800-amb	625
Amb_tig	102	14800-amb	98
Amb_tig	103	14800-amb	264
Amb_tig	104	14800-amb	47
Amb_tig	105	14800-amb	130
Amb_tig	106	14800-amb	171
Amb_tig	107	14800-amb	84
Amb_tig	108	14800-amb	66
Amb_tig	109	14800-amb	585
Amb_tig	10	14800-amb	125
Amb_tig	110	14800-amb	311
Amb_tig	111	14800-amb	392
Amb_tig	112	14800-amb	311
Amb_tig	113	14800-amb	308
Amb_tig	114	14800-amb	322
Amb_tig	115	14800-amb	412
