Species	MIP	Ind	Coverage
And_dav	100	14202-and	83
And_dav	101	14202-and	67
And_dav	102	14202-and	274
And_dav	103	14202-and	109
And_dav	104	14202-and	293
And_dav	105	14202-and	187
And_dav	106	14202-and	65
And_dav	107	14202-and	81
And_dav	108	14202-and	0
And_dav	109	14202-and	189
And_dav	10	14202-and	0
And_dav	110	14202-and	216
And_dav	111	14202-and	395
And_dav	112	14202-and	1
And_dav	113	14202-and	85
And_dav	114	14202-and	90
And_dav	115	14202-and	0
And_dav	116	14202-and	72
And_dav	117	14202-and	0
And_dav	118	14202-and	54
And_dav	119	14202-and	199
And_dav	11	14202-and	76
And_dav	120	14202-and	28
And_dav	121	14202-and	467
And_dav	122	14202-and	79
And_dav	123	14202-and	92
And_dav	124	14202-and	0
And_dav	125	14202-and	262
And_dav	126	14202-and	308
And_dav	127	14202-and	134
And_dav	128	14202-and	97
And_dav	129	14202-and	322
And_dav	12	14202-and	0
And_dav	130	14202-and	8
And_dav	131	14202-and	0
And_dav	132	14202-and	27
And_dav	133	14202-and	151
And_dav	134	14202-and	115
And_dav	135	14202-and	0
And_dav	136	14202-and	196
And_dav	137	14202-and	68
And_dav	138	14202-and	145
And_dav	139	14202-and	22
And_dav	13	14202-and	41
And_dav	140	14202-and	82
And_dav	141	14202-and	19
And_dav	142	14202-and	4
And_dav	143	14202-and	4
And_dav	144	14202-and	124
And_dav	145	14202-and	110
And_dav	146	14202-and	0
And_dav	147	14202-and	12
And_dav	148	14202-and	125
And_dav	149	14202-and	119
And_dav	14	14202-and	64
And_dav	150	14202-and	78
And_dav	151	14202-and	129
And_dav	152	14202-and	5
And_dav	153	14202-and	67
And_dav	154	14202-and	81
And_dav	155	14202-and	263
And_dav	15	14202-and	30
And_dav	16	14202-and	0
And_dav	17	14202-and	4
And_dav	18	14202-and	88
And_dav	19	14202-and	148
And_dav	1	14202-and	0
And_dav	20	14202-and	144
And_dav	21	14202-and	126
And_dav	22	14202-and	176
And_dav	23	14202-and	100
And_dav	24	14202-and	134
And_dav	25	14202-and	56
And_dav	26	14202-and	151
And_dav	27	14202-and	90
And_dav	28	14202-and	258
And_dav	29	14202-and	172
And_dav	2	14202-and	121
And_dav	30	14202-and	185
And_dav	31	14202-and	21
And_dav	32	14202-and	10
And_dav	33	14202-and	50
And_dav	34	14202-and	62
And_dav	35	14202-and	76
And_dav	36	14202-and	98
And_dav	37	14202-and	98
And_dav	38	14202-and	130
And_dav	39	14202-and	113
And_dav	3	14202-and	70
And_dav	40	14202-and	40
And_dav	41	14202-and	187
And_dav	42	14202-and	131
And_dav	43	14202-and	152
And_dav	44	14202-and	70
And_dav	45	14202-and	66
And_dav	46	14202-and	70
And_dav	47	14202-and	87
And_dav	48	14202-and	32
And_dav	49	14202-and	30
And_dav	4	14202-and	3
And_dav	50	14202-and	133
And_dav	51	14202-and	21
And_dav	52	14202-and	64
And_dav	53	14202-and	36
And_dav	54	14202-and	0
And_dav	55	14202-and	19
And_dav	56	14202-and	59
And_dav	57	14202-and	95
And_dav	58	14202-and	109
And_dav	59	14202-and	19
And_dav	5	14202-and	96
And_dav	60	14202-and	52
And_dav	61	14202-and	23
And_dav	62	14202-and	327
And_dav	63	14202-and	44
And_dav	64	14202-and	94
