Species	MIP	Ind	Coverage
Bat_att	133	14859-Bata-PSMB9	1648
Bat_att	134	14859-Bata-PSMB9	3987
Bat_att	135	14859-Bata-PSMB9	3825
Bat_att	136	14859-Bata-PSMB9	5967
Bat_att	137	14859-Bata-PSMB9	3619
Bat_att	138	14859-Bata-PSMB9	6623
Bat_att	139	14859-Bata-PSMB9	2112
Bat_att	140	14859-Bata-PSMB9	782
Bat_att	133	14859d-Bata-PSMB9	2
Bat_att	134	14859d-Bata-PSMB9	11
Bat_att	135	14859d-Bata-PSMB9	5
Bat_att	136	14859d-Bata-PSMB9	13
Bat_att	137	14859d-Bata-PSMB9	4
Bat_att	138	14859d-Bata-PSMB9	8
Bat_att	139	14859d-Bata-PSMB9	2
Bat_att	140	14859d-Bata-PSMB9	0
Bat_att	133	14860-Bata-PSMB9	574
Bat_att	134	14860-Bata-PSMB9	1898
Bat_att	135	14860-Bata-PSMB9	1495
Bat_att	136	14860-Bata-PSMB9	2113
Bat_att	137	14860-Bata-PSMB9	1564
Bat_att	138	14860-Bata-PSMB9	3400
Bat_att	139	14860-Bata-PSMB9	1012
Bat_att	140	14860-Bata-PSMB9	296
Bat_att	133	14861-Bata-PSMB9	1199
Bat_att	134	14861-Bata-PSMB9	3654
Bat_att	135	14861-Bata-PSMB9	3140
Bat_att	136	14861-Bata-PSMB9	4755
Bat_att	137	14861-Bata-PSMB9	2327
Bat_att	138	14861-Bata-PSMB9	4570
Bat_att	139	14861-Bata-PSMB9	1828
Bat_att	140	14861-Bata-PSMB9	442
Bat_att	133	14862-Bata-PSMB9	1122
Bat_att	134	14862-Bata-PSMB9	3902
Bat_att	135	14862-Bata-PSMB9	3232
Bat_att	136	14862-Bata-PSMB9	5370
Bat_att	137	14862-Bata-PSMB9	3385
Bat_att	138	14862-Bata-PSMB9	6256
Bat_att	139	14862-Bata-PSMB9	1912
Bat_att	140	14862-Bata-PSMB9	678
Bat_att	133	14863-Bata-PSMB9	2044
Bat_att	134	14863-Bata-PSMB9	4766
Bat_att	135	14863-Bata-PSMB9	4415
Bat_att	136	14863-Bata-PSMB9	7673
Bat_att	137	14863-Bata-PSMB9	3945
Bat_att	138	14863-Bata-PSMB9	9321
Bat_att	139	14863-Bata-PSMB9	2994
Bat_att	140	14863-Bata-PSMB9	852
Bat_att	133	14864-Bata-PSMB9	1004
Bat_att	134	14864-Bata-PSMB9	3274
Bat_att	135	14864-Bata-PSMB9	2749
Bat_att	136	14864-Bata-PSMB9	4454
Bat_att	137	14864-Bata-PSMB9	2831
Bat_att	138	14864-Bata-PSMB9	4479
Bat_att	139	14864-Bata-PSMB9	2015
Bat_att	140	14864-Bata-PSMB9	596
Bat_att	133	14866-Bata-PSMB9	1449
Bat_att	134	14866-Bata-PSMB9	3750
Bat_att	135	14866-Bata-PSMB9	3188
Bat_att	136	14866-Bata-PSMB9	5672
Bat_att	137	14866-Bata-PSMB9	2906
Bat_att	138	14866-Bata-PSMB9	5319
Bat_att	139	14866-Bata-PSMB9	1745
Bat_att	140	14866-Bata-PSMB9	495
Bat_att	133	14867-Bata-PSMB9	984
Bat_att	134	14867-Bata-PSMB9	2424
Bat_att	135	14867-Bata-PSMB9	1901
Bat_att	136	14867-Bata-PSMB9	3070
Bat_att	137	14867-Bata-PSMB9	1876
Bat_att	138	14867-Bata-PSMB9	3690
Bat_att	139	14867-Bata-PSMB9	1214
Bat_att	140	14867-Bata-PSMB9	319
Bat_att	133	14868-Bata-PSMB9	1952
Bat_att	134	14868-Bata-PSMB9	5728
Bat_att	135	14868-Bata-PSMB9	5017
Bat_att	136	14868-Bata-PSMB9	6992
Bat_att	137	14868-Bata-PSMB9	3662
Bat_att	138	14868-Bata-PSMB9	6977
Bat_att	139	14868-Bata-PSMB9	2133
Bat_att	140	14868-Bata-PSMB9	600
Bat_att	133	14869-Bata-PSMB9	1728
Bat_att	134	14869-Bata-PSMB9	5532
Bat_att	135	14869-Bata-PSMB9	3911
Bat_att	136	14869-Bata-PSMB9	6849
Bat_att	137	14869-Bata-PSMB9	3372
Bat_att	138	14869-Bata-PSMB9	7773
Bat_att	139	14869-Bata-PSMB9	2335
Bat_att	140	14869-Bata-PSMB9	809
Bat_att	133	14870-Bata-PSMB9	1782
Bat_att	134	14870-Bata-PSMB9	5248
Bat_att	135	14870-Bata-PSMB9	3661
Bat_att	136	14870-Bata-PSMB9	7163
Bat_att	137	14870-Bata-PSMB9	3627
Bat_att	138	14870-Bata-PSMB9	7972
