Species	MIP	Ind	Coverage
Bat_nig	133	14889-Batn-PSMB8	3
Bat_nig	134	14889-Batn-PSMB8	2
Bat_nig	135	14889-Batn-PSMB8	1
Bat_nig	136	14889-Batn-PSMB8	2
Bat_nig	137	14889-Batn-PSMB8	5
Bat_nig	138	14889-Batn-PSMB8	5
Bat_nig	139	14889-Batn-PSMB8	1
Bat_nig	140	14889-Batn-PSMB8	1
Bat_nig	133	14890-Batn-PSMB8	1
Bat_nig	134	14890-Batn-PSMB8	4
Bat_nig	135	14890-Batn-PSMB8	4
Bat_nig	136	14890-Batn-PSMB8	7
Bat_nig	137	14890-Batn-PSMB8	4
Bat_nig	138	14890-Batn-PSMB8	5
Bat_nig	139	14890-Batn-PSMB8	2
Bat_nig	140	14890-Batn-PSMB8	2
Bat_nig	133	14891-Batn-PSMB8	1
Bat_nig	134	14891-Batn-PSMB8	5
Bat_nig	135	14891-Batn-PSMB8	3
Bat_nig	136	14891-Batn-PSMB8	2
Bat_nig	137	14891-Batn-PSMB8	5
Bat_nig	138	14891-Batn-PSMB8	2
Bat_nig	139	14891-Batn-PSMB8	1
Bat_nig	140	14891-Batn-PSMB8	1
Bat_nig	133	14892-Batn-PSMB8	4
Bat_nig	134	14892-Batn-PSMB8	28
Bat_nig	135	14892-Batn-PSMB8	34
Bat_nig	136	14892-Batn-PSMB8	33
Bat_nig	137	14892-Batn-PSMB8	28
Bat_nig	138	14892-Batn-PSMB8	18
Bat_nig	139	14892-Batn-PSMB8	7
Bat_nig	140	14892-Batn-PSMB8	6
Bat_nig	133	14893-Batn-PSMB8	6
Bat_nig	134	14893-Batn-PSMB8	44
Bat_nig	135	14893-Batn-PSMB8	26
Bat_nig	136	14893-Batn-PSMB8	35
Bat_nig	137	14893-Batn-PSMB8	28
Bat_nig	138	14893-Batn-PSMB8	29
Bat_nig	139	14893-Batn-PSMB8	10
Bat_nig	140	14893-Batn-PSMB8	8
Bat_nig	133	14894-Batn-PSMB8	4
Bat_nig	134	14894-Batn-PSMB8	25
Bat_nig	135	14894-Batn-PSMB8	10
Bat_nig	136	14894-Batn-PSMB8	14
Bat_nig	137	14894-Batn-PSMB8	11
Bat_nig	138	14894-Batn-PSMB8	25
Bat_nig	139	14894-Batn-PSMB8	5
Bat_nig	140	14894-Batn-PSMB8	8
Bat_nig	133	14896-Batn-PSMB8	12
Bat_nig	134	14896-Batn-PSMB8	78
Bat_nig	135	14896-Batn-PSMB8	53
Bat_nig	136	14896-Batn-PSMB8	53
Bat_nig	137	14896-Batn-PSMB8	56
Bat_nig	138	14896-Batn-PSMB8	76
Bat_nig	139	14896-Batn-PSMB8	9
Bat_nig	140	14896-Batn-PSMB8	22
Bat_nig	133	14897-Batn-PSMB8	12
Bat_nig	134	14897-Batn-PSMB8	47
Bat_nig	135	14897-Batn-PSMB8	30
Bat_nig	136	14897-Batn-PSMB8	52
Bat_nig	137	14897-Batn-PSMB8	32
Bat_nig	138	14897-Batn-PSMB8	43
Bat_nig	139	14897-Batn-PSMB8	22
Bat_nig	140	14897-Batn-PSMB8	9
Bat_nig	133	14898-Batn-PSMB8	1
Bat_nig	134	14898-Batn-PSMB8	4
Bat_nig	135	14898-Batn-PSMB8	10
Bat_nig	136	14898-Batn-PSMB8	5
Bat_nig	137	14898-Batn-PSMB8	2
Bat_nig	138	14898-Batn-PSMB8	7
Bat_nig	139	14898-Batn-PSMB8	2
Bat_nig	140	14898-Batn-PSMB8	0
Bat_nig	133	14899-Batn-PSMB8	11
Bat_nig	134	14899-Batn-PSMB8	83
Bat_nig	135	14899-Batn-PSMB8	57
Bat_nig	136	14899-Batn-PSMB8	57
Bat_nig	137	14899-Batn-PSMB8	68
Bat_nig	138	14899-Batn-PSMB8	90
Bat_nig	139	14899-Batn-PSMB8	20
Bat_nig	140	14899-Batn-PSMB8	35
Bat_nig	133	14900-Batn-PSMB8	4
Bat_nig	134	14900-Batn-PSMB8	47
Bat_nig	135	14900-Batn-PSMB8	25
Bat_nig	136	14900-Batn-PSMB8	41
Bat_nig	137	14900-Batn-PSMB8	28
Bat_nig	138	14900-Batn-PSMB8	43
Bat_nig	139	14900-Batn-PSMB8	7
Bat_nig	140	14900-Batn-PSMB8	13
Bat_nig	133	14901-Batn-PSMB8	70
Bat_nig	134	14901-Batn-PSMB8	208
Bat_nig	135	14901-Batn-PSMB8	126
Bat_nig	136	14901-Batn-PSMB8	209
Bat_nig	137	14901-Batn-PSMB8	120
Bat_nig	138	14901-Batn-PSMB8	324
Bat_nig	139	14901-Batn-PSMB8	73
Bat_nig	140	14901-Batn-PSMB8	69
Bat_nig	133	14902-Batn-PSMB8	17
Bat_nig	134	14902-Batn-PSMB8	95
Bat_nig	135	14902-Batn-PSMB8	52
Bat_nig	136	14902-Batn-PSMB8	109
Bat_nig	137	14902-Batn-PSMB8	95
Bat_nig	138	14902-Batn-PSMB8	96
Bat_nig	139	14902-Batn-PSMB8	15
Bat_nig	140	14902-Batn-PSMB8	26
Bat_nig	133	14904-Batn-PSMB8	32
Bat_nig	134	14904-Batn-PSMB8	192
Bat_nig	135	14904-Batn-PSMB8	121
Bat_nig	136	14904-Batn-PSMB8	200
Bat_nig	137	14904-Batn-PSMB8	118
Bat_nig	138	14904-Batn-PSMB8	191
Bat_nig	139	14904-Batn-PSMB8	42
Bat_nig	140	14904-Batn-PSMB8	50
Bat_nig	133	14905-Batn-PSMB8	48
Bat_nig	134	14905-Batn-PSMB8	321
Bat_nig	135	14905-Batn-PSMB8	180
Bat_nig	136	14905-Batn-PSMB8	218
Bat_nig	137	14905-Batn-PSMB8	123
Bat_nig	138	14905-Batn-PSMB8	259
Bat_nig	139	14905-Batn-PSMB8	71
Bat_nig	140	14905-Batn-PSMB8	97
Bat_nig	133	14907-Batn-PSMB8	78
Bat_nig	134	14907-Batn-PSMB8	405
Bat_nig	135	14907-Batn-PSMB8	221
Bat_nig	136	14907-Batn-PSMB8	411
Bat_nig	137	14907-Batn-PSMB8	300
Bat_nig	138	14907-Batn-PSMB8	450
Bat_nig	139	14907-Batn-PSMB8	102
Bat_nig	140	14907-Batn-PSMB8	138
Bat_nig	133	14907d-Batn-PSMB8	7
Bat_nig	134	14907d-Batn-PSMB8	54
Bat_nig	135	14907d-Batn-PSMB8	11
Bat_nig	136	14907d-Batn-PSMB8	41
Bat_nig	137	14907d-Batn-PSMB8	34
Bat_nig	138	14907d-Batn-PSMB8	54
Bat_nig	139	14907d-Batn-PSMB8	6
Bat_nig	140	14907d-Batn-PSMB8	17
Bat_nig	133	14909-Batn-PSMB8	42
Bat_nig	134	14909-Batn-PSMB8	295
Bat_nig	135	14909-Batn-PSMB8	183
Bat_nig	136	14909-Batn-PSMB8	380
Bat_nig	137	14909-Batn-PSMB8	203
Bat_nig	138	14909-Batn-PSMB8	230
Bat_nig	139	14909-Batn-PSMB8	72
Bat_nig	140	14909-Batn-PSMB8	71
