Species	MIP	Ind	Coverage
Des_fus	100	15548-Desf-APG	9
Des_fus	101	15548-Desf-APG	1
Des_fus	102	15548-Desf-APG	0
Des_fus	103	15548-Desf-APG	20
Des_fus	104	15548-Desf-APG	0
Des_fus	105	15548-Desf-APG	3
Des_fus	106	15548-Desf-APG	4
Des_fus	107	15548-Desf-APG	0
Des_fus	108	15548-Desf-APG	29
Des_fus	109	15548-Desf-APG	6
Des_fus	10	15548-Desf-APG	0
Des_fus	110	15548-Desf-APG	6
Des_fus	111	15548-Desf-APG	11
Des_fus	112	15548-Desf-APG	6
Des_fus	113	15548-Desf-APG	1
Des_fus	114	15548-Desf-APG	8
Des_fus	115	15548-Desf-APG	10
Des_fus	116	15548-Desf-APG	9
Des_fus	117	15548-Desf-APG	5
Des_fus	118	15548-Desf-APG	13
Des_fus	119	15548-Desf-APG	11
Des_fus	11	15548-Desf-APG	9
Des_fus	120	15548-Desf-APG	20
Des_fus	121	15548-Desf-APG	18
Des_fus	122	15548-Desf-APG	6
Des_fus	123	15548-Desf-APG	4
Des_fus	124	15548-Desf-APG	4
Des_fus	125	15548-Desf-APG	4
Des_fus	126	15548-Desf-APG	7
Des_fus	127	15548-Desf-APG	3
Des_fus	128	15548-Desf-APG	7
Des_fus	129	15548-Desf-APG	0
Des_fus	12	15548-Desf-APG	7
Des_fus	130	15548-Desf-APG	22
Des_fus	131	15548-Desf-APG	16
Des_fus	132	15548-Desf-APG	9
Des_fus	133	15548-Desf-APG	13
Des_fus	134	15548-Desf-APG	0
Des_fus	135	15548-Desf-APG	25
Des_fus	136	15548-Desf-APG	6
Des_fus	137	15548-Desf-APG	0
Des_fus	138	15548-Desf-APG	5
Des_fus	139	15548-Desf-APG	5
Des_fus	13	15548-Desf-APG	0
Des_fus	140	15548-Desf-APG	2
Des_fus	141	15548-Desf-APG	1
Des_fus	142	15548-Desf-APG	21
Des_fus	143	15548-Desf-APG	4
Des_fus	144	15548-Desf-APG	11
Des_fus	145	15548-Desf-APG	6
Des_fus	146	15548-Desf-APG	0
Des_fus	147	15548-Desf-APG	3
Des_fus	148	15548-Desf-APG	3
Des_fus	149	15548-Desf-APG	0
Des_fus	14	15548-Desf-APG	4
Des_fus	150	15548-Desf-APG	5
Des_fus	151	15548-Desf-APG	0
Des_fus	152	15548-Desf-APG	0
Des_fus	153	15548-Desf-APG	3
Des_fus	154	15548-Desf-APG	0
Des_fus	155	15548-Desf-APG	0
Des_fus	156	15548-Desf-APG	1
Des_fus	157	15548-Desf-APG	0
Des_fus	158	15548-Desf-APG	0
Des_fus	15	15548-Desf-APG	3
Des_fus	16	15548-Desf-APG	0
Des_fus	17	15548-Desf-APG	4
Des_fus	18	15548-Desf-APG	5
Des_fus	19	15548-Desf-APG	3
Des_fus	1	15548-Desf-APG	8
Des_fus	20	15548-Desf-APG	9
Des_fus	21	15548-Desf-APG	1
Des_fus	22	15548-Desf-APG	10
Des_fus	23	15548-Desf-APG	1
Des_fus	24	15548-Desf-APG	6
Des_fus	25	15548-Desf-APG	8
Des_fus	26	15548-Desf-APG	8
Des_fus	27	15548-Desf-APG	3
Des_fus	28	15548-Desf-APG	8
Des_fus	29	15548-Desf-APG	10
Des_fus	2	15548-Desf-APG	0
Des_fus	30	15548-Desf-APG	13
Des_fus	31	15548-Desf-APG	14
Des_fus	32	15548-Desf-APG	1
Des_fus	33	15548-Desf-APG	12
Des_fus	34	15548-Desf-APG	13
Des_fus	35	15548-Desf-APG	15
Des_fus	36	15548-Desf-APG	17
Des_fus	37	15548-Desf-APG	17
Des_fus	38	15548-Desf-APG	8
Des_fus	39	15548-Desf-APG	4
Des_fus	3	15548-Desf-APG	12
Des_fus	40	15548-Desf-APG	8
Des_fus	41	15548-Desf-APG	5
Des_fus	42	15548-Desf-APG	10
Des_fus	43	15548-Desf-APG	7
Des_fus	44	15548-Desf-APG	4
Des_fus	45	15548-Desf-APG	4
Des_fus	46	15548-Desf-APG	0
