Species	MIP	Ind	Coverage
Eur_bis	100	15578-Eurb-APG	335
Eur_bis	101	15578-Eurb-APG	576
Eur_bis	102	15578-Eurb-APG	70
Eur_bis	103	15578-Eurb-APG	4
Eur_bis	104	15578-Eurb-APG	335
Eur_bis	105	15578-Eurb-APG	837
Eur_bis	106	15578-Eurb-APG	3
Eur_bis	107	15578-Eurb-APG	175
Eur_bis	108	15578-Eurb-APG	278
Eur_bis	109	15578-Eurb-APG	222
Eur_bis	10	15578-Eurb-APG	51
Eur_bis	110	15578-Eurb-APG	308
Eur_bis	111	15578-Eurb-APG	194
Eur_bis	112	15578-Eurb-APG	215
Eur_bis	113	15578-Eurb-APG	88
Eur_bis	114	15578-Eurb-APG	240
Eur_bis	115	15578-Eurb-APG	181
Eur_bis	116	15578-Eurb-APG	307
Eur_bis	117	15578-Eurb-APG	34
Eur_bis	118	15578-Eurb-APG	83
Eur_bis	119	15578-Eurb-APG	308
Eur_bis	11	15578-Eurb-APG	144
Eur_bis	120	15578-Eurb-APG	54
Eur_bis	121	15578-Eurb-APG	192
Eur_bis	122	15578-Eurb-APG	17
Eur_bis	123	15578-Eurb-APG	200
Eur_bis	124	15578-Eurb-APG	0
Eur_bis	125	15578-Eurb-APG	192
Eur_bis	126	15578-Eurb-APG	102
Eur_bis	127	15578-Eurb-APG	71
Eur_bis	128	15578-Eurb-APG	15
Eur_bis	129	15578-Eurb-APG	248
Eur_bis	12	15578-Eurb-APG	48
Eur_bis	130	15578-Eurb-APG	3
Eur_bis	131	15578-Eurb-APG	0
Eur_bis	132	15578-Eurb-APG	1
Eur_bis	133	15578-Eurb-APG	2
Eur_bis	134	15578-Eurb-APG	67
Eur_bis	135	15578-Eurb-APG	25
Eur_bis	136	15578-Eurb-APG	13
Eur_bis	137	15578-Eurb-APG	140
Eur_bis	138	15578-Eurb-APG	46
Eur_bis	139	15578-Eurb-APG	126
Eur_bis	13	15578-Eurb-APG	116
Eur_bis	140	15578-Eurb-APG	140
Eur_bis	141	15578-Eurb-APG	82
Eur_bis	142	15578-Eurb-APG	274
Eur_bis	143	15578-Eurb-APG	0
Eur_bis	144	15578-Eurb-APG	89
Eur_bis	145	15578-Eurb-APG	99
Eur_bis	146	15578-Eurb-APG	38
Eur_bis	147	15578-Eurb-APG	77
Eur_bis	148	15578-Eurb-APG	14
Eur_bis	149	15578-Eurb-APG	0
Eur_bis	14	15578-Eurb-APG	133
Eur_bis	150	15578-Eurb-APG	0
Eur_bis	15	15578-Eurb-APG	21
Eur_bis	16	15578-Eurb-APG	55
Eur_bis	17	15578-Eurb-APG	676
Eur_bis	18	15578-Eurb-APG	215
Eur_bis	19	15578-Eurb-APG	270
Eur_bis	1	15578-Eurb-APG	0
Eur_bis	20	15578-Eurb-APG	31
Eur_bis	21	15578-Eurb-APG	107
Eur_bis	22	15578-Eurb-APG	47
Eur_bis	23	15578-Eurb-APG	57
Eur_bis	24	15578-Eurb-APG	0
Eur_bis	25	15578-Eurb-APG	284
Eur_bis	26	15578-Eurb-APG	71
Eur_bis	27	15578-Eurb-APG	100
Eur_bis	28	15578-Eurb-APG	62
Eur_bis	29	15578-Eurb-APG	108
Eur_bis	2	15578-Eurb-APG	0
Eur_bis	30	15578-Eurb-APG	64
Eur_bis	31	15578-Eurb-APG	146
Eur_bis	32	15578-Eurb-APG	531
Eur_bis	33	15578-Eurb-APG	490
Eur_bis	34	15578-Eurb-APG	538
Eur_bis	35	15578-Eurb-APG	1264
Eur_bis	36	15578-Eurb-APG	453
Eur_bis	37	15578-Eurb-APG	422
Eur_bis	38	15578-Eurb-APG	430
Eur_bis	39	15578-Eurb-APG	255
Eur_bis	3	15578-Eurb-APG	99
Eur_bis	40	15578-Eurb-APG	184
Eur_bis	41	15578-Eurb-APG	14
Eur_bis	42	15578-Eurb-APG	56
Eur_bis	43	15578-Eurb-APG	63
Eur_bis	44	15578-Eurb-APG	32
Eur_bis	45	15578-Eurb-APG	26
Eur_bis	46	15578-Eurb-APG	0
Eur_bis	47	15578-Eurb-APG	51
Eur_bis	48	15578-Eurb-APG	80
Eur_bis	49	15578-Eurb-APG	94
Eur_bis	4	15578-Eurb-APG	0
Eur_bis	50	15578-Eurb-APG	293
Eur_bis	51	15578-Eurb-APG	175
Eur_bis	52	15578-Eurb-APG	63
Eur_bis	53	15578-Eurb-APG	133
Eur_bis	54	15578-Eurb-APG	158
Eur_bis	55	15578-Eurb-APG	0
Eur_bis	56	15578-Eurb-APG	16
Eur_bis	57	15578-Eurb-APG	25
Eur_bis	58	15578-Eurb-APG	65
Eur_bis	59	15578-Eurb-APG	154
Eur_bis	5	15578-Eurb-APG	168
Eur_bis	60	15578-Eurb-APG	32
Eur_bis	61	15578-Eurb-APG	69
Eur_bis	62	15578-Eurb-APG	94
Eur_bis	63	15578-Eurb-APG	190
Eur_bis	64	15578-Eurb-APG	160
Eur_bis	65	15578-Eurb-APG	523
Eur_bis	66	15578-Eurb-APG	156
Eur_bis	67	15578-Eurb-APG	97
Eur_bis	68	15578-Eurb-APG	104
Eur_bis	69	15578-Eurb-APG	153
Eur_bis	6	15578-Eurb-APG	107
Eur_bis	70	15578-Eurb-APG	44
Eur_bis	71	15578-Eurb-APG	52
Eur_bis	72	15578-Eurb-APG	669
Eur_bis	73	15578-Eurb-APG	275
Eur_bis	74	15578-Eurb-APG	456
Eur_bis	75	15578-Eurb-APG	0
Eur_bis	76	15578-Eurb-APG	564
Eur_bis	77	15578-Eurb-APG	76
Eur_bis	78	15578-Eurb-APG	601
Eur_bis	79	15578-Eurb-APG	943
Eur_bis	7	15578-Eurb-APG	0
Eur_bis	80	15578-Eurb-APG	247
Eur_bis	81	15578-Eurb-APG	516
Eur_bis	82	15578-Eurb-APG	219
Eur_bis	83	15578-Eurb-APG	51
Eur_bis	84	15578-Eurb-APG	329
Eur_bis	85	15578-Eurb-APG	453
Eur_bis	86	15578-Eurb-APG	131
Eur_bis	87	15578-Eurb-APG	272
Eur_bis	88	15578-Eurb-APG	214
Eur_bis	89	15578-Eurb-APG	144
Eur_bis	8	15578-Eurb-APG	60
Eur_bis	90	15578-Eurb-APG	408
Eur_bis	91	15578-Eurb-APG	400
Eur_bis	92	15578-Eurb-APG	426
Eur_bis	93	15578-Eurb-APG	914
Eur_bis	94	15578-Eurb-APG	46
Eur_bis	95	15578-Eurb-APG	0
Eur_bis	96	15578-Eurb-APG	547
Eur_bis	97	15578-Eurb-APG	210
Eur_bis	98	15578-Eurb-APG	73
Eur_bis	99	15578-Eurb-APG	205
Eur_bis	9	15578-Eurb-APG	60
Eur_bis	100	15580-Eurb-APG	385
Eur_bis	101	15580-Eurb-APG	569
Eur_bis	102	15580-Eurb-APG	43
Eur_bis	103	15580-Eurb-APG	0
Eur_bis	104	15580-Eurb-APG	297
Eur_bis	105	15580-Eurb-APG	837
Eur_bis	106	15580-Eurb-APG	5
Eur_bis	107	15580-Eurb-APG	205
Eur_bis	108	15580-Eurb-APG	283
Eur_bis	109	15580-Eurb-APG	215
Eur_bis	10	15580-Eurb-APG	82
Eur_bis	110	15580-Eurb-APG	322
Eur_bis	111	15580-Eurb-APG	285
Eur_bis	112	15580-Eurb-APG	263
Eur_bis	113	15580-Eurb-APG	66
Eur_bis	114	15580-Eurb-APG	162
Eur_bis	115	15580-Eurb-APG	135
Eur_bis	116	15580-Eurb-APG	287
Eur_bis	117	15580-Eurb-APG	11
Eur_bis	118	15580-Eurb-APG	96
Eur_bis	119	15580-Eurb-APG	302
Eur_bis	11	15580-Eurb-APG	225
Eur_bis	120	15580-Eurb-APG	47
Eur_bis	121	15580-Eurb-APG	165
Eur_bis	122	15580-Eurb-APG	16
Eur_bis	123	15580-Eurb-APG	255
Eur_bis	124	15580-Eurb-APG	2
Eur_bis	125	15580-Eurb-APG	168
Eur_bis	126	15580-Eurb-APG	97
Eur_bis	127	15580-Eurb-APG	68
Eur_bis	128	15580-Eurb-APG	7
Eur_bis	129	15580-Eurb-APG	195
Eur_bis	12	15580-Eurb-APG	75
Eur_bis	130	15580-Eurb-APG	4
Eur_bis	131	15580-Eurb-APG	0
Eur_bis	132	15580-Eurb-APG	1
Eur_bis	133	15580-Eurb-APG	0
Eur_bis	134	15580-Eurb-APG	106
Eur_bis	135	15580-Eurb-APG	31
Eur_bis	136	15580-Eurb-APG	21
Eur_bis	137	15580-Eurb-APG	156
Eur_bis	138	15580-Eurb-APG	56
Eur_bis	139	15580-Eurb-APG	70
Eur_bis	13	15580-Eurb-APG	101
Eur_bis	140	15580-Eurb-APG	148
Eur_bis	141	15580-Eurb-APG	85
Eur_bis	142	15580-Eurb-APG	247
Eur_bis	143	15580-Eurb-APG	1
Eur_bis	144	15580-Eurb-APG	95
Eur_bis	145	15580-Eurb-APG	81
Eur_bis	146	15580-Eurb-APG	51
Eur_bis	147	15580-Eurb-APG	66
Eur_bis	148	15580-Eurb-APG	32
Eur_bis	149	15580-Eurb-APG	0
Eur_bis	14	15580-Eurb-APG	132
Eur_bis	150	15580-Eurb-APG	0
Eur_bis	15	15580-Eurb-APG	10
Eur_bis	16	15580-Eurb-APG	72
Eur_bis	17	15580-Eurb-APG	501
Eur_bis	18	15580-Eurb-APG	181
Eur_bis	19	15580-Eurb-APG	249
Eur_bis	1	15580-Eurb-APG	0
Eur_bis	20	15580-Eurb-APG	41
Eur_bis	21	15580-Eurb-APG	113
Eur_bis	22	15580-Eurb-APG	63
Eur_bis	23	15580-Eurb-APG	86
Eur_bis	24	15580-Eurb-APG	0
Eur_bis	25	15580-Eurb-APG	269
Eur_bis	26	15580-Eurb-APG	104
Eur_bis	27	15580-Eurb-APG	129
Eur_bis	28	15580-Eurb-APG	72
Eur_bis	29	15580-Eurb-APG	93
Eur_bis	2	15580-Eurb-APG	0
Eur_bis	30	15580-Eurb-APG	44
Eur_bis	31	15580-Eurb-APG	67
Eur_bis	32	15580-Eurb-APG	530
Eur_bis	33	15580-Eurb-APG	337
Eur_bis	34	15580-Eurb-APG	472
Eur_bis	35	15580-Eurb-APG	961
Eur_bis	36	15580-Eurb-APG	484
Eur_bis	37	15580-Eurb-APG	373
Eur_bis	38	15580-Eurb-APG	326
Eur_bis	39	15580-Eurb-APG	277
Eur_bis	3	15580-Eurb-APG	71
Eur_bis	40	15580-Eurb-APG	266
Eur_bis	41	15580-Eurb-APG	9
Eur_bis	42	15580-Eurb-APG	86
Eur_bis	43	15580-Eurb-APG	66
Eur_bis	44	15580-Eurb-APG	20
Eur_bis	45	15580-Eurb-APG	51
Eur_bis	46	15580-Eurb-APG	0
Eur_bis	47	15580-Eurb-APG	37
Eur_bis	48	15580-Eurb-APG	80
Eur_bis	49	15580-Eurb-APG	98
Eur_bis	4	15580-Eurb-APG	0
Eur_bis	50	15580-Eurb-APG	287
Eur_bis	51	15580-Eurb-APG	204
Eur_bis	52	15580-Eurb-APG	69
Eur_bis	53	15580-Eurb-APG	103
Eur_bis	54	15580-Eurb-APG	197
Eur_bis	55	15580-Eurb-APG	2
Eur_bis	56	15580-Eurb-APG	13
Eur_bis	57	15580-Eurb-APG	18
Eur_bis	58	15580-Eurb-APG	34
Eur_bis	59	15580-Eurb-APG	111
Eur_bis	5	15580-Eurb-APG	135
Eur_bis	60	15580-Eurb-APG	37
Eur_bis	61	15580-Eurb-APG	88
Eur_bis	62	15580-Eurb-APG	83
Eur_bis	63	15580-Eurb-APG	207
