Species	MIP	Ind	Coverage
Hyd_ita	100	12339-hyd	150
Hyd_ita	101	12339-hyd	185
Hyd_ita	102	12339-hyd	174
Hyd_ita	103	12339-hyd	216
Hyd_ita	104	12339-hyd	360
Hyd_ita	105	12339-hyd	501
Hyd_ita	106	12339-hyd	441
Hyd_ita	107	12339-hyd	338
Hyd_ita	108	12339-hyd	1
Hyd_ita	109	12339-hyd	4
Hyd_ita	10	12339-hyd	236
Hyd_ita	110	12339-hyd	703
Hyd_ita	111	12339-hyd	71
Hyd_ita	112	12339-hyd	115
Hyd_ita	113	12339-hyd	19
Hyd_ita	114	12339-hyd	0
Hyd_ita	115	12339-hyd	40
Hyd_ita	116	12339-hyd	193
Hyd_ita	117	12339-hyd	0
Hyd_ita	118	12339-hyd	0
Hyd_ita	119	12339-hyd	0
Hyd_ita	11	12339-hyd	144
Hyd_ita	120	12339-hyd	261
Hyd_ita	121	12339-hyd	90
Hyd_ita	122	12339-hyd	0
Hyd_ita	123	12339-hyd	76
Hyd_ita	124	12339-hyd	0
Hyd_ita	125	12339-hyd	0
Hyd_ita	12	12339-hyd	246
Hyd_ita	13	12339-hyd	91
Hyd_ita	14	12339-hyd	333
Hyd_ita	15	12339-hyd	194
Hyd_ita	16	12339-hyd	0
Hyd_ita	17	12339-hyd	348
Hyd_ita	18	12339-hyd	158
Hyd_ita	19	12339-hyd	158
Hyd_ita	1	12339-hyd	93
Hyd_ita	20	12339-hyd	321
Hyd_ita	21	12339-hyd	440
Hyd_ita	22	12339-hyd	221
Hyd_ita	23	12339-hyd	796
Hyd_ita	24	12339-hyd	256
Hyd_ita	25	12339-hyd	652
Hyd_ita	26	12339-hyd	454
Hyd_ita	27	12339-hyd	321
Hyd_ita	28	12339-hyd	233
Hyd_ita	29	12339-hyd	187
Hyd_ita	2	12339-hyd	0
Hyd_ita	30	12339-hyd	63
Hyd_ita	31	12339-hyd	75
Hyd_ita	32	12339-hyd	102
Hyd_ita	33	12339-hyd	156
Hyd_ita	34	12339-hyd	111
Hyd_ita	35	12339-hyd	178
Hyd_ita	36	12339-hyd	229
Hyd_ita	37	12339-hyd	208
Hyd_ita	38	12339-hyd	266
Hyd_ita	39	12339-hyd	111
Hyd_ita	3	12339-hyd	186
Hyd_ita	40	12339-hyd	119
Hyd_ita	41	12339-hyd	249
Hyd_ita	42	12339-hyd	18
Hyd_ita	43	12339-hyd	0
Hyd_ita	44	12339-hyd	257
Hyd_ita	45	12339-hyd	257
Hyd_ita	46	12339-hyd	212
Hyd_ita	47	12339-hyd	180
Hyd_ita	48	12339-hyd	137
Hyd_ita	49	12339-hyd	227
Hyd_ita	4	12339-hyd	59
Hyd_ita	50	12339-hyd	146
Hyd_ita	51	12339-hyd	368
Hyd_ita	52	12339-hyd	319
Hyd_ita	53	12339-hyd	288
Hyd_ita	54	12339-hyd	456
Hyd_ita	55	12339-hyd	253
Hyd_ita	56	12339-hyd	337
Hyd_ita	57	12339-hyd	3
Hyd_ita	58	12339-hyd	0
Hyd_ita	59	12339-hyd	39
Hyd_ita	5	12339-hyd	333
Hyd_ita	60	12339-hyd	69
Hyd_ita	61	12339-hyd	4
Hyd_ita	62	12339-hyd	150
Hyd_ita	63	12339-hyd	107
Hyd_ita	64	12339-hyd	314
Hyd_ita	65	12339-hyd	284
Hyd_ita	66	12339-hyd	234
Hyd_ita	67	12339-hyd	237
Hyd_ita	68	12339-hyd	282
Hyd_ita	69	12339-hyd	120
Hyd_ita	6	12339-hyd	124
Hyd_ita	70	12339-hyd	296
Hyd_ita	71	12339-hyd	76
Hyd_ita	72	12339-hyd	342
Hyd_ita	73	12339-hyd	311
Hyd_ita	74	12339-hyd	168
Hyd_ita	75	12339-hyd	454
Hyd_ita	76	12339-hyd	95
Hyd_ita	77	12339-hyd	121
Hyd_ita	78	12339-hyd	459
Hyd_ita	79	12339-hyd	261
Hyd_ita	7	12339-hyd	0
Hyd_ita	80	12339-hyd	159
Hyd_ita	81	12339-hyd	332
Hyd_ita	82	12339-hyd	0
Hyd_ita	83	12339-hyd	209
Hyd_ita	84	12339-hyd	108
Hyd_ita	85	12339-hyd	108
Hyd_ita	86	12339-hyd	0
Hyd_ita	87	12339-hyd	244
Hyd_ita	88	12339-hyd	174
Hyd_ita	89	12339-hyd	397
Hyd_ita	8	12339-hyd	204
Hyd_ita	90	12339-hyd	139
Hyd_ita	91	12339-hyd	139
Hyd_ita	92	12339-hyd	257
Hyd_ita	93	12339-hyd	116
Hyd_ita	94	12339-hyd	315
Hyd_ita	95	12339-hyd	292
Hyd_ita	96	12339-hyd	183
Hyd_ita	97	12339-hyd	76
Hyd_ita	98	12339-hyd	104
Hyd_ita	99	12339-hyd	366
Hyd_ita	9	12339-hyd	74
Hyd_ita	100	12340-hyd	67
Hyd_ita	101	12340-hyd	41
Hyd_ita	102	12340-hyd	58
Hyd_ita	103	12340-hyd	54
Hyd_ita	104	12340-hyd	81
Hyd_ita	105	12340-hyd	101
Hyd_ita	106	12340-hyd	151
Hyd_ita	107	12340-hyd	95
Hyd_ita	108	12340-hyd	0
Hyd_ita	109	12340-hyd	2
Hyd_ita	10	12340-hyd	37
Hyd_ita	110	12340-hyd	169
Hyd_ita	111	12340-hyd	16
Hyd_ita	112	12340-hyd	55
Hyd_ita	113	12340-hyd	3
Hyd_ita	114	12340-hyd	0
Hyd_ita	115	12340-hyd	16
Hyd_ita	116	12340-hyd	54
Hyd_ita	117	12340-hyd	0
Hyd_ita	118	12340-hyd	0
Hyd_ita	119	12340-hyd	0
Hyd_ita	11	12340-hyd	23
Hyd_ita	120	12340-hyd	129
Hyd_ita	121	12340-hyd	22
Hyd_ita	122	12340-hyd	0
Hyd_ita	123	12340-hyd	43
