Species	MIP	Ind	Coverage
Hyd_stri	100	12356-hyd	151
Hyd_stri	101	12356-hyd	105
Hyd_stri	102	12356-hyd	131
Hyd_stri	103	12356-hyd	253
Hyd_stri	104	12356-hyd	259
Hyd_stri	105	12356-hyd	373
Hyd_stri	106	12356-hyd	446
Hyd_stri	107	12356-hyd	300
Hyd_stri	108	12356-hyd	1
Hyd_stri	109	12356-hyd	2
Hyd_stri	10	12356-hyd	298
Hyd_stri	110	12356-hyd	487
Hyd_stri	111	12356-hyd	77
Hyd_stri	112	12356-hyd	174
Hyd_stri	113	12356-hyd	43
Hyd_stri	114	12356-hyd	0
Hyd_stri	115	12356-hyd	41
Hyd_stri	116	12356-hyd	201
Hyd_stri	117	12356-hyd	0
Hyd_stri	118	12356-hyd	0
Hyd_stri	119	12356-hyd	0
Hyd_stri	11	12356-hyd	154
Hyd_stri	120	12356-hyd	193
Hyd_stri	121	12356-hyd	56
Hyd_stri	122	12356-hyd	0
Hyd_stri	123	12356-hyd	72
Hyd_stri	124	12356-hyd	0
Hyd_stri	125	12356-hyd	0
Hyd_stri	12	12356-hyd	291
Hyd_stri	13	12356-hyd	118
Hyd_stri	14	12356-hyd	338
Hyd_stri	15	12356-hyd	147
Hyd_stri	16	12356-hyd	0
Hyd_stri	17	12356-hyd	305
Hyd_stri	18	12356-hyd	173
Hyd_stri	19	12356-hyd	180
Hyd_stri	1	12356-hyd	107
Hyd_stri	20	12356-hyd	312
Hyd_stri	21	12356-hyd	474
Hyd_stri	22	12356-hyd	267
Hyd_stri	23	12356-hyd	729
Hyd_stri	24	12356-hyd	301
Hyd_stri	25	12356-hyd	715
Hyd_stri	26	12356-hyd	499
Hyd_stri	27	12356-hyd	342
Hyd_stri	28	12356-hyd	253
Hyd_stri	29	12356-hyd	134
Hyd_stri	2	12356-hyd	0
Hyd_stri	30	12356-hyd	54
Hyd_stri	31	12356-hyd	48
Hyd_stri	32	12356-hyd	175
Hyd_stri	33	12356-hyd	121
Hyd_stri	34	12356-hyd	130
Hyd_stri	35	12356-hyd	194
Hyd_stri	36	12356-hyd	218
Hyd_stri	37	12356-hyd	226
Hyd_stri	38	12356-hyd	273
Hyd_stri	39	12356-hyd	90
Hyd_stri	3	12356-hyd	212
Hyd_stri	40	12356-hyd	105
Hyd_stri	41	12356-hyd	210
Hyd_stri	42	12356-hyd	23
Hyd_stri	43	12356-hyd	0
Hyd_stri	44	12356-hyd	299
Hyd_stri	45	12356-hyd	258
Hyd_stri	46	12356-hyd	169
Hyd_stri	47	12356-hyd	147
Hyd_stri	48	12356-hyd	174
Hyd_stri	49	12356-hyd	244
Hyd_stri	4	12356-hyd	104
Hyd_stri	50	12356-hyd	118
Hyd_stri	51	12356-hyd	430
Hyd_stri	52	12356-hyd	378
Hyd_stri	53	12356-hyd	397
Hyd_stri	54	12356-hyd	505
Hyd_stri	55	12356-hyd	304
Hyd_stri	56	12356-hyd	319
Hyd_stri	57	12356-hyd	7
Hyd_stri	58	12356-hyd	0
Hyd_stri	59	12356-hyd	11
Hyd_stri	5	12356-hyd	490
Hyd_stri	60	12356-hyd	72
Hyd_stri	61	12356-hyd	0
Hyd_stri	62	12356-hyd	100
Hyd_stri	63	12356-hyd	83
Hyd_stri	64	12356-hyd	230
Hyd_stri	65	12356-hyd	323
Hyd_stri	66	12356-hyd	304
Hyd_stri	67	12356-hyd	316
Hyd_stri	68	12356-hyd	245
Hyd_stri	69	12356-hyd	169
Hyd_stri	6	12356-hyd	156
Hyd_stri	70	12356-hyd	282
Hyd_stri	71	12356-hyd	132
Hyd_stri	72	12356-hyd	260
Hyd_stri	73	12356-hyd	289
Hyd_stri	74	12356-hyd	265
Hyd_stri	75	12356-hyd	369
Hyd_stri	76	12356-hyd	169
Hyd_stri	77	12356-hyd	82
Hyd_stri	78	12356-hyd	458
Hyd_stri	79	12356-hyd	163
Hyd_stri	7	12356-hyd	0
Hyd_stri	80	12356-hyd	146
Hyd_stri	81	12356-hyd	325
Hyd_stri	82	12356-hyd	0
Hyd_stri	83	12356-hyd	225
Hyd_stri	84	12356-hyd	161
Hyd_stri	85	12356-hyd	64
Hyd_stri	86	12356-hyd	0
Hyd_stri	87	12356-hyd	217
Hyd_stri	88	12356-hyd	252
Hyd_stri	89	12356-hyd	425
Hyd_stri	8	12356-hyd	192
Hyd_stri	90	12356-hyd	186
Hyd_stri	91	12356-hyd	97
Hyd_stri	92	12356-hyd	293
Hyd_stri	93	12356-hyd	99
Hyd_stri	94	12356-hyd	402
Hyd_stri	95	12356-hyd	492
Hyd_stri	96	12356-hyd	157
Hyd_stri	97	12356-hyd	52
Hyd_stri	98	12356-hyd	121
Hyd_stri	99	12356-hyd	293
Hyd_stri	9	12356-hyd	135
Hyd_stri	100	12357-hyd	81
Hyd_stri	101	12357-hyd	61
Hyd_stri	102	12357-hyd	102
Hyd_stri	103	12357-hyd	88
Hyd_stri	104	12357-hyd	54
Hyd_stri	105	12357-hyd	124
Hyd_stri	106	12357-hyd	190
Hyd_stri	107	12357-hyd	91
Hyd_stri	108	12357-hyd	1
Hyd_stri	109	12357-hyd	1
Hyd_stri	10	12357-hyd	70
Hyd_stri	110	12357-hyd	151
Hyd_stri	111	12357-hyd	16
Hyd_stri	112	12357-hyd	66
Hyd_stri	113	12357-hyd	2
Hyd_stri	114	12357-hyd	0
Hyd_stri	115	12357-hyd	35
Hyd_stri	116	12357-hyd	44
Hyd_stri	117	12357-hyd	0
Hyd_stri	118	12357-hyd	0
Hyd_stri	119	12357-hyd	0
Hyd_stri	11	12357-hyd	29
Hyd_stri	120	12357-hyd	187
Hyd_stri	121	12357-hyd	19
Hyd_stri	122	12357-hyd	0
Hyd_stri	123	12357-hyd	55
Hyd_stri	124	12357-hyd	0
Hyd_stri	125	12357-hyd	0
Hyd_stri	12	12357-hyd	101
Hyd_stri	13	12357-hyd	30
Hyd_stri	14	12357-hyd	147
Hyd_stri	15	12357-hyd	93
Hyd_stri	16	12357-hyd	0
Hyd_stri	17	12357-hyd	137
Hyd_stri	18	12357-hyd	68
Hyd_stri	19	12357-hyd	41
Hyd_stri	1	12357-hyd	36
Hyd_stri	20	12357-hyd	90
Hyd_stri	21	12357-hyd	156
Hyd_stri	22	12357-hyd	109
Hyd_stri	23	12357-hyd	184
Hyd_stri	24	12357-hyd	117
Hyd_stri	25	12357-hyd	238
Hyd_stri	26	12357-hyd	148
Hyd_stri	27	12357-hyd	47
Hyd_stri	28	12357-hyd	131
Hyd_stri	29	12357-hyd	90
Hyd_stri	2	12357-hyd	0
Hyd_stri	30	12357-hyd	4
Hyd_stri	31	12357-hyd	26
Hyd_stri	32	12357-hyd	52
Hyd_stri	33	12357-hyd	78
Hyd_stri	34	12357-hyd	37
Hyd_stri	35	12357-hyd	94
Hyd_stri	36	12357-hyd	154
Hyd_stri	37	12357-hyd	103
Hyd_stri	38	12357-hyd	191
Hyd_stri	39	12357-hyd	38
Hyd_stri	3	12357-hyd	56
Hyd_stri	40	12357-hyd	55
Hyd_stri	41	12357-hyd	118
Hyd_stri	42	12357-hyd	2
Hyd_stri	43	12357-hyd	0
Hyd_stri	44	12357-hyd	153
Hyd_stri	45	12357-hyd	91
Hyd_stri	46	12357-hyd	92
Hyd_stri	47	12357-hyd	76
Hyd_stri	48	12357-hyd	89
Hyd_stri	49	12357-hyd	126
Hyd_stri	4	12357-hyd	26
Hyd_stri	50	12357-hyd	60
Hyd_stri	51	12357-hyd	111
Hyd_stri	52	12357-hyd	134
Hyd_stri	53	12357-hyd	130
Hyd_stri	54	12357-hyd	232
Hyd_stri	55	12357-hyd	75
Hyd_stri	56	12357-hyd	110
Hyd_stri	57	12357-hyd	2
