Species	MIP	Ind	Coverage
Hyn_lee	100	12488-Hynl-APG	72
Hyn_lee	101	12488-Hynl-APG	0
Hyn_lee	102	12488-Hynl-APG	54
Hyn_lee	103	12488-Hynl-APG	32
Hyn_lee	104	12488-Hynl-APG	54
Hyn_lee	105	12488-Hynl-APG	0
Hyn_lee	106	12488-Hynl-APG	13
Hyn_lee	107	12488-Hynl-APG	21
Hyn_lee	108	12488-Hynl-APG	42
Hyn_lee	109	12488-Hynl-APG	61
Hyn_lee	10	12488-Hynl-APG	52
Hyn_lee	110	12488-Hynl-APG	124
Hyn_lee	111	12488-Hynl-APG	34
Hyn_lee	112	12488-Hynl-APG	6
Hyn_lee	113	12488-Hynl-APG	0
Hyn_lee	114	12488-Hynl-APG	1
Hyn_lee	115	12488-Hynl-APG	50
Hyn_lee	116	12488-Hynl-APG	80
Hyn_lee	117	12488-Hynl-APG	306
Hyn_lee	118	12488-Hynl-APG	62
Hyn_lee	119	12488-Hynl-APG	164
Hyn_lee	11	12488-Hynl-APG	0
Hyn_lee	120	12488-Hynl-APG	238
Hyn_lee	121	12488-Hynl-APG	153
Hyn_lee	122	12488-Hynl-APG	349
Hyn_lee	123	12488-Hynl-APG	557
Hyn_lee	124	12488-Hynl-APG	163
Hyn_lee	125	12488-Hynl-APG	89
Hyn_lee	126	12488-Hynl-APG	117
Hyn_lee	127	12488-Hynl-APG	27
Hyn_lee	128	12488-Hynl-APG	168
Hyn_lee	129	12488-Hynl-APG	216
Hyn_lee	12	12488-Hynl-APG	15
Hyn_lee	130	12488-Hynl-APG	165
Hyn_lee	131	12488-Hynl-APG	96
Hyn_lee	132	12488-Hynl-APG	8
Hyn_lee	133	12488-Hynl-APG	47
Hyn_lee	134	12488-Hynl-APG	478
Hyn_lee	135	12488-Hynl-APG	329
Hyn_lee	136	12488-Hynl-APG	75
Hyn_lee	137	12488-Hynl-APG	86
Hyn_lee	138	12488-Hynl-APG	11
Hyn_lee	139	12488-Hynl-APG	241
Hyn_lee	13	12488-Hynl-APG	0
Hyn_lee	140	12488-Hynl-APG	798
Hyn_lee	141	12488-Hynl-APG	244
Hyn_lee	142	12488-Hynl-APG	273
Hyn_lee	143	12488-Hynl-APG	695
Hyn_lee	144	12488-Hynl-APG	120
Hyn_lee	145	12488-Hynl-APG	601
Hyn_lee	146	12488-Hynl-APG	96
Hyn_lee	147	12488-Hynl-APG	0
Hyn_lee	148	12488-Hynl-APG	0
Hyn_lee	149	12488-Hynl-APG	0
Hyn_lee	14	12488-Hynl-APG	29
Hyn_lee	150	12488-Hynl-APG	12
Hyn_lee	151	12488-Hynl-APG	21
Hyn_lee	152	12488-Hynl-APG	0
Hyn_lee	153	12488-Hynl-APG	10
Hyn_lee	154	12488-Hynl-APG	30
Hyn_lee	155	12488-Hynl-APG	6
Hyn_lee	156	12488-Hynl-APG	14
Hyn_lee	157	12488-Hynl-APG	68
Hyn_lee	158	12488-Hynl-APG	2
Hyn_lee	15	12488-Hynl-APG	41
Hyn_lee	16	12488-Hynl-APG	0
Hyn_lee	17	12488-Hynl-APG	455
Hyn_lee	18	12488-Hynl-APG	14
Hyn_lee	19	12488-Hynl-APG	146
Hyn_lee	1	12488-Hynl-APG	31
Hyn_lee	20	12488-Hynl-APG	218
Hyn_lee	21	12488-Hynl-APG	1
Hyn_lee	22	12488-Hynl-APG	23
Hyn_lee	23	12488-Hynl-APG	4
Hyn_lee	24	12488-Hynl-APG	4
Hyn_lee	25	12488-Hynl-APG	54
Hyn_lee	26	12488-Hynl-APG	72
Hyn_lee	27	12488-Hynl-APG	68
Hyn_lee	28	12488-Hynl-APG	187
Hyn_lee	29	12488-Hynl-APG	180
Hyn_lee	2	12488-Hynl-APG	0
Hyn_lee	30	12488-Hynl-APG	121
Hyn_lee	31	12488-Hynl-APG	67
Hyn_lee	32	12488-Hynl-APG	71
Hyn_lee	33	12488-Hynl-APG	192
Hyn_lee	34	12488-Hynl-APG	66
Hyn_lee	35	12488-Hynl-APG	18
Hyn_lee	36	12488-Hynl-APG	257
Hyn_lee	37	12488-Hynl-APG	25
Hyn_lee	38	12488-Hynl-APG	129
Hyn_lee	39	12488-Hynl-APG	3
Hyn_lee	3	12488-Hynl-APG	44
Hyn_lee	40	12488-Hynl-APG	107
Hyn_lee	41	12488-Hynl-APG	55
Hyn_lee	42	12488-Hynl-APG	206
Hyn_lee	43	12488-Hynl-APG	65
Hyn_lee	44	12488-Hynl-APG	172
Hyn_lee	45	12488-Hynl-APG	95
Hyn_lee	46	12488-Hynl-APG	489
Hyn_lee	47	12488-Hynl-APG	273
Hyn_lee	48	12488-Hynl-APG	252
Hyn_lee	49	12488-Hynl-APG	279
Hyn_lee	4	12488-Hynl-APG	123
Hyn_lee	50	12488-Hynl-APG	88
Hyn_lee	51	12488-Hynl-APG	337
Hyn_lee	52	12488-Hynl-APG	134
Hyn_lee	53	12488-Hynl-APG	304
Hyn_lee	54	12488-Hynl-APG	522
Hyn_lee	55	12488-Hynl-APG	441
Hyn_lee	56	12488-Hynl-APG	0
Hyn_lee	57	12488-Hynl-APG	17
Hyn_lee	58	12488-Hynl-APG	0
Hyn_lee	59	12488-Hynl-APG	26
Hyn_lee	5	12488-Hynl-APG	18
Hyn_lee	60	12488-Hynl-APG	81
Hyn_lee	61	12488-Hynl-APG	1
Hyn_lee	62	12488-Hynl-APG	114
Hyn_lee	63	12488-Hynl-APG	0
Hyn_lee	64	12488-Hynl-APG	17
Hyn_lee	65	12488-Hynl-APG	15
