Species	MIP	Ind	Coverage
Hyn_ret	100	11857-Hynr-APG	117
Hyn_ret	101	11857-Hynr-APG	0
Hyn_ret	102	11857-Hynr-APG	187
Hyn_ret	103	11857-Hynr-APG	63
Hyn_ret	104	11857-Hynr-APG	237
Hyn_ret	105	11857-Hynr-APG	6
Hyn_ret	106	11857-Hynr-APG	95
Hyn_ret	107	11857-Hynr-APG	40
Hyn_ret	108	11857-Hynr-APG	79
Hyn_ret	109	11857-Hynr-APG	243
Hyn_ret	10	11857-Hynr-APG	165
Hyn_ret	110	11857-Hynr-APG	205
Hyn_ret	111	11857-Hynr-APG	42
Hyn_ret	112	11857-Hynr-APG	103
Hyn_ret	113	11857-Hynr-APG	130
Hyn_ret	114	11857-Hynr-APG	0
Hyn_ret	115	11857-Hynr-APG	19
Hyn_ret	116	11857-Hynr-APG	777
Hyn_ret	117	11857-Hynr-APG	370
Hyn_ret	118	11857-Hynr-APG	686
Hyn_ret	119	11857-Hynr-APG	701
Hyn_ret	11	11857-Hynr-APG	145
Hyn_ret	120	11857-Hynr-APG	1622
Hyn_ret	121	11857-Hynr-APG	931
Hyn_ret	122	11857-Hynr-APG	672
Hyn_ret	123	11857-Hynr-APG	306
Hyn_ret	124	11857-Hynr-APG	175
Hyn_ret	125	11857-Hynr-APG	493
Hyn_ret	126	11857-Hynr-APG	758
Hyn_ret	127	11857-Hynr-APG	656
Hyn_ret	128	11857-Hynr-APG	560
Hyn_ret	129	11857-Hynr-APG	7
Hyn_ret	12	11857-Hynr-APG	117
Hyn_ret	130	11857-Hynr-APG	697
Hyn_ret	131	11857-Hynr-APG	695
Hyn_ret	132	11857-Hynr-APG	333
Hyn_ret	133	11857-Hynr-APG	59
Hyn_ret	134	11857-Hynr-APG	468
Hyn_ret	135	11857-Hynr-APG	780
Hyn_ret	136	11857-Hynr-APG	2034
Hyn_ret	137	11857-Hynr-APG	2873
Hyn_ret	138	11857-Hynr-APG	228
Hyn_ret	139	11857-Hynr-APG	263
Hyn_ret	13	11857-Hynr-APG	342
Hyn_ret	140	11857-Hynr-APG	825
Hyn_ret	141	11857-Hynr-APG	281
Hyn_ret	142	11857-Hynr-APG	34
Hyn_ret	143	11857-Hynr-APG	0
Hyn_ret	144	11857-Hynr-APG	6
Hyn_ret	145	11857-Hynr-APG	0
Hyn_ret	146	11857-Hynr-APG	0
Hyn_ret	147	11857-Hynr-APG	0
Hyn_ret	148	11857-Hynr-APG	0
Hyn_ret	149	11857-Hynr-APG	0
Hyn_ret	14	11857-Hynr-APG	139
Hyn_ret	150	11857-Hynr-APG	10
Hyn_ret	151	11857-Hynr-APG	11
Hyn_ret	152	11857-Hynr-APG	26
Hyn_ret	153	11857-Hynr-APG	14
Hyn_ret	154	11857-Hynr-APG	121
Hyn_ret	155	11857-Hynr-APG	2
Hyn_ret	156	11857-Hynr-APG	18
Hyn_ret	15	11857-Hynr-APG	1
Hyn_ret	16	11857-Hynr-APG	94
Hyn_ret	17	11857-Hynr-APG	0
Hyn_ret	18	11857-Hynr-APG	57
Hyn_ret	19	11857-Hynr-APG	52
Hyn_ret	1	11857-Hynr-APG	50
Hyn_ret	20	11857-Hynr-APG	12
Hyn_ret	21	11857-Hynr-APG	14
Hyn_ret	22	11857-Hynr-APG	72
Hyn_ret	23	11857-Hynr-APG	74
Hyn_ret	24	11857-Hynr-APG	40
Hyn_ret	25	11857-Hynr-APG	111
Hyn_ret	26	11857-Hynr-APG	54
Hyn_ret	27	11857-Hynr-APG	3
Hyn_ret	28	11857-Hynr-APG	61
Hyn_ret	29	11857-Hynr-APG	162
Hyn_ret	2	11857-Hynr-APG	0
Hyn_ret	30	11857-Hynr-APG	50
Hyn_ret	31	11857-Hynr-APG	0
Hyn_ret	32	11857-Hynr-APG	14
Hyn_ret	33	11857-Hynr-APG	100
Hyn_ret	34	11857-Hynr-APG	310
Hyn_ret	35	11857-Hynr-APG	4
Hyn_ret	36	11857-Hynr-APG	12
Hyn_ret	37	11857-Hynr-APG	60
Hyn_ret	38	11857-Hynr-APG	4
Hyn_ret	39	11857-Hynr-APG	28
Hyn_ret	3	11857-Hynr-APG	1873
Hyn_ret	40	11857-Hynr-APG	25
Hyn_ret	41	11857-Hynr-APG	17
Hyn_ret	42	11857-Hynr-APG	67
Hyn_ret	43	11857-Hynr-APG	265
Hyn_ret	44	11857-Hynr-APG	88
Hyn_ret	45	11857-Hynr-APG	40
Hyn_ret	46	11857-Hynr-APG	51
Hyn_ret	47	11857-Hynr-APG	181
Hyn_ret	48	11857-Hynr-APG	31
Hyn_ret	49	11857-Hynr-APG	215
Hyn_ret	4	11857-Hynr-APG	119
Hyn_ret	50	11857-Hynr-APG	71
Hyn_ret	51	11857-Hynr-APG	82
Hyn_ret	52	11857-Hynr-APG	142
Hyn_ret	53	11857-Hynr-APG	730
Hyn_ret	54	11857-Hynr-APG	968
Hyn_ret	55	11857-Hynr-APG	76
Hyn_ret	56	11857-Hynr-APG	370
Hyn_ret	57	11857-Hynr-APG	11
Hyn_ret	58	11857-Hynr-APG	0
Hyn_ret	59	11857-Hynr-APG	162
Hyn_ret	5	11857-Hynr-APG	0
Hyn_ret	60	11857-Hynr-APG	220
Hyn_ret	61	11857-Hynr-APG	1835
Hyn_ret	62	11857-Hynr-APG	6454
Hyn_ret	63	11857-Hynr-APG	2209
Hyn_ret	64	11857-Hynr-APG	1366
Hyn_ret	65	11857-Hynr-APG	291
Hyn_ret	66	11857-Hynr-APG	1169
Hyn_ret	67	11857-Hynr-APG	8
Hyn_ret	68	11857-Hynr-APG	9
Hyn_ret	69	11857-Hynr-APG	154
Hyn_ret	6	11857-Hynr-APG	50
Hyn_ret	70	11857-Hynr-APG	0
Hyn_ret	71	11857-Hynr-APG	0
Hyn_ret	72	11857-Hynr-APG	91
Hyn_ret	73	11857-Hynr-APG	28
Hyn_ret	74	11857-Hynr-APG	0
Hyn_ret	75	11857-Hynr-APG	0
Hyn_ret	76	11857-Hynr-APG	0
Hyn_ret	77	11857-Hynr-APG	11
Hyn_ret	78	11857-Hynr-APG	0
Hyn_ret	79	11857-Hynr-APG	1
Hyn_ret	7	11857-Hynr-APG	58
Hyn_ret	80	11857-Hynr-APG	1
Hyn_ret	81	11857-Hynr-APG	0
Hyn_ret	82	11857-Hynr-APG	11
Hyn_ret	83	11857-Hynr-APG	3
Hyn_ret	84	11857-Hynr-APG	33
Hyn_ret	85	11857-Hynr-APG	69
Hyn_ret	86	11857-Hynr-APG	0
Hyn_ret	87	11857-Hynr-APG	0
Hyn_ret	88	11857-Hynr-APG	10
Hyn_ret	89	11857-Hynr-APG	0
Hyn_ret	8	11857-Hynr-APG	306
Hyn_ret	90	11857-Hynr-APG	0
Hyn_ret	91	11857-Hynr-APG	0
Hyn_ret	92	11857-Hynr-APG	75
Hyn_ret	93	11857-Hynr-APG	77
Hyn_ret	94	11857-Hynr-APG	87
Hyn_ret	95	11857-Hynr-APG	36
Hyn_ret	96	11857-Hynr-APG	99
Hyn_ret	97	11857-Hynr-APG	35
Hyn_ret	98	11857-Hynr-APG	14
Hyn_ret	99	11857-Hynr-APG	134
Hyn_ret	9	11857-Hynr-APG	38
Hyn_ret	100	11858-Hynr-APG	59
Hyn_ret	101	11858-Hynr-APG	0
Hyn_ret	102	11858-Hynr-APG	157
Hyn_ret	103	11858-Hynr-APG	46
Hyn_ret	104	11858-Hynr-APG	64
Hyn_ret	105	11858-Hynr-APG	34
Hyn_ret	106	11858-Hynr-APG	60
Hyn_ret	107	11858-Hynr-APG	67
Hyn_ret	108	11858-Hynr-APG	48
Hyn_ret	109	11858-Hynr-APG	208
Hyn_ret	10	11858-Hynr-APG	93
Hyn_ret	110	11858-Hynr-APG	42
Hyn_ret	111	11858-Hynr-APG	43
Hyn_ret	112	11858-Hynr-APG	88
Hyn_ret	113	11858-Hynr-APG	68
Hyn_ret	114	11858-Hynr-APG	0
Hyn_ret	115	11858-Hynr-APG	127
Hyn_ret	116	11858-Hynr-APG	1571
Hyn_ret	117	11858-Hynr-APG	542
Hyn_ret	118	11858-Hynr-APG	1078
Hyn_ret	119	11858-Hynr-APG	1251
Hyn_ret	11	11858-Hynr-APG	120
Hyn_ret	120	11858-Hynr-APG	2722
Hyn_ret	121	11858-Hynr-APG	1701
Hyn_ret	122	11858-Hynr-APG	1810
Hyn_ret	123	11858-Hynr-APG	926
Hyn_ret	124	11858-Hynr-APG	289
Hyn_ret	125	11858-Hynr-APG	626
Hyn_ret	126	11858-Hynr-APG	1704
Hyn_ret	127	11858-Hynr-APG	1425
Hyn_ret	128	11858-Hynr-APG	1061
Hyn_ret	129	11858-Hynr-APG	8
Hyn_ret	12	11858-Hynr-APG	83
Hyn_ret	130	11858-Hynr-APG	1168
Hyn_ret	131	11858-Hynr-APG	1112
Hyn_ret	132	11858-Hynr-APG	707
Hyn_ret	133	11858-Hynr-APG	1056
Hyn_ret	134	11858-Hynr-APG	1472
Hyn_ret	135	11858-Hynr-APG	2194
Hyn_ret	136	11858-Hynr-APG	4057
Hyn_ret	137	11858-Hynr-APG	6983
Hyn_ret	138	11858-Hynr-APG	519
Hyn_ret	139	11858-Hynr-APG	375
Hyn_ret	13	11858-Hynr-APG	581
Hyn_ret	140	11858-Hynr-APG	1513
Hyn_ret	141	11858-Hynr-APG	963
Hyn_ret	142	11858-Hynr-APG	32
Hyn_ret	143	11858-Hynr-APG	0
Hyn_ret	144	11858-Hynr-APG	18
Hyn_ret	145	11858-Hynr-APG	0
Hyn_ret	146	11858-Hynr-APG	0
Hyn_ret	147	11858-Hynr-APG	0
Hyn_ret	148	11858-Hynr-APG	0
Hyn_ret	149	11858-Hynr-APG	2
Hyn_ret	14	11858-Hynr-APG	320
Hyn_ret	150	11858-Hynr-APG	8
Hyn_ret	151	11858-Hynr-APG	2
Hyn_ret	152	11858-Hynr-APG	9
Hyn_ret	153	11858-Hynr-APG	16
Hyn_ret	154	11858-Hynr-APG	70
Hyn_ret	155	11858-Hynr-APG	0
Hyn_ret	156	11858-Hynr-APG	24
Hyn_ret	15	11858-Hynr-APG	1
Hyn_ret	16	11858-Hynr-APG	72
Hyn_ret	17	11858-Hynr-APG	0
Hyn_ret	18	11858-Hynr-APG	51
Hyn_ret	19	11858-Hynr-APG	39
Hyn_ret	1	11858-Hynr-APG	45
Hyn_ret	20	11858-Hynr-APG	21
Hyn_ret	21	11858-Hynr-APG	36
Hyn_ret	22	11858-Hynr-APG	38
Hyn_ret	23	11858-Hynr-APG	27
Hyn_ret	24	11858-Hynr-APG	67
Hyn_ret	25	11858-Hynr-APG	88
Hyn_ret	26	11858-Hynr-APG	43
Hyn_ret	27	11858-Hynr-APG	0
Hyn_ret	28	11858-Hynr-APG	67
Hyn_ret	29	11858-Hynr-APG	92
Hyn_ret	2	11858-Hynr-APG	0
Hyn_ret	30	11858-Hynr-APG	81
Hyn_ret	31	11858-Hynr-APG	0
Hyn_ret	32	11858-Hynr-APG	21
Hyn_ret	33	11858-Hynr-APG	106
Hyn_ret	34	11858-Hynr-APG	275
Hyn_ret	35	11858-Hynr-APG	5
Hyn_ret	36	11858-Hynr-APG	16
Hyn_ret	37	11858-Hynr-APG	32
Hyn_ret	38	11858-Hynr-APG	5
Hyn_ret	39	11858-Hynr-APG	37
Hyn_ret	3	11858-Hynr-APG	1798
Hyn_ret	40	11858-Hynr-APG	25
Hyn_ret	41	11858-Hynr-APG	22
Hyn_ret	42	11858-Hynr-APG	80
Hyn_ret	43	11858-Hynr-APG	198
Hyn_ret	44	11858-Hynr-APG	149
Hyn_ret	45	11858-Hynr-APG	8
Hyn_ret	46	11858-Hynr-APG	10
Hyn_ret	47	11858-Hynr-APG	73
Hyn_ret	48	11858-Hynr-APG	17
Hyn_ret	49	11858-Hynr-APG	319
Hyn_ret	4	11858-Hynr-APG	114
Hyn_ret	50	11858-Hynr-APG	76
Hyn_ret	51	11858-Hynr-APG	59
Hyn_ret	52	11858-Hynr-APG	219
Hyn_ret	53	11858-Hynr-APG	746
Hyn_ret	54	11858-Hynr-APG	1615
Hyn_ret	55	11858-Hynr-APG	110
Hyn_ret	56	11858-Hynr-APG	516
Hyn_ret	57	11858-Hynr-APG	68
Hyn_ret	58	11858-Hynr-APG	5
Hyn_ret	59	11858-Hynr-APG	218
Hyn_ret	5	11858-Hynr-APG	0
Hyn_ret	60	11858-Hynr-APG	435
Hyn_ret	61	11858-Hynr-APG	1699
Hyn_ret	62	11858-Hynr-APG	4759
Hyn_ret	63	11858-Hynr-APG	2085
Hyn_ret	64	11858-Hynr-APG	1392
Hyn_ret	65	11858-Hynr-APG	223
Hyn_ret	66	11858-Hynr-APG	636
Hyn_ret	67	11858-Hynr-APG	28
Hyn_ret	68	11858-Hynr-APG	3
Hyn_ret	69	11858-Hynr-APG	216
Hyn_ret	6	11858-Hynr-APG	45
Hyn_ret	70	11858-Hynr-APG	0
Hyn_ret	71	11858-Hynr-APG	0
Hyn_ret	72	11858-Hynr-APG	56
Hyn_ret	73	11858-Hynr-APG	2
Hyn_ret	74	11858-Hynr-APG	0
Hyn_ret	75	11858-Hynr-APG	0
Hyn_ret	76	11858-Hynr-APG	0
Hyn_ret	77	11858-Hynr-APG	24
Hyn_ret	78	11858-Hynr-APG	25
Hyn_ret	79	11858-Hynr-APG	0
Hyn_ret	7	11858-Hynr-APG	61
Hyn_ret	80	11858-Hynr-APG	4
Hyn_ret	81	11858-Hynr-APG	0
Hyn_ret	82	11858-Hynr-APG	6
Hyn_ret	83	11858-Hynr-APG	6
Hyn_ret	84	11858-Hynr-APG	0
Hyn_ret	85	11858-Hynr-APG	43
Hyn_ret	86	11858-Hynr-APG	0
