Species	MIP	Ind	Coverage
Hyn_tok	100	11947-Hynt-APG	14
Hyn_tok	101	11947-Hynt-APG	0
Hyn_tok	102	11947-Hynt-APG	49
Hyn_tok	103	11947-Hynt-APG	82
Hyn_tok	104	11947-Hynt-APG	83
Hyn_tok	105	11947-Hynt-APG	0
Hyn_tok	106	11947-Hynt-APG	25
Hyn_tok	107	11947-Hynt-APG	5
Hyn_tok	108	11947-Hynt-APG	85
Hyn_tok	109	11947-Hynt-APG	63
Hyn_tok	10	11947-Hynt-APG	26
Hyn_tok	110	11947-Hynt-APG	91
Hyn_tok	111	11947-Hynt-APG	88
Hyn_tok	112	11947-Hynt-APG	9
Hyn_tok	113	11947-Hynt-APG	0
Hyn_tok	114	11947-Hynt-APG	32
Hyn_tok	115	11947-Hynt-APG	99
Hyn_tok	116	11947-Hynt-APG	53
Hyn_tok	117	11947-Hynt-APG	51
Hyn_tok	118	11947-Hynt-APG	41
Hyn_tok	119	11947-Hynt-APG	211
Hyn_tok	11	11947-Hynt-APG	0
Hyn_tok	120	11947-Hynt-APG	212
Hyn_tok	121	11947-Hynt-APG	29
Hyn_tok	122	11947-Hynt-APG	261
Hyn_tok	123	11947-Hynt-APG	321
Hyn_tok	124	11947-Hynt-APG	51
Hyn_tok	125	11947-Hynt-APG	64
Hyn_tok	126	11947-Hynt-APG	147
Hyn_tok	127	11947-Hynt-APG	2
Hyn_tok	128	11947-Hynt-APG	97
Hyn_tok	129	11947-Hynt-APG	131
Hyn_tok	12	11947-Hynt-APG	39
Hyn_tok	130	11947-Hynt-APG	165
Hyn_tok	131	11947-Hynt-APG	42
Hyn_tok	132	11947-Hynt-APG	9
Hyn_tok	133	11947-Hynt-APG	86
Hyn_tok	134	11947-Hynt-APG	280
Hyn_tok	135	11947-Hynt-APG	311
Hyn_tok	136	11947-Hynt-APG	20
Hyn_tok	137	11947-Hynt-APG	3
Hyn_tok	138	11947-Hynt-APG	168
Hyn_tok	139	11947-Hynt-APG	589
Hyn_tok	13	11947-Hynt-APG	0
Hyn_tok	140	11947-Hynt-APG	1114
Hyn_tok	141	11947-Hynt-APG	426
Hyn_tok	142	11947-Hynt-APG	265
Hyn_tok	143	11947-Hynt-APG	487
Hyn_tok	144	11947-Hynt-APG	30
Hyn_tok	145	11947-Hynt-APG	311
Hyn_tok	146	11947-Hynt-APG	62
Hyn_tok	147	11947-Hynt-APG	0
Hyn_tok	148	11947-Hynt-APG	0
Hyn_tok	149	11947-Hynt-APG	0
Hyn_tok	14	11947-Hynt-APG	61
Hyn_tok	150	11947-Hynt-APG	5
Hyn_tok	151	11947-Hynt-APG	30
Hyn_tok	152	11947-Hynt-APG	0
Hyn_tok	153	11947-Hynt-APG	0
Hyn_tok	154	11947-Hynt-APG	18
Hyn_tok	155	11947-Hynt-APG	11
Hyn_tok	156	11947-Hynt-APG	10
Hyn_tok	157	11947-Hynt-APG	207
Hyn_tok	158	11947-Hynt-APG	2
Hyn_tok	15	11947-Hynt-APG	6
Hyn_tok	16	11947-Hynt-APG	0
Hyn_tok	17	11947-Hynt-APG	464
Hyn_tok	18	11947-Hynt-APG	36
Hyn_tok	19	11947-Hynt-APG	178
Hyn_tok	1	11947-Hynt-APG	79
Hyn_tok	20	11947-Hynt-APG	340
Hyn_tok	21	11947-Hynt-APG	1
Hyn_tok	22	11947-Hynt-APG	13
Hyn_tok	23	11947-Hynt-APG	0
Hyn_tok	24	11947-Hynt-APG	6
Hyn_tok	25	11947-Hynt-APG	38
Hyn_tok	26	11947-Hynt-APG	110
Hyn_tok	27	11947-Hynt-APG	72
Hyn_tok	28	11947-Hynt-APG	179
Hyn_tok	29	11947-Hynt-APG	277
Hyn_tok	2	11947-Hynt-APG	0
Hyn_tok	30	11947-Hynt-APG	323
Hyn_tok	31	11947-Hynt-APG	82
Hyn_tok	32	11947-Hynt-APG	34
Hyn_tok	33	11947-Hynt-APG	302
Hyn_tok	34	11947-Hynt-APG	57
Hyn_tok	35	11947-Hynt-APG	22
Hyn_tok	36	11947-Hynt-APG	295
Hyn_tok	37	11947-Hynt-APG	6
Hyn_tok	38	11947-Hynt-APG	17
Hyn_tok	39	11947-Hynt-APG	0
Hyn_tok	3	11947-Hynt-APG	122
Hyn_tok	40	11947-Hynt-APG	11
Hyn_tok	41	11947-Hynt-APG	79
Hyn_tok	42	11947-Hynt-APG	222
Hyn_tok	43	11947-Hynt-APG	30
Hyn_tok	44	11947-Hynt-APG	70
Hyn_tok	45	11947-Hynt-APG	77
Hyn_tok	46	11947-Hynt-APG	539
Hyn_tok	47	11947-Hynt-APG	134
Hyn_tok	48	11947-Hynt-APG	266
Hyn_tok	49	11947-Hynt-APG	157
Hyn_tok	4	11947-Hynt-APG	139
Hyn_tok	50	11947-Hynt-APG	100
Hyn_tok	51	11947-Hynt-APG	310
Hyn_tok	52	11947-Hynt-APG	119
Hyn_tok	53	11947-Hynt-APG	344
Hyn_tok	54	11947-Hynt-APG	424
Hyn_tok	55	11947-Hynt-APG	136
Hyn_tok	56	11947-Hynt-APG	0
Hyn_tok	57	11947-Hynt-APG	29
Hyn_tok	58	11947-Hynt-APG	0
Hyn_tok	59	11947-Hynt-APG	105
Hyn_tok	5	11947-Hynt-APG	15
Hyn_tok	60	11947-Hynt-APG	118
Hyn_tok	61	11947-Hynt-APG	7
Hyn_tok	62	11947-Hynt-APG	370
Hyn_tok	63	11947-Hynt-APG	0
Hyn_tok	64	11947-Hynt-APG	11
Hyn_tok	65	11947-Hynt-APG	11
Hyn_tok	66	11947-Hynt-APG	118
Hyn_tok	67	11947-Hynt-APG	24
Hyn_tok	68	11947-Hynt-APG	17
Hyn_tok	69	11947-Hynt-APG	24
Hyn_tok	6	11947-Hynt-APG	0
Hyn_tok	70	11947-Hynt-APG	0
Hyn_tok	71	11947-Hynt-APG	41
Hyn_tok	72	11947-Hynt-APG	107
Hyn_tok	73	11947-Hynt-APG	3
Hyn_tok	74	11947-Hynt-APG	52
Hyn_tok	75	11947-Hynt-APG	26
Hyn_tok	76	11947-Hynt-APG	45
Hyn_tok	77	11947-Hynt-APG	38
Hyn_tok	78	11947-Hynt-APG	27
Hyn_tok	79	11947-Hynt-APG	59
Hyn_tok	7	11947-Hynt-APG	4
Hyn_tok	80	11947-Hynt-APG	6
Hyn_tok	81	11947-Hynt-APG	108
Hyn_tok	82	11947-Hynt-APG	0
Hyn_tok	83	11947-Hynt-APG	186
Hyn_tok	84	11947-Hynt-APG	25
Hyn_tok	85	11947-Hynt-APG	80
Hyn_tok	86	11947-Hynt-APG	262
Hyn_tok	87	11947-Hynt-APG	245
Hyn_tok	88	11947-Hynt-APG	84
Hyn_tok	89	11947-Hynt-APG	9
Hyn_tok	8	11947-Hynt-APG	3
Hyn_tok	90	11947-Hynt-APG	83
Hyn_tok	91	11947-Hynt-APG	92
Hyn_tok	92	11947-Hynt-APG	12
Hyn_tok	93	11947-Hynt-APG	31
Hyn_tok	94	11947-Hynt-APG	63
Hyn_tok	95	11947-Hynt-APG	14
Hyn_tok	96	11947-Hynt-APG	44
Hyn_tok	97	11947-Hynt-APG	4
Hyn_tok	98	11947-Hynt-APG	80
Hyn_tok	99	11947-Hynt-APG	276
Hyn_tok	9	11947-Hynt-APG	87
Hyn_tok	100	11948-Hynt-APG	7
Hyn_tok	101	11948-Hynt-APG	6
Hyn_tok	102	11948-Hynt-APG	65
Hyn_tok	103	11948-Hynt-APG	27
Hyn_tok	104	11948-Hynt-APG	45
Hyn_tok	105	11948-Hynt-APG	0
Hyn_tok	106	11948-Hynt-APG	24
Hyn_tok	107	11948-Hynt-APG	0
Hyn_tok	108	11948-Hynt-APG	40
Hyn_tok	109	11948-Hynt-APG	39
Hyn_tok	10	11948-Hynt-APG	36
Hyn_tok	110	11948-Hynt-APG	88
Hyn_tok	111	11948-Hynt-APG	77
Hyn_tok	112	11948-Hynt-APG	4
Hyn_tok	113	11948-Hynt-APG	0
Hyn_tok	114	11948-Hynt-APG	11
Hyn_tok	115	11948-Hynt-APG	61
Hyn_tok	116	11948-Hynt-APG	30
Hyn_tok	117	11948-Hynt-APG	0
Hyn_tok	118	11948-Hynt-APG	46
Hyn_tok	119	11948-Hynt-APG	166
Hyn_tok	11	11948-Hynt-APG	0
Hyn_tok	120	11948-Hynt-APG	155
Hyn_tok	121	11948-Hynt-APG	46
Hyn_tok	122	11948-Hynt-APG	127
Hyn_tok	123	11948-Hynt-APG	293
Hyn_tok	124	11948-Hynt-APG	54
Hyn_tok	125	11948-Hynt-APG	69
Hyn_tok	126	11948-Hynt-APG	51
Hyn_tok	127	11948-Hynt-APG	9
Hyn_tok	128	11948-Hynt-APG	92
Hyn_tok	129	11948-Hynt-APG	117
Hyn_tok	12	11948-Hynt-APG	17
Hyn_tok	130	11948-Hynt-APG	133
Hyn_tok	131	11948-Hynt-APG	29
Hyn_tok	132	11948-Hynt-APG	20
Hyn_tok	133	11948-Hynt-APG	65
Hyn_tok	134	11948-Hynt-APG	278
Hyn_tok	135	11948-Hynt-APG	199
Hyn_tok	136	11948-Hynt-APG	7
Hyn_tok	137	11948-Hynt-APG	32
Hyn_tok	138	11948-Hynt-APG	106
Hyn_tok	139	11948-Hynt-APG	265
Hyn_tok	13	11948-Hynt-APG	0
Hyn_tok	140	11948-Hynt-APG	1004
Hyn_tok	141	11948-Hynt-APG	260
Hyn_tok	142	11948-Hynt-APG	124
Hyn_tok	143	11948-Hynt-APG	326
Hyn_tok	144	11948-Hynt-APG	49
Hyn_tok	145	11948-Hynt-APG	208
Hyn_tok	146	11948-Hynt-APG	24
Hyn_tok	147	11948-Hynt-APG	0
Hyn_tok	148	11948-Hynt-APG	0
Hyn_tok	149	11948-Hynt-APG	0
Hyn_tok	14	11948-Hynt-APG	59
Hyn_tok	150	11948-Hynt-APG	4
Hyn_tok	151	11948-Hynt-APG	12
Hyn_tok	152	11948-Hynt-APG	0
Hyn_tok	153	11948-Hynt-APG	0
Hyn_tok	154	11948-Hynt-APG	7
Hyn_tok	155	11948-Hynt-APG	0
Hyn_tok	156	11948-Hynt-APG	5
Hyn_tok	157	11948-Hynt-APG	28
Hyn_tok	158	11948-Hynt-APG	12
Hyn_tok	15	11948-Hynt-APG	0
Hyn_tok	16	11948-Hynt-APG	4
Hyn_tok	17	11948-Hynt-APG	306
Hyn_tok	18	11948-Hynt-APG	6
Hyn_tok	19	11948-Hynt-APG	162
Hyn_tok	1	11948-Hynt-APG	31
Hyn_tok	20	11948-Hynt-APG	155
Hyn_tok	21	11948-Hynt-APG	2
Hyn_tok	22	11948-Hynt-APG	13
Hyn_tok	23	11948-Hynt-APG	0
Hyn_tok	24	11948-Hynt-APG	2
Hyn_tok	25	11948-Hynt-APG	43
Hyn_tok	26	11948-Hynt-APG	56
Hyn_tok	27	11948-Hynt-APG	55
Hyn_tok	28	11948-Hynt-APG	153
Hyn_tok	29	11948-Hynt-APG	179
Hyn_tok	2	11948-Hynt-APG	0
Hyn_tok	30	11948-Hynt-APG	141
Hyn_tok	31	11948-Hynt-APG	124
Hyn_tok	32	11948-Hynt-APG	18
Hyn_tok	33	11948-Hynt-APG	293
Hyn_tok	34	11948-Hynt-APG	38
Hyn_tok	35	11948-Hynt-APG	17
Hyn_tok	36	11948-Hynt-APG	142
Hyn_tok	37	11948-Hynt-APG	6
Hyn_tok	38	11948-Hynt-APG	13
Hyn_tok	39	11948-Hynt-APG	0
Hyn_tok	3	11948-Hynt-APG	41
Hyn_tok	40	11948-Hynt-APG	3
Hyn_tok	41	11948-Hynt-APG	10
Hyn_tok	42	11948-Hynt-APG	151
Hyn_tok	43	11948-Hynt-APG	8
Hyn_tok	44	11948-Hynt-APG	147
Hyn_tok	45	11948-Hynt-APG	207
Hyn_tok	46	11948-Hynt-APG	624
Hyn_tok	47	11948-Hynt-APG	105
Hyn_tok	48	11948-Hynt-APG	144
Hyn_tok	49	11948-Hynt-APG	120
Hyn_tok	4	11948-Hynt-APG	116
Hyn_tok	50	11948-Hynt-APG	89
Hyn_tok	51	11948-Hynt-APG	229
Hyn_tok	52	11948-Hynt-APG	54
Hyn_tok	53	11948-Hynt-APG	395
Hyn_tok	54	11948-Hynt-APG	442
Hyn_tok	55	11948-Hynt-APG	70
Hyn_tok	56	11948-Hynt-APG	0
Hyn_tok	57	11948-Hynt-APG	10
Hyn_tok	58	11948-Hynt-APG	0
Hyn_tok	59	11948-Hynt-APG	106
Hyn_tok	5	11948-Hynt-APG	10
Hyn_tok	60	11948-Hynt-APG	87
Hyn_tok	61	11948-Hynt-APG	16
Hyn_tok	62	11948-Hynt-APG	336
Hyn_tok	63	11948-Hynt-APG	0
Hyn_tok	64	11948-Hynt-APG	1
Hyn_tok	65	11948-Hynt-APG	1
Hyn_tok	66	11948-Hynt-APG	110
Hyn_tok	67	11948-Hynt-APG	3
Hyn_tok	68	11948-Hynt-APG	7
Hyn_tok	69	11948-Hynt-APG	12
Hyn_tok	6	11948-Hynt-APG	0
Hyn_tok	70	11948-Hynt-APG	0
Hyn_tok	71	11948-Hynt-APG	37
Hyn_tok	72	11948-Hynt-APG	77
Hyn_tok	73	11948-Hynt-APG	3
Hyn_tok	74	11948-Hynt-APG	61
Hyn_tok	75	11948-Hynt-APG	13
Hyn_tok	76	11948-Hynt-APG	90
Hyn_tok	77	11948-Hynt-APG	31
Hyn_tok	78	11948-Hynt-APG	28
Hyn_tok	79	11948-Hynt-APG	13
Hyn_tok	7	11948-Hynt-APG	0
Hyn_tok	80	11948-Hynt-APG	7
Hyn_tok	81	11948-Hynt-APG	47
Hyn_tok	82	11948-Hynt-APG	41
Hyn_tok	83	11948-Hynt-APG	52
Hyn_tok	84	11948-Hynt-APG	8
Hyn_tok	85	11948-Hynt-APG	26
Hyn_tok	86	11948-Hynt-APG	325
Hyn_tok	87	11948-Hynt-APG	230
Hyn_tok	88	11948-Hynt-APG	39
Hyn_tok	89	11948-Hynt-APG	14
Hyn_tok	8	11948-Hynt-APG	5
Hyn_tok	90	11948-Hynt-APG	27
Hyn_tok	91	11948-Hynt-APG	34
Hyn_tok	92	11948-Hynt-APG	15
Hyn_tok	93	11948-Hynt-APG	5
Hyn_tok	94	11948-Hynt-APG	42
Hyn_tok	95	11948-Hynt-APG	1
Hyn_tok	96	11948-Hynt-APG	37
Hyn_tok	97	11948-Hynt-APG	0
Hyn_tok	98	11948-Hynt-APG	63
Hyn_tok	99	11948-Hynt-APG	200
Hyn_tok	9	11948-Hynt-APG	46
Hyn_tok	100	11949-Hynt-APG	7
Hyn_tok	101	11949-Hynt-APG	0
Hyn_tok	102	11949-Hynt-APG	31
Hyn_tok	103	11949-Hynt-APG	28
Hyn_tok	104	11949-Hynt-APG	27
Hyn_tok	105	11949-Hynt-APG	0
Hyn_tok	106	11949-Hynt-APG	8
Hyn_tok	107	11949-Hynt-APG	0
Hyn_tok	108	11949-Hynt-APG	53
Hyn_tok	109	11949-Hynt-APG	30
Hyn_tok	10	11949-Hynt-APG	6
Hyn_tok	110	11949-Hynt-APG	92
Hyn_tok	111	11949-Hynt-APG	29
Hyn_tok	112	11949-Hynt-APG	2
Hyn_tok	113	11949-Hynt-APG	0
Hyn_tok	114	11949-Hynt-APG	46
Hyn_tok	115	11949-Hynt-APG	104
Hyn_tok	116	11949-Hynt-APG	9
Hyn_tok	117	11949-Hynt-APG	22
Hyn_tok	118	11949-Hynt-APG	41
Hyn_tok	119	11949-Hynt-APG	164
Hyn_tok	11	11949-Hynt-APG	0
Hyn_tok	120	11949-Hynt-APG	142
Hyn_tok	121	11949-Hynt-APG	38
Hyn_tok	122	11949-Hynt-APG	162
Hyn_tok	123	11949-Hynt-APG	219
Hyn_tok	124	11949-Hynt-APG	55
Hyn_tok	125	11949-Hynt-APG	84
Hyn_tok	126	11949-Hynt-APG	43
Hyn_tok	127	11949-Hynt-APG	15
Hyn_tok	128	11949-Hynt-APG	57
Hyn_tok	129	11949-Hynt-APG	87
Hyn_tok	12	11949-Hynt-APG	28
Hyn_tok	130	11949-Hynt-APG	118
Hyn_tok	131	11949-Hynt-APG	50
Hyn_tok	132	11949-Hynt-APG	2
Hyn_tok	133	11949-Hynt-APG	28
