Species	MIP	Ind	Coverage
Kar_kor	100	12453-Kark-APG	0
Kar_kor	101	12453-Kark-APG	0
Kar_kor	10	12453-Kark-APG	343
Kar_kor	11	12453-Kark-APG	219
Kar_kor	12	12453-Kark-APG	171
Kar_kor	13	12453-Kark-APG	0
Kar_kor	14	12453-Kark-APG	539
Kar_kor	15	12453-Kark-APG	536
Kar_kor	16	12453-Kark-APG	924
Kar_kor	17	12453-Kark-APG	609
Kar_kor	18	12453-Kark-APG	235
Kar_kor	19	12453-Kark-APG	173
Kar_kor	1	12453-Kark-APG	1207
Kar_kor	20	12453-Kark-APG	228
Kar_kor	21	12453-Kark-APG	153
Kar_kor	22	12453-Kark-APG	447
Kar_kor	23	12453-Kark-APG	360
Kar_kor	24	12453-Kark-APG	354
Kar_kor	25	12453-Kark-APG	542
Kar_kor	26	12453-Kark-APG	413
Kar_kor	27	12453-Kark-APG	216
Kar_kor	28	12453-Kark-APG	204
Kar_kor	29	12453-Kark-APG	289
Kar_kor	2	12453-Kark-APG	230
Kar_kor	30	12453-Kark-APG	51
Kar_kor	31	12453-Kark-APG	159
Kar_kor	32	12453-Kark-APG	456
Kar_kor	33	12453-Kark-APG	1179
Kar_kor	34	12453-Kark-APG	498
Kar_kor	35	12453-Kark-APG	2678
Kar_kor	36	12453-Kark-APG	222
Kar_kor	37	12453-Kark-APG	75
Kar_kor	38	12453-Kark-APG	27
Kar_kor	39	12453-Kark-APG	269
Kar_kor	3	12453-Kark-APG	0
Kar_kor	40	12453-Kark-APG	188
Kar_kor	41	12453-Kark-APG	62
Kar_kor	42	12453-Kark-APG	90
Kar_kor	43	12453-Kark-APG	227
Kar_kor	44	12453-Kark-APG	521
Kar_kor	45	12453-Kark-APG	84
Kar_kor	46	12453-Kark-APG	266
Kar_kor	47	12453-Kark-APG	65
Kar_kor	48	12453-Kark-APG	737
Kar_kor	49	12453-Kark-APG	331
Kar_kor	4	12453-Kark-APG	120
Kar_kor	50	12453-Kark-APG	29
Kar_kor	51	12453-Kark-APG	331
Kar_kor	52	12453-Kark-APG	164
Kar_kor	53	12453-Kark-APG	237
Kar_kor	54	12453-Kark-APG	216
Kar_kor	55	12453-Kark-APG	200
Kar_kor	56	12453-Kark-APG	188
Kar_kor	57	12453-Kark-APG	415
Kar_kor	58	12453-Kark-APG	165
Kar_kor	59	12453-Kark-APG	302
Kar_kor	5	12453-Kark-APG	290
Kar_kor	60	12453-Kark-APG	130
Kar_kor	61	12453-Kark-APG	197
Kar_kor	62	12453-Kark-APG	310
Kar_kor	63	12453-Kark-APG	308
Kar_kor	64	12453-Kark-APG	673
Kar_kor	65	12453-Kark-APG	444
Kar_kor	66	12453-Kark-APG	177
Kar_kor	67	12453-Kark-APG	2381
Kar_kor	68	12453-Kark-APG	858
Kar_kor	69	12453-Kark-APG	887
Kar_kor	6	12453-Kark-APG	476
Kar_kor	70	12453-Kark-APG	784
Kar_kor	71	12453-Kark-APG	678
Kar_kor	72	12453-Kark-APG	313
Kar_kor	73	12453-Kark-APG	140
Kar_kor	74	12453-Kark-APG	428
Kar_kor	75	12453-Kark-APG	139
Kar_kor	76	12453-Kark-APG	282
Kar_kor	77	12453-Kark-APG	1111
Kar_kor	78	12453-Kark-APG	609
Kar_kor	79	12453-Kark-APG	931
Kar_kor	7	12453-Kark-APG	0
Kar_kor	80	12453-Kark-APG	302
Kar_kor	81	12453-Kark-APG	512
Kar_kor	82	12453-Kark-APG	639
Kar_kor	83	12453-Kark-APG	2000
Kar_kor	84	12453-Kark-APG	0
Kar_kor	85	12453-Kark-APG	885
Kar_kor	86	12453-Kark-APG	0
Kar_kor	87	12453-Kark-APG	657
Kar_kor	88	12453-Kark-APG	0
Kar_kor	89	12453-Kark-APG	56
Kar_kor	8	12453-Kark-APG	429
Kar_kor	90	12453-Kark-APG	322
Kar_kor	91	12453-Kark-APG	376
