Species	MIP	Ind	Coverage
Lis_bos	100	12819-Lisb-APG	43
Lis_bos	101	12819-Lisb-APG	331
Lis_bos	102	12819-Lisb-APG	198
Lis_bos	103	12819-Lisb-APG	390
Lis_bos	104	12819-Lisb-APG	243
Lis_bos	105	12819-Lisb-APG	0
Lis_bos	106	12819-Lisb-APG	428
Lis_bos	107	12819-Lisb-APG	788
Lis_bos	108	12819-Lisb-APG	749
Lis_bos	109	12819-Lisb-APG	522
Lis_bos	10	12819-Lisb-APG	521
Lis_bos	110	12819-Lisb-APG	67
Lis_bos	111	12819-Lisb-APG	75
Lis_bos	112	12819-Lisb-APG	102
Lis_bos	113	12819-Lisb-APG	278
Lis_bos	114	12819-Lisb-APG	1
Lis_bos	115	12819-Lisb-APG	193
Lis_bos	116	12819-Lisb-APG	540
Lis_bos	117	12819-Lisb-APG	284
Lis_bos	118	12819-Lisb-APG	475
Lis_bos	119	12819-Lisb-APG	520
Lis_bos	11	12819-Lisb-APG	173
Lis_bos	120	12819-Lisb-APG	622
Lis_bos	121	12819-Lisb-APG	409
Lis_bos	122	12819-Lisb-APG	457
Lis_bos	123	12819-Lisb-APG	441
Lis_bos	124	12819-Lisb-APG	887
Lis_bos	125	12819-Lisb-APG	0
Lis_bos	126	12819-Lisb-APG	243
Lis_bos	127	12819-Lisb-APG	422
Lis_bos	128	12819-Lisb-APG	500
Lis_bos	129	12819-Lisb-APG	1387
Lis_bos	12	12819-Lisb-APG	0
Lis_bos	130	12819-Lisb-APG	297
Lis_bos	131	12819-Lisb-APG	299
Lis_bos	132	12819-Lisb-APG	343
Lis_bos	133	12819-Lisb-APG	136
Lis_bos	134	12819-Lisb-APG	534
Lis_bos	135	12819-Lisb-APG	638
Lis_bos	136	12819-Lisb-APG	223
Lis_bos	137	12819-Lisb-APG	165
Lis_bos	138	12819-Lisb-APG	102
Lis_bos	139	12819-Lisb-APG	588
Lis_bos	13	12819-Lisb-APG	374
Lis_bos	140	12819-Lisb-APG	266
Lis_bos	141	12819-Lisb-APG	183
Lis_bos	142	12819-Lisb-APG	117
Lis_bos	143	12819-Lisb-APG	0
Lis_bos	144	12819-Lisb-APG	1
Lis_bos	145	12819-Lisb-APG	701
Lis_bos	146	12819-Lisb-APG	20
Lis_bos	147	12819-Lisb-APG	63
Lis_bos	148	12819-Lisb-APG	1470
Lis_bos	149	12819-Lisb-APG	434
Lis_bos	14	12819-Lisb-APG	0
Lis_bos	150	12819-Lisb-APG	176
Lis_bos	151	12819-Lisb-APG	153
Lis_bos	152	12819-Lisb-APG	318
Lis_bos	153	12819-Lisb-APG	33
Lis_bos	154	12819-Lisb-APG	317
Lis_bos	155	12819-Lisb-APG	16
Lis_bos	156	12819-Lisb-APG	711
Lis_bos	157	12819-Lisb-APG	258
Lis_bos	158	12819-Lisb-APG	0
Lis_bos	159	12819-Lisb-APG	257
Lis_bos	15	12819-Lisb-APG	382
Lis_bos	160	12819-Lisb-APG	3
Lis_bos	161	12819-Lisb-APG	120
Lis_bos	162	12819-Lisb-APG	475
Lis_bos	163	12819-Lisb-APG	140
Lis_bos	164	12819-Lisb-APG	362
Lis_bos	165	12819-Lisb-APG	149
Lis_bos	166	12819-Lisb-APG	795
Lis_bos	167	12819-Lisb-APG	110
Lis_bos	168	12819-Lisb-APG	349
Lis_bos	169	12819-Lisb-APG	135
Lis_bos	16	12819-Lisb-APG	501
Lis_bos	170	12819-Lisb-APG	24
Lis_bos	171	12819-Lisb-APG	145
Lis_bos	172	12819-Lisb-APG	39
Lis_bos	173	12819-Lisb-APG	707
Lis_bos	174	12819-Lisb-APG	434
Lis_bos	175	12819-Lisb-APG	242
Lis_bos	176	12819-Lisb-APG	277
Lis_bos	177	12819-Lisb-APG	776
Lis_bos	178	12819-Lisb-APG	251
Lis_bos	179	12819-Lisb-APG	18
Lis_bos	17	12819-Lisb-APG	425
Lis_bos	180	12819-Lisb-APG	151
Lis_bos	181	12819-Lisb-APG	277
Lis_bos	182	12819-Lisb-APG	42
Lis_bos	183	12819-Lisb-APG	476
Lis_bos	184	12819-Lisb-APG	280
Lis_bos	185	12819-Lisb-APG	0
Lis_bos	186	12819-Lisb-APG	874
Lis_bos	187	12819-Lisb-APG	443
Lis_bos	188	12819-Lisb-APG	1
Lis_bos	189	12819-Lisb-APG	277
Lis_bos	18	12819-Lisb-APG	422
Lis_bos	190	12819-Lisb-APG	349
Lis_bos	191	12819-Lisb-APG	216
Lis_bos	192	12819-Lisb-APG	923
Lis_bos	193	12819-Lisb-APG	721
Lis_bos	194	12819-Lisb-APG	1
Lis_bos	195	12819-Lisb-APG	253
Lis_bos	196	12819-Lisb-APG	441
Lis_bos	197	12819-Lisb-APG	259
Lis_bos	198	12819-Lisb-APG	100
Lis_bos	199	12819-Lisb-APG	257
Lis_bos	19	12819-Lisb-APG	1037
Lis_bos	1	12819-Lisb-APG	20
Lis_bos	200	12819-Lisb-APG	317
Lis_bos	201	12819-Lisb-APG	393
Lis_bos	202	12819-Lisb-APG	67
Lis_bos	203	12819-Lisb-APG	176
Lis_bos	204	12819-Lisb-APG	212
Lis_bos	205	12819-Lisb-APG	332
Lis_bos	206	12819-Lisb-APG	429
Lis_bos	207	12819-Lisb-APG	874
Lis_bos	208	12819-Lisb-APG	510
Lis_bos	209	12819-Lisb-APG	212
Lis_bos	20	12819-Lisb-APG	529
Lis_bos	210	12819-Lisb-APG	2
Lis_bos	211	12819-Lisb-APG	93
