Species	MIP	Ind	Coverage
Lis_hel	100	12798-Lish-APG	349
Lis_hel	101	12798-Lish-APG	879
Lis_hel	102	12798-Lish-APG	366
Lis_hel	103	12798-Lish-APG	225
Lis_hel	104	12798-Lish-APG	265
Lis_hel	105	12798-Lish-APG	370
Lis_hel	106	12798-Lish-APG	174
Lis_hel	107	12798-Lish-APG	64
Lis_hel	108	12798-Lish-APG	720
Lis_hel	109	12798-Lish-APG	273
Lis_hel	10	12798-Lish-APG	1245
Lis_hel	110	12798-Lish-APG	263
Lis_hel	111	12798-Lish-APG	4
Lis_hel	112	12798-Lish-APG	1167
Lis_hel	113	12798-Lish-APG	155
Lis_hel	114	12798-Lish-APG	46
Lis_hel	115	12798-Lish-APG	318
Lis_hel	116	12798-Lish-APG	839
Lis_hel	117	12798-Lish-APG	409
Lis_hel	118	12798-Lish-APG	427
Lis_hel	119	12798-Lish-APG	296
Lis_hel	11	12798-Lish-APG	376
Lis_hel	120	12798-Lish-APG	386
Lis_hel	121	12798-Lish-APG	1059
Lis_hel	122	12798-Lish-APG	871
Lis_hel	123	12798-Lish-APG	492
Lis_hel	124	12798-Lish-APG	336
Lis_hel	125	12798-Lish-APG	1647
Lis_hel	126	12798-Lish-APG	408
Lis_hel	127	12798-Lish-APG	785
Lis_hel	128	12798-Lish-APG	2323
Lis_hel	129	12798-Lish-APG	752
Lis_hel	12	12798-Lish-APG	773
Lis_hel	130	12798-Lish-APG	1153
Lis_hel	131	12798-Lish-APG	483
Lis_hel	132	12798-Lish-APG	768
Lis_hel	133	12798-Lish-APG	1
Lis_hel	134	12798-Lish-APG	117
Lis_hel	135	12798-Lish-APG	2465
Lis_hel	136	12798-Lish-APG	952
Lis_hel	137	12798-Lish-APG	1153
Lis_hel	138	12798-Lish-APG	997
Lis_hel	139	12798-Lish-APG	680
Lis_hel	13	12798-Lish-APG	346
Lis_hel	140	12798-Lish-APG	415
Lis_hel	141	12798-Lish-APG	238
Lis_hel	142	12798-Lish-APG	560
Lis_hel	143	12798-Lish-APG	192
Lis_hel	144	12798-Lish-APG	93
Lis_hel	145	12798-Lish-APG	38
Lis_hel	146	12798-Lish-APG	11
Lis_hel	147	12798-Lish-APG	8
Lis_hel	148	12798-Lish-APG	176
Lis_hel	149	12798-Lish-APG	152
Lis_hel	14	12798-Lish-APG	0
Lis_hel	150	12798-Lish-APG	80
Lis_hel	151	12798-Lish-APG	192
Lis_hel	152	12798-Lish-APG	230
