Species	MIP	Ind	Coverage
Omm_nes	100	12860-omm	32
Omm_nes	101	12860-omm	162
Omm_nes	102	12860-omm	6
Omm_nes	103	12860-omm	26
Omm_nes	104	12860-omm	89
Omm_nes	105	12860-omm	294
Omm_nes	106	12860-omm	97
Omm_nes	107	12860-omm	0
Omm_nes	108	12860-omm	81
Omm_nes	109	12860-omm	90
Omm_nes	10	12860-omm	0
Omm_nes	110	12860-omm	241
Omm_nes	111	12860-omm	220
Omm_nes	112	12860-omm	0
Omm_nes	113	12860-omm	0
Omm_nes	114	12860-omm	0
Omm_nes	115	12860-omm	0
Omm_nes	116	12860-omm	264
Omm_nes	11	12860-omm	292
Omm_nes	12	12860-omm	54
Omm_nes	13	12860-omm	130
Omm_nes	14	12860-omm	264
Omm_nes	15	12860-omm	179
Omm_nes	16	12860-omm	0
Omm_nes	17	12860-omm	77
Omm_nes	18	12860-omm	513
Omm_nes	19	12860-omm	71
Omm_nes	1	12860-omm	0
Omm_nes	20	12860-omm	0
Omm_nes	21	12860-omm	117
Omm_nes	22	12860-omm	56
Omm_nes	23	12860-omm	103
Omm_nes	24	12860-omm	104
Omm_nes	25	12860-omm	183
Omm_nes	26	12860-omm	65
Omm_nes	27	12860-omm	41
Omm_nes	28	12860-omm	40
Omm_nes	29	12860-omm	82
Omm_nes	2	12860-omm	420
Omm_nes	30	12860-omm	202
Omm_nes	31	12860-omm	382
Omm_nes	32	12860-omm	148
Omm_nes	33	12860-omm	107
Omm_nes	34	12860-omm	26
Omm_nes	35	12860-omm	739
Omm_nes	36	12860-omm	197
Omm_nes	37	12860-omm	213
Omm_nes	38	12860-omm	401
Omm_nes	39	12860-omm	2
Omm_nes	3	12860-omm	0
Omm_nes	40	12860-omm	137
Omm_nes	41	12860-omm	252
Omm_nes	42	12860-omm	129
Omm_nes	43	12860-omm	201
Omm_nes	44	12860-omm	319
Omm_nes	45	12860-omm	93
Omm_nes	46	12860-omm	42
Omm_nes	47	12860-omm	214
Omm_nes	48	12860-omm	349
Omm_nes	49	12860-omm	164
Omm_nes	4	12860-omm	212
Omm_nes	50	12860-omm	141
Omm_nes	51	12860-omm	129
Omm_nes	52	12860-omm	190
Omm_nes	53	12860-omm	325
Omm_nes	54	12860-omm	201
Omm_nes	55	12860-omm	154
Omm_nes	56	12860-omm	111
Omm_nes	57	12860-omm	338
Omm_nes	58	12860-omm	67
Omm_nes	59	12860-omm	337
Omm_nes	5	12860-omm	248
Omm_nes	60	12860-omm	152
Omm_nes	61	12860-omm	56
Omm_nes	62	12860-omm	0
Omm_nes	63	12860-omm	102
Omm_nes	64	12860-omm	123
Omm_nes	65	12860-omm	124
Omm_nes	66	12860-omm	103
Omm_nes	67	12860-omm	0
Omm_nes	68	12860-omm	15
Omm_nes	69	12860-omm	0
Omm_nes	6	12860-omm	1
Omm_nes	70	12860-omm	121
Omm_nes	71	12860-omm	38
Omm_nes	72	12860-omm	60
Omm_nes	73	12860-omm	74
Omm_nes	74	12860-omm	56
Omm_nes	75	12860-omm	0
Omm_nes	76	12860-omm	437
Omm_nes	77	12860-omm	132
Omm_nes	78	12860-omm	43
Omm_nes	79	12860-omm	43
Omm_nes	7	12860-omm	228
Omm_nes	80	12860-omm	104
Omm_nes	81	12860-omm	209
Omm_nes	82	12860-omm	244
Omm_nes	83	12860-omm	232
Omm_nes	84	12860-omm	329
Omm_nes	85	12860-omm	306
Omm_nes	86	12860-omm	59
Omm_nes	87	12860-omm	185
Omm_nes	88	12860-omm	16
Omm_nes	89	12860-omm	141
Omm_nes	8	12860-omm	126
Omm_nes	90	12860-omm	173
Omm_nes	91	12860-omm	98
Omm_nes	92	12860-omm	66
Omm_nes	93	12860-omm	72
Omm_nes	94	12860-omm	96
Omm_nes	95	12860-omm	49
Omm_nes	96	12860-omm	198
Omm_nes	97	12860-omm	74
Omm_nes	98	12860-omm	148
Omm_nes	99	12860-omm	350
Omm_nes	9	12860-omm	162
Omm_nes	100	12861-omm	3
Omm_nes	101	12861-omm	148
Omm_nes	102	12861-omm	6
Omm_nes	103	12861-omm	50
Omm_nes	104	12861-omm	106
Omm_nes	105	12861-omm	222
Omm_nes	106	12861-omm	104
Omm_nes	107	12861-omm	0
Omm_nes	108	12861-omm	55
Omm_nes	109	12861-omm	133
Omm_nes	10	12861-omm	1
Omm_nes	110	12861-omm	206
Omm_nes	111	12861-omm	224
Omm_nes	112	12861-omm	0
Omm_nes	113	12861-omm	0
Omm_nes	114	12861-omm	0
Omm_nes	115	12861-omm	0
Omm_nes	116	12861-omm	189
Omm_nes	11	12861-omm	284
Omm_nes	12	12861-omm	45
Omm_nes	13	12861-omm	179
Omm_nes	14	12861-omm	241
Omm_nes	15	12861-omm	167
Omm_nes	16	12861-omm	0
Omm_nes	17	12861-omm	78
Omm_nes	18	12861-omm	401
Omm_nes	19	12861-omm	89
Omm_nes	1	12861-omm	0
Omm_nes	20	12861-omm	0
Omm_nes	21	12861-omm	193
Omm_nes	22	12861-omm	85
Omm_nes	23	12861-omm	121
Omm_nes	24	12861-omm	142
Omm_nes	25	12861-omm	197
Omm_nes	26	12861-omm	54
Omm_nes	27	12861-omm	37
Omm_nes	28	12861-omm	23
Omm_nes	29	12861-omm	72
Omm_nes	2	12861-omm	228
Omm_nes	30	12861-omm	105
Omm_nes	31	12861-omm	349
Omm_nes	32	12861-omm	217
Omm_nes	33	12861-omm	238
Omm_nes	34	12861-omm	62
Omm_nes	35	12861-omm	759
