Species	MIP	Ind	Coverage
Omm_oph	100	12940-omm	18
Omm_oph	101	12940-omm	205
Omm_oph	102	12940-omm	10
Omm_oph	103	12940-omm	44
Omm_oph	104	12940-omm	122
Omm_oph	105	12940-omm	489
Omm_oph	106	12940-omm	169
Omm_oph	107	12940-omm	0
Omm_oph	108	12940-omm	121
Omm_oph	109	12940-omm	83
Omm_oph	10	12940-omm	0
Omm_oph	110	12940-omm	253
Omm_oph	111	12940-omm	294
Omm_oph	112	12940-omm	0
Omm_oph	113	12940-omm	0
Omm_oph	114	12940-omm	0
Omm_oph	115	12940-omm	0
Omm_oph	116	12940-omm	313
Omm_oph	11	12940-omm	299
Omm_oph	12	12940-omm	87
Omm_oph	13	12940-omm	218
Omm_oph	14	12940-omm	321
Omm_oph	15	12940-omm	246
Omm_oph	16	12940-omm	0
Omm_oph	17	12940-omm	157
Omm_oph	18	12940-omm	545
Omm_oph	19	12940-omm	62
Omm_oph	1	12940-omm	0
Omm_oph	20	12940-omm	0
Omm_oph	21	12940-omm	69
Omm_oph	22	12940-omm	153
Omm_oph	23	12940-omm	169
Omm_oph	24	12940-omm	126
Omm_oph	25	12940-omm	359
Omm_oph	26	12940-omm	129
Omm_oph	27	12940-omm	43
Omm_oph	28	12940-omm	64
Omm_oph	29	12940-omm	165
Omm_oph	2	12940-omm	335
Omm_oph	30	12940-omm	178
Omm_oph	31	12940-omm	463
Omm_oph	32	12940-omm	262
Omm_oph	33	12940-omm	92
Omm_oph	34	12940-omm	83
Omm_oph	35	12940-omm	139
Omm_oph	36	12940-omm	205
Omm_oph	37	12940-omm	279
Omm_oph	38	12940-omm	606
Omm_oph	39	12940-omm	92
Omm_oph	3	12940-omm	0
Omm_oph	40	12940-omm	214
Omm_oph	41	12940-omm	344
Omm_oph	42	12940-omm	144
Omm_oph	43	12940-omm	269
Omm_oph	44	12940-omm	263
Omm_oph	45	12940-omm	160
Omm_oph	46	12940-omm	55
Omm_oph	47	12940-omm	337
Omm_oph	48	12940-omm	457
Omm_oph	49	12940-omm	60
Omm_oph	4	12940-omm	248
Omm_oph	50	12940-omm	244
Omm_oph	51	12940-omm	180
Omm_oph	52	12940-omm	374
Omm_oph	53	12940-omm	251
Omm_oph	54	12940-omm	255
Omm_oph	55	12940-omm	146
Omm_oph	56	12940-omm	86
Omm_oph	57	12940-omm	423
Omm_oph	58	12940-omm	149
Omm_oph	59	12940-omm	266
Omm_oph	5	12940-omm	260
Omm_oph	60	12940-omm	201
Omm_oph	61	12940-omm	49
Omm_oph	62	12940-omm	0
Omm_oph	63	12940-omm	162
Omm_oph	64	12940-omm	106
Omm_oph	65	12940-omm	158
Omm_oph	66	12940-omm	173
Omm_oph	67	12940-omm	0
Omm_oph	68	12940-omm	25
Omm_oph	69	12940-omm	0
Omm_oph	6	12940-omm	0
Omm_oph	70	12940-omm	111
Omm_oph	71	12940-omm	110
Omm_oph	72	12940-omm	19
Omm_oph	73	12940-omm	94
Omm_oph	74	12940-omm	0
Omm_oph	75	12940-omm	0
Omm_oph	76	12940-omm	134
