Species	MIP	Ind	Coverage
Plet_cin	100	15764-Plec-APG	404
Plet_cin	101	15764-Plec-APG	23
Plet_cin	102	15764-Plec-APG	270
Plet_cin	103	15764-Plec-APG	280
Plet_cin	104	15764-Plec-APG	1
Plet_cin	105	15764-Plec-APG	229
Plet_cin	106	15764-Plec-APG	119
Plet_cin	107	15764-Plec-APG	18
Plet_cin	108	15764-Plec-APG	140
Plet_cin	109	15764-Plec-APG	103
Plet_cin	10	15764-Plec-APG	5
Plet_cin	110	15764-Plec-APG	101
Plet_cin	111	15764-Plec-APG	9
Plet_cin	112	15764-Plec-APG	77
Plet_cin	113	15764-Plec-APG	21
Plet_cin	114	15764-Plec-APG	21
Plet_cin	115	15764-Plec-APG	0
Plet_cin	116	15764-Plec-APG	0
Plet_cin	117	15764-Plec-APG	0
Plet_cin	118	15764-Plec-APG	84
Plet_cin	119	15764-Plec-APG	107
Plet_cin	11	15764-Plec-APG	0
Plet_cin	120	15764-Plec-APG	237
Plet_cin	121	15764-Plec-APG	147
Plet_cin	122	15764-Plec-APG	316
Plet_cin	123	15764-Plec-APG	577
Plet_cin	124	15764-Plec-APG	131
Plet_cin	125	15764-Plec-APG	541
Plet_cin	126	15764-Plec-APG	152
Plet_cin	127	15764-Plec-APG	150
Plet_cin	128	15764-Plec-APG	71
Plet_cin	129	15764-Plec-APG	119
Plet_cin	12	15764-Plec-APG	49
Plet_cin	130	15764-Plec-APG	5
Plet_cin	131	15764-Plec-APG	0
Plet_cin	132	15764-Plec-APG	165
Plet_cin	133	15764-Plec-APG	5
Plet_cin	134	15764-Plec-APG	776
Plet_cin	135	15764-Plec-APG	178
Plet_cin	136	15764-Plec-APG	280
Plet_cin	137	15764-Plec-APG	471
Plet_cin	138	15764-Plec-APG	313
Plet_cin	139	15764-Plec-APG	435
Plet_cin	13	15764-Plec-APG	128
Plet_cin	140	15764-Plec-APG	226
Plet_cin	141	15764-Plec-APG	642
Plet_cin	142	15764-Plec-APG	81
Plet_cin	143	15764-Plec-APG	286
Plet_cin	144	15764-Plec-APG	272
Plet_cin	145	15764-Plec-APG	627
Plet_cin	146	15764-Plec-APG	1878
Plet_cin	147	15764-Plec-APG	1687
Plet_cin	148	15764-Plec-APG	196
Plet_cin	149	15764-Plec-APG	42
Plet_cin	14	15764-Plec-APG	87
Plet_cin	150	15764-Plec-APG	23
Plet_cin	151	15764-Plec-APG	599
Plet_cin	152	15764-Plec-APG	66
Plet_cin	153	15764-Plec-APG	71
Plet_cin	154	15764-Plec-APG	31
Plet_cin	155	15764-Plec-APG	60
Plet_cin	156	15764-Plec-APG	35
Plet_cin	157	15764-Plec-APG	133
Plet_cin	158	15764-Plec-APG	77
Plet_cin	159	15764-Plec-APG	724
Plet_cin	15	15764-Plec-APG	341
Plet_cin	160	15764-Plec-APG	288
Plet_cin	161	15764-Plec-APG	314
Plet_cin	162	15764-Plec-APG	435
Plet_cin	163	15764-Plec-APG	123
