Species	MIP	Ind	Coverage
Pleu_wal	134	12508-Plew-PSMB8	106
Pleu_wal	135	12508-Plew-PSMB8	104
Pleu_wal	136	12508-Plew-PSMB8	66
Pleu_wal	137	12508-Plew-PSMB8	111
Pleu_wal	138	12508-Plew-PSMB8	232
Pleu_wal	139	12508-Plew-PSMB8	245
Pleu_wal	140	12508-Plew-PSMB8	430
Pleu_wal	134	12509-Plew-PSMB8	77
Pleu_wal	135	12509-Plew-PSMB8	68
Pleu_wal	136	12509-Plew-PSMB8	70
Pleu_wal	137	12509-Plew-PSMB8	84
Pleu_wal	138	12509-Plew-PSMB8	186
Pleu_wal	139	12509-Plew-PSMB8	177
Pleu_wal	140	12509-Plew-PSMB8	330
Pleu_wal	134	12510-Plew-PSMB8	47
Pleu_wal	135	12510-Plew-PSMB8	52
Pleu_wal	136	12510-Plew-PSMB8	56
Pleu_wal	137	12510-Plew-PSMB8	70
Pleu_wal	138	12510-Plew-PSMB8	169
Pleu_wal	139	12510-Plew-PSMB8	131
Pleu_wal	140	12510-Plew-PSMB8	183
Pleu_wal	134	12511-Plew-PSMB8	51
Pleu_wal	135	12511-Plew-PSMB8	47
Pleu_wal	136	12511-Plew-PSMB8	40
Pleu_wal	137	12511-Plew-PSMB8	66
Pleu_wal	138	12511-Plew-PSMB8	117
Pleu_wal	139	12511-Plew-PSMB8	107
Pleu_wal	140	12511-Plew-PSMB8	150
Pleu_wal	134	12512-Plew-PSMB8	19
Pleu_wal	135	12512-Plew-PSMB8	25
Pleu_wal	136	12512-Plew-PSMB8	25
Pleu_wal	137	12512-Plew-PSMB8	47
Pleu_wal	138	12512-Plew-PSMB8	74
Pleu_wal	139	12512-Plew-PSMB8	79
Pleu_wal	140	12512-Plew-PSMB8	93
Pleu_wal	134	12515-Plew-PSMB8	37
Pleu_wal	135	12515-Plew-PSMB8	32
Pleu_wal	136	12515-Plew-PSMB8	26
Pleu_wal	137	12515-Plew-PSMB8	49
Pleu_wal	138	12515-Plew-PSMB8	101
Pleu_wal	139	12515-Plew-PSMB8	79
Pleu_wal	140	12515-Plew-PSMB8	140
Pleu_wal	134	12516-Plew-PSMB8	56
Pleu_wal	135	12516-Plew-PSMB8	46
Pleu_wal	136	12516-Plew-PSMB8	39
Pleu_wal	137	12516-Plew-PSMB8	108
Pleu_wal	138	12516-Plew-PSMB8	137
Pleu_wal	139	12516-Plew-PSMB8	107
Pleu_wal	140	12516-Plew-PSMB8	174
Pleu_wal	134	12517-Plew-PSMB8	17
Pleu_wal	135	12517-Plew-PSMB8	9
Pleu_wal	136	12517-Plew-PSMB8	10
Pleu_wal	137	12517-Plew-PSMB8	23
Pleu_wal	138	12517-Plew-PSMB8	37
Pleu_wal	139	12517-Plew-PSMB8	44
Pleu_wal	140	12517-Plew-PSMB8	39
Pleu_wal	134	12519-Plew-PSMB8	21
Pleu_wal	135	12519-Plew-PSMB8	21
Pleu_wal	136	12519-Plew-PSMB8	17
Pleu_wal	137	12519-Plew-PSMB8	40
Pleu_wal	138	12519-Plew-PSMB8	51
Pleu_wal	139	12519-Plew-PSMB8	61
Pleu_wal	140	12519-Plew-PSMB8	70
Pleu_wal	134	12520-Plew-PSMB8	15
Pleu_wal	135	12520-Plew-PSMB8	22
Pleu_wal	136	12520-Plew-PSMB8	11
Pleu_wal	137	12520-Plew-PSMB8	32
Pleu_wal	138	12520-Plew-PSMB8	50
Pleu_wal	139	12520-Plew-PSMB8	46
Pleu_wal	140	12520-Plew-PSMB8	56
Pleu_wal	134	12521-Plew-PSMB8	17
Pleu_wal	135	12521-Plew-PSMB8	9
Pleu_wal	136	12521-Plew-PSMB8	21
Pleu_wal	137	12521-Plew-PSMB8	24
Pleu_wal	138	12521-Plew-PSMB8	59
Pleu_wal	139	12521-Plew-PSMB8	57
Pleu_wal	140	12521-Plew-PSMB8	76
Pleu_wal	134	12522-Plew-PSMB8	16
Pleu_wal	135	12522-Plew-PSMB8	16
Pleu_wal	136	12522-Plew-PSMB8	11
Pleu_wal	137	12522-Plew-PSMB8	33
Pleu_wal	138	12522-Plew-PSMB8	48
Pleu_wal	139	12522-Plew-PSMB8	42
Pleu_wal	140	12522-Plew-PSMB8	74
Pleu_wal	134	12523-Plew-PSMB8	11
Pleu_wal	135	12523-Plew-PSMB8	8
Pleu_wal	136	12523-Plew-PSMB8	8
Pleu_wal	137	12523-Plew-PSMB8	11
Pleu_wal	138	12523-Plew-PSMB8	33
Pleu_wal	139	12523-Plew-PSMB8	27
Pleu_wal	140	12523-Plew-PSMB8	46
Pleu_wal	134	12524-Plew-PSMB8	47
Pleu_wal	135	12524-Plew-PSMB8	20
Pleu_wal	136	12524-Plew-PSMB8	30
Pleu_wal	137	12524-Plew-PSMB8	38
Pleu_wal	138	12524-Plew-PSMB8	92
Pleu_wal	139	12524-Plew-PSMB8	66
Pleu_wal	140	12524-Plew-PSMB8	79
Pleu_wal	134	12525-Plew-PSMB8	58
Pleu_wal	135	12525-Plew-PSMB8	53
Pleu_wal	136	12525-Plew-PSMB8	32
