Species	MIP	Ind	Coverage
Prot_ang	100	16028-Prote-APG	0
Prot_ang	101	16028-Prote-APG	67
Prot_ang	102	16028-Prote-APG	87
Prot_ang	103	16028-Prote-APG	0
Prot_ang	104	16028-Prote-APG	125
Prot_ang	105	16028-Prote-APG	92
Prot_ang	106	16028-Prote-APG	0
Prot_ang	107	16028-Prote-APG	28
Prot_ang	108	16028-Prote-APG	95
Prot_ang	109	16028-Prote-APG	20
Prot_ang	10	16028-Prote-APG	0
Prot_ang	110	16028-Prote-APG	17
Prot_ang	111	16028-Prote-APG	208
Prot_ang	112	16028-Prote-APG	163
Prot_ang	113	16028-Prote-APG	49
Prot_ang	114	16028-Prote-APG	188
Prot_ang	115	16028-Prote-APG	114
Prot_ang	116	16028-Prote-APG	3
Prot_ang	117	16028-Prote-APG	106
Prot_ang	118	16028-Prote-APG	20
Prot_ang	119	16028-Prote-APG	14
Prot_ang	11	16028-Prote-APG	59
Prot_ang	120	16028-Prote-APG	40
Prot_ang	121	16028-Prote-APG	47
Prot_ang	122	16028-Prote-APG	41
Prot_ang	123	16028-Prote-APG	0
Prot_ang	124	16028-Prote-APG	48
Prot_ang	125	16028-Prote-APG	0
Prot_ang	126	16028-Prote-APG	45
Prot_ang	127	16028-Prote-APG	62
Prot_ang	128	16028-Prote-APG	2
Prot_ang	129	16028-Prote-APG	0
Prot_ang	12	16028-Prote-APG	59
Prot_ang	130	16028-Prote-APG	0
Prot_ang	131	16028-Prote-APG	22
Prot_ang	132	16028-Prote-APG	40
Prot_ang	133	16028-Prote-APG	37
Prot_ang	134	16028-Prote-APG	134
Prot_ang	135	16028-Prote-APG	0
Prot_ang	136	16028-Prote-APG	0
Prot_ang	137	16028-Prote-APG	0
Prot_ang	138	16028-Prote-APG	15
Prot_ang	139	16028-Prote-APG	0
Prot_ang	13	16028-Prote-APG	21
Prot_ang	140	16028-Prote-APG	42
Prot_ang	141	16028-Prote-APG	37
Prot_ang	142	16028-Prote-APG	0
Prot_ang	143	16028-Prote-APG	78
Prot_ang	144	16028-Prote-APG	0
Prot_ang	145	16028-Prote-APG	0
Prot_ang	146	16028-Prote-APG	0
Prot_ang	147	16028-Prote-APG	217
Prot_ang	148	16028-Prote-APG	55
Prot_ang	149	16028-Prote-APG	39
Prot_ang	14	16028-Prote-APG	192
Prot_ang	150	16028-Prote-APG	8
Prot_ang	151	16028-Prote-APG	25
Prot_ang	152	16028-Prote-APG	0
Prot_ang	153	16028-Prote-APG	53
Prot_ang	154	16028-Prote-APG	37
Prot_ang	155	16028-Prote-APG	57
Prot_ang	156	16028-Prote-APG	24
Prot_ang	157	16028-Prote-APG	27
Prot_ang	158	16028-Prote-APG	78
Prot_ang	159	16028-Prote-APG	149
Prot_ang	15	16028-Prote-APG	14
Prot_ang	160	16028-Prote-APG	0
Prot_ang	161	16028-Prote-APG	0
Prot_ang	162	16028-Prote-APG	2
Prot_ang	163	16028-Prote-APG	66
Prot_ang	164	16028-Prote-APG	13
Prot_ang	165	16028-Prote-APG	28
Prot_ang	166	16028-Prote-APG	22
Prot_ang	167	16028-Prote-APG	53
Prot_ang	168	16028-Prote-APG	0
Prot_ang	169	16028-Prote-APG	0
Prot_ang	16	16028-Prote-APG	224
Prot_ang	170	16028-Prote-APG	0
Prot_ang	171	16028-Prote-APG	0
Prot_ang	172	16028-Prote-APG	0
Prot_ang	173	16028-Prote-APG	0
Prot_ang	174	16028-Prote-APG	0
Prot_ang	17	16028-Prote-APG	44
Prot_ang	18	16028-Prote-APG	0
Prot_ang	19	16028-Prote-APG	71
