Species	MIP	Ind	Coverage
Sal_sal	100	12257-sal	26
Sal_sal	101	12257-sal	94
Sal_sal	102	12257-sal	49
Sal_sal	103	12257-sal	155
Sal_sal	104	12257-sal	35
Sal_sal	105	12257-sal	205
Sal_sal	106	12257-sal	0
Sal_sal	107	12257-sal	148
Sal_sal	108	12257-sal	103
Sal_sal	109	12257-sal	16
Sal_sal	10	12257-sal	140
Sal_sal	110	12257-sal	0
Sal_sal	111	12257-sal	0
Sal_sal	112	12257-sal	77
Sal_sal	113	12257-sal	58
Sal_sal	114	12257-sal	37
Sal_sal	115	12257-sal	115
Sal_sal	116	12257-sal	1
Sal_sal	117	12257-sal	2
Sal_sal	118	12257-sal	80
Sal_sal	119	12257-sal	66
Sal_sal	11	12257-sal	0
Sal_sal	120	12257-sal	36
Sal_sal	121	12257-sal	85
Sal_sal	122	12257-sal	83
Sal_sal	123	12257-sal	66
Sal_sal	124	12257-sal	58
Sal_sal	125	12257-sal	191
Sal_sal	126	12257-sal	60
Sal_sal	127	12257-sal	13
Sal_sal	128	12257-sal	125
Sal_sal	129	12257-sal	129
Sal_sal	12	12257-sal	373
Sal_sal	130	12257-sal	0
Sal_sal	131	12257-sal	151
Sal_sal	132	12257-sal	233
Sal_sal	133	12257-sal	242
Sal_sal	134	12257-sal	38
Sal_sal	135	12257-sal	68
Sal_sal	136	12257-sal	49
Sal_sal	137	12257-sal	205
Sal_sal	138	12257-sal	66
Sal_sal	139	12257-sal	46
Sal_sal	13	12257-sal	45
Sal_sal	140	12257-sal	285
Sal_sal	141	12257-sal	57
Sal_sal	142	12257-sal	74
Sal_sal	143	12257-sal	13
Sal_sal	144	12257-sal	60
Sal_sal	145	12257-sal	81
Sal_sal	146	12257-sal	37
Sal_sal	147	12257-sal	0
Sal_sal	148	12257-sal	0
Sal_sal	14	12257-sal	353
Sal_sal	15	12257-sal	389
Sal_sal	16	12257-sal	1
Sal_sal	17	12257-sal	91
Sal_sal	18	12257-sal	252
Sal_sal	19	12257-sal	145
Sal_sal	1	12257-sal	166
Sal_sal	20	12257-sal	63
Sal_sal	21	12257-sal	234
Sal_sal	22	12257-sal	74
Sal_sal	23	12257-sal	256
Sal_sal	24	12257-sal	130
Sal_sal	25	12257-sal	194
Sal_sal	26	12257-sal	203
Sal_sal	27	12257-sal	220
Sal_sal	28	12257-sal	36
Sal_sal	29	12257-sal	23
Sal_sal	2	12257-sal	241
Sal_sal	30	12257-sal	176
Sal_sal	31	12257-sal	47
Sal_sal	32	12257-sal	106
Sal_sal	33	12257-sal	163
Sal_sal	34	12257-sal	45
Sal_sal	35	12257-sal	296
Sal_sal	36	12257-sal	143
