Species	MIP	Ind	Coverage
Tri_cri	177	5073-Tric-PSMB9	31
Tri_cri	178	5073-Tric-PSMB9	126
Tri_cri	179	5073-Tric-PSMB9	178
Tri_cri	180	5073-Tric-PSMB9	34
Tri_cri	181	5073-Tric-PSMB9	54
Tri_cri	182	5073-Tric-PSMB9	0
Tri_cri	183	5073-Tric-PSMB9	0
Tri_cri	184	5073-Tric-PSMB9	0
Tri_cri	185	5073-Tric-PSMB9	13
Tri_cri	186	5073-Tric-PSMB9	42
Tri_cri	187	5073-Tric-PSMB9	2
Tri_cri	188	5073-Tric-PSMB9	2
Tri_cri	189	5073-Tric-PSMB9	0
Tri_cri	190	5073-Tric-PSMB9	1
Tri_cri	191	5073-Tric-PSMB9	18
Tri_cri	192	5073-Tric-PSMB9	12
Tri_cri	193	5073-Tric-PSMB9	31
Tri_cri	194	5073-Tric-PSMB9	126
Tri_cri	195	5073-Tric-PSMB9	70
Tri_cri	196	5073-Tric-PSMB9	0
Tri_cri	197	5073-Tric-PSMB9	38
Tri_cri	177	5074-Tric-PSMB9	54
Tri_cri	178	5074-Tric-PSMB9	324
Tri_cri	179	5074-Tric-PSMB9	269
Tri_cri	180	5074-Tric-PSMB9	87
Tri_cri	181	5074-Tric-PSMB9	128
Tri_cri	182	5074-Tric-PSMB9	0
Tri_cri	183	5074-Tric-PSMB9	0
Tri_cri	184	5074-Tric-PSMB9	1
Tri_cri	185	5074-Tric-PSMB9	26
Tri_cri	186	5074-Tric-PSMB9	79
Tri_cri	187	5074-Tric-PSMB9	2
Tri_cri	188	5074-Tric-PSMB9	0
Tri_cri	189	5074-Tric-PSMB9	0
Tri_cri	190	5074-Tric-PSMB9	3
Tri_cri	191	5074-Tric-PSMB9	38
Tri_cri	192	5074-Tric-PSMB9	24
Tri_cri	193	5074-Tric-PSMB9	51
Tri_cri	194	5074-Tric-PSMB9	324
Tri_cri	195	5074-Tric-PSMB9	99
Tri_cri	196	5074-Tric-PSMB9	29
Tri_cri	197	5074-Tric-PSMB9	95
Tri_cri	177	5075-Tric-PSMB9	44
Tri_cri	178	5075-Tric-PSMB9	364
Tri_cri	179	5075-Tric-PSMB9	300
Tri_cri	180	5075-Tric-PSMB9	124
Tri_cri	181	5075-Tric-PSMB9	182
Tri_cri	182	5075-Tric-PSMB9	0
Tri_cri	183	5075-Tric-PSMB9	0
Tri_cri	184	5075-Tric-PSMB9	0
Tri_cri	185	5075-Tric-PSMB9	49
Tri_cri	186	5075-Tric-PSMB9	74
Tri_cri	187	5075-Tric-PSMB9	0
Tri_cri	188	5075-Tric-PSMB9	1
Tri_cri	189	5075-Tric-PSMB9	0
Tri_cri	190	5075-Tric-PSMB9	0
Tri_cri	191	5075-Tric-PSMB9	38
Tri_cri	192	5075-Tric-PSMB9	39
Tri_cri	193	5075-Tric-PSMB9	44
Tri_cri	194	5075-Tric-PSMB9	364
Tri_cri	195	5075-Tric-PSMB9	143
Tri_cri	196	5075-Tric-PSMB9	76
Tri_cri	197	5075-Tric-PSMB9	103
Tri_cri	177	5076-Tric-PSMB9	79
Tri_cri	178	5076-Tric-PSMB9	536
Tri_cri	179	5076-Tric-PSMB9	494
Tri_cri	180	5076-Tric-PSMB9	120
Tri_cri	181	5076-Tric-PSMB9	213
Tri_cri	182	5076-Tric-PSMB9	3
Tri_cri	183	5076-Tric-PSMB9	0
Tri_cri	184	5076-Tric-PSMB9	1
Tri_cri	185	5076-Tric-PSMB9	71
Tri_cri	186	5076-Tric-PSMB9	154
Tri_cri	187	5076-Tric-PSMB9	0
Tri_cri	188	5076-Tric-PSMB9	0
Tri_cri	189	5076-Tric-PSMB9	0
Tri_cri	190	5076-Tric-PSMB9	1
Tri_cri	191	5076-Tric-PSMB9	60
Tri_cri	192	5076-Tric-PSMB9	54
Tri_cri	193	5076-Tric-PSMB9	78
Tri_cri	194	5076-Tric-PSMB9	536
Tri_cri	195	5076-Tric-PSMB9	208
Tri_cri	196	5076-Tric-PSMB9	48
Tri_cri	197	5076-Tric-PSMB9	139
Tri_cri	177	5077-Tric-PSMB9	20
Tri_cri	178	5077-Tric-PSMB9	140
Tri_cri	179	5077-Tric-PSMB9	242
Tri_cri	180	5077-Tric-PSMB9	52
Tri_cri	181	5077-Tric-PSMB9	88
Tri_cri	182	5077-Tric-PSMB9	2
Tri_cri	183	5077-Tric-PSMB9	0
Tri_cri	184	5077-Tric-PSMB9	0
Tri_cri	185	5077-Tric-PSMB9	26
Tri_cri	186	5077-Tric-PSMB9	46
Tri_cri	187	5077-Tric-PSMB9	0
Tri_cri	188	5077-Tric-PSMB9	1
Tri_cri	189	5077-Tric-PSMB9	0
Tri_cri	190	5077-Tric-PSMB9	0
Tri_cri	191	5077-Tric-PSMB9	23
Tri_cri	192	5077-Tric-PSMB9	22
Tri_cri	193	5077-Tric-PSMB9	20
Tri_cri	194	5077-Tric-PSMB9	140
Tri_cri	195	5077-Tric-PSMB9	69
Tri_cri	196	5077-Tric-PSMB9	58
Tri_cri	197	5077-Tric-PSMB9	55
Tri_cri	177	5078-Tric-PSMB9	86
Tri_cri	178	5078-Tric-PSMB9	755
Tri_cri	179	5078-Tric-PSMB9	721
Tri_cri	180	5078-Tric-PSMB9	242
Tri_cri	181	5078-Tric-PSMB9	272
Tri_cri	182	5078-Tric-PSMB9	4
Tri_cri	183	5078-Tric-PSMB9	0
Tri_cri	184	5078-Tric-PSMB9	3
Tri_cri	185	5078-Tric-PSMB9	87
Tri_cri	186	5078-Tric-PSMB9	172
Tri_cri	187	5078-Tric-PSMB9	0
Tri_cri	188	5078-Tric-PSMB9	0
Tri_cri	189	5078-Tric-PSMB9	0
Tri_cri	190	5078-Tric-PSMB9	3
Tri_cri	191	5078-Tric-PSMB9	55
Tri_cri	192	5078-Tric-PSMB9	68
Tri_cri	193	5078-Tric-PSMB9	86
Tri_cri	194	5078-Tric-PSMB9	755
Tri_cri	195	5078-Tric-PSMB9	236
Tri_cri	196	5078-Tric-PSMB9	152
Tri_cri	197	5078-Tric-PSMB9	147
Tri_cri	177	5079-Tric-PSMB9	51
Tri_cri	178	5079-Tric-PSMB9	495
Tri_cri	179	5079-Tric-PSMB9	509
Tri_cri	180	5079-Tric-PSMB9	163
Tri_cri	181	5079-Tric-PSMB9	229
Tri_cri	182	5079-Tric-PSMB9	1
Tri_cri	183	5079-Tric-PSMB9	0
Tri_cri	184	5079-Tric-PSMB9	0
