Species	MIP	Ind	Coverage
Tri_iva	177	12980-Trii-PSMB9	0
Tri_iva	178	12980-Trii-PSMB9	103
Tri_iva	179	12980-Trii-PSMB9	1216
Tri_iva	180	12980-Trii-PSMB9	21
Tri_iva	181	12980-Trii-PSMB9	1
Tri_iva	182	12980-Trii-PSMB9	0
Tri_iva	183	12980-Trii-PSMB9	0
Tri_iva	184	12980-Trii-PSMB9	0
Tri_iva	185	12980-Trii-PSMB9	0
Tri_iva	186	12980-Trii-PSMB9	480
Tri_iva	187	12980-Trii-PSMB9	316
Tri_iva	188	12980-Trii-PSMB9	547
Tri_iva	189	12980-Trii-PSMB9	0
Tri_iva	190	12980-Trii-PSMB9	0
Tri_iva	191	12980-Trii-PSMB9	0
Tri_iva	192	12980-Trii-PSMB9	0
Tri_iva	193	12980-Trii-PSMB9	0
Tri_iva	194	12980-Trii-PSMB9	103
Tri_iva	195	12980-Trii-PSMB9	0
Tri_iva	196	12980-Trii-PSMB9	18
Tri_iva	197	12980-Trii-PSMB9	0
Tri_iva	177	12981-Trii-PSMB9	0
Tri_iva	178	12981-Trii-PSMB9	138
Tri_iva	179	12981-Trii-PSMB9	1441
Tri_iva	180	12981-Trii-PSMB9	32
Tri_iva	181	12981-Trii-PSMB9	4
Tri_iva	182	12981-Trii-PSMB9	0
Tri_iva	183	12981-Trii-PSMB9	0
Tri_iva	184	12981-Trii-PSMB9	0
Tri_iva	185	12981-Trii-PSMB9	0
Tri_iva	186	12981-Trii-PSMB9	540
Tri_iva	187	12981-Trii-PSMB9	449
Tri_iva	188	12981-Trii-PSMB9	635
Tri_iva	189	12981-Trii-PSMB9	0
Tri_iva	190	12981-Trii-PSMB9	0
Tri_iva	191	12981-Trii-PSMB9	0
Tri_iva	192	12981-Trii-PSMB9	0
Tri_iva	193	12981-Trii-PSMB9	0
Tri_iva	194	12981-Trii-PSMB9	138
Tri_iva	195	12981-Trii-PSMB9	0
Tri_iva	196	12981-Trii-PSMB9	27
Tri_iva	197	12981-Trii-PSMB9	5
Tri_iva	177	12982-Trii-PSMB9	0
Tri_iva	178	12982-Trii-PSMB9	73
Tri_iva	179	12982-Trii-PSMB9	1077
Tri_iva	180	12982-Trii-PSMB9	24
Tri_iva	181	12982-Trii-PSMB9	0
Tri_iva	182	12982-Trii-PSMB9	0
Tri_iva	183	12982-Trii-PSMB9	0
Tri_iva	184	12982-Trii-PSMB9	0
Tri_iva	185	12982-Trii-PSMB9	0
Tri_iva	186	12982-Trii-PSMB9	436
Tri_iva	187	12982-Trii-PSMB9	380
Tri_iva	188	12982-Trii-PSMB9	441
Tri_iva	189	12982-Trii-PSMB9	0
Tri_iva	190	12982-Trii-PSMB9	0
Tri_iva	191	12982-Trii-PSMB9	0
Tri_iva	192	12982-Trii-PSMB9	0
Tri_iva	193	12982-Trii-PSMB9	0
Tri_iva	194	12982-Trii-PSMB9	73
Tri_iva	195	12982-Trii-PSMB9	0
Tri_iva	196	12982-Trii-PSMB9	7
Tri_iva	197	12982-Trii-PSMB9	1
Tri_iva	177	12983-Trii-PSMB9	1
Tri_iva	178	12983-Trii-PSMB9	43
Tri_iva	179	12983-Trii-PSMB9	1276
Tri_iva	180	12983-Trii-PSMB9	24
Tri_iva	181	12983-Trii-PSMB9	4
Tri_iva	182	12983-Trii-PSMB9	0
Tri_iva	183	12983-Trii-PSMB9	0
Tri_iva	184	12983-Trii-PSMB9	0
Tri_iva	185	12983-Trii-PSMB9	0
Tri_iva	186	12983-Trii-PSMB9	393
Tri_iva	187	12983-Trii-PSMB9	300
Tri_iva	188	12983-Trii-PSMB9	548
Tri_iva	189	12983-Trii-PSMB9	0
Tri_iva	190	12983-Trii-PSMB9	1
Tri_iva	191	12983-Trii-PSMB9	0
Tri_iva	192	12983-Trii-PSMB9	0
Tri_iva	193	12983-Trii-PSMB9	0
Tri_iva	194	12983-Trii-PSMB9	43
Tri_iva	195	12983-Trii-PSMB9	1
Tri_iva	196	12983-Trii-PSMB9	22
Tri_iva	197	12983-Trii-PSMB9	0
Tri_iva	177	12984-Trii-PSMB9	1
Tri_iva	178	12984-Trii-PSMB9	85
Tri_iva	179	12984-Trii-PSMB9	736
Tri_iva	180	12984-Trii-PSMB9	8
Tri_iva	181	12984-Trii-PSMB9	9
Tri_iva	182	12984-Trii-PSMB9	0
Tri_iva	183	12984-Trii-PSMB9	0
Tri_iva	184	12984-Trii-PSMB9	0
Tri_iva	185	12984-Trii-PSMB9	0
Tri_iva	186	12984-Trii-PSMB9	305
Tri_iva	187	12984-Trii-PSMB9	162
