Species	MIP	Ind	Coverage
Tri_kar	177	13080-Trik-PSMB9	0
Tri_kar	178	13080-Trik-PSMB9	172
Tri_kar	179	13080-Trik-PSMB9	1072
Tri_kar	180	13080-Trik-PSMB9	63
Tri_kar	181	13080-Trik-PSMB9	5
Tri_kar	182	13080-Trik-PSMB9	0
Tri_kar	183	13080-Trik-PSMB9	0
Tri_kar	184	13080-Trik-PSMB9	0
Tri_kar	185	13080-Trik-PSMB9	0
Tri_kar	186	13080-Trik-PSMB9	489
Tri_kar	187	13080-Trik-PSMB9	526
Tri_kar	188	13080-Trik-PSMB9	636
Tri_kar	189	13080-Trik-PSMB9	0
Tri_kar	190	13080-Trik-PSMB9	0
Tri_kar	191	13080-Trik-PSMB9	0
Tri_kar	192	13080-Trik-PSMB9	0
Tri_kar	193	13080-Trik-PSMB9	0
Tri_kar	194	13080-Trik-PSMB9	172
Tri_kar	195	13080-Trik-PSMB9	1
Tri_kar	196	13080-Trik-PSMB9	103
Tri_kar	197	13080-Trik-PSMB9	0
Tri_kar	177	13081-Trik-PSMB9	3
Tri_kar	178	13081-Trik-PSMB9	400
Tri_kar	179	13081-Trik-PSMB9	3499
Tri_kar	180	13081-Trik-PSMB9	122
Tri_kar	181	13081-Trik-PSMB9	2
Tri_kar	182	13081-Trik-PSMB9	0
Tri_kar	183	13081-Trik-PSMB9	0
Tri_kar	184	13081-Trik-PSMB9	0
Tri_kar	185	13081-Trik-PSMB9	0
Tri_kar	186	13081-Trik-PSMB9	1195
Tri_kar	187	13081-Trik-PSMB9	1615
Tri_kar	188	13081-Trik-PSMB9	1560
Tri_kar	189	13081-Trik-PSMB9	0
Tri_kar	190	13081-Trik-PSMB9	3
Tri_kar	191	13081-Trik-PSMB9	0
Tri_kar	192	13081-Trik-PSMB9	0
Tri_kar	193	13081-Trik-PSMB9	0
Tri_kar	194	13081-Trik-PSMB9	400
Tri_kar	195	13081-Trik-PSMB9	0
Tri_kar	196	13081-Trik-PSMB9	104
Tri_kar	197	13081-Trik-PSMB9	8
Tri_kar	177	13082-Trik-PSMB9	8
Tri_kar	178	13082-Trik-PSMB9	471
Tri_kar	179	13082-Trik-PSMB9	5994
Tri_kar	180	13082-Trik-PSMB9	323
Tri_kar	181	13082-Trik-PSMB9	25
Tri_kar	182	13082-Trik-PSMB9	0
Tri_kar	183	13082-Trik-PSMB9	0
Tri_kar	184	13082-Trik-PSMB9	0
Tri_kar	185	13082-Trik-PSMB9	1
Tri_kar	186	13082-Trik-PSMB9	1815
Tri_kar	187	13082-Trik-PSMB9	1818
Tri_kar	188	13082-Trik-PSMB9	2773
Tri_kar	189	13082-Trik-PSMB9	0
Tri_kar	190	13082-Trik-PSMB9	8
Tri_kar	191	13082-Trik-PSMB9	0
Tri_kar	192	13082-Trik-PSMB9	0
Tri_kar	193	13082-Trik-PSMB9	0
Tri_kar	194	13082-Trik-PSMB9	471
Tri_kar	195	13082-Trik-PSMB9	4
Tri_kar	196	13082-Trik-PSMB9	290
Tri_kar	197	13082-Trik-PSMB9	8
Tri_kar	177	13083-Trik-PSMB9	6
Tri_kar	178	13083-Trik-PSMB9	732
Tri_kar	179	13083-Trik-PSMB9	10884
Tri_kar	180	13083-Trik-PSMB9	289
Tri_kar	181	13083-Trik-PSMB9	44
Tri_kar	182	13083-Trik-PSMB9	0
Tri_kar	183	13083-Trik-PSMB9	0
Tri_kar	184	13083-Trik-PSMB9	0
Tri_kar	185	13083-Trik-PSMB9	0
Tri_kar	186	13083-Trik-PSMB9	4024
Tri_kar	187	13083-Trik-PSMB9	4190
Tri_kar	188	13083-Trik-PSMB9	5947
Tri_kar	189	13083-Trik-PSMB9	0
Tri_kar	190	13083-Trik-PSMB9	6
Tri_kar	191	13083-Trik-PSMB9	0
Tri_kar	192	13083-Trik-PSMB9	0
Tri_kar	193	13083-Trik-PSMB9	0
Tri_kar	194	13083-Trik-PSMB9	732
Tri_kar	195	13083-Trik-PSMB9	3
Tri_kar	196	13083-Trik-PSMB9	213
Tri_kar	197	13083-Trik-PSMB9	10
Tri_kar	177	13084d-Trik-PSMB9	0
Tri_kar	178	13084d-Trik-PSMB9	95
Tri_kar	179	13084d-Trik-PSMB9	620
Tri_kar	180	13084d-Trik-PSMB9	52
Tri_kar	181	13084d-Trik-PSMB9	2
Tri_kar	182	13084d-Trik-PSMB9	0
Tri_kar	183	13084d-Trik-PSMB9	0
Tri_kar	184	13084d-Trik-PSMB9	0
Tri_kar	185	13084d-Trik-PSMB9	0
Tri_kar	186	13084d-Trik-PSMB9	278
Tri_kar	187	13084d-Trik-PSMB9	243
Tri_kar	188	13084d-Trik-PSMB9	322
Tri_kar	189	13084d-Trik-PSMB9	0
Tri_kar	190	13084d-Trik-PSMB9	0
Tri_kar	191	13084d-Trik-PSMB9	0
Tri_kar	192	13084d-Trik-PSMB9	0
Tri_kar	193	13084d-Trik-PSMB9	0
Tri_kar	194	13084d-Trik-PSMB9	95
Tri_kar	195	13084d-Trik-PSMB9	0
Tri_kar	196	13084d-Trik-PSMB9	19
Tri_kar	197	13084d-Trik-PSMB9	0
Tri_kar	177	13084-Trik-PSMB9	0
Tri_kar	178	13084-Trik-PSMB9	249
Tri_kar	179	13084-Trik-PSMB9	2496
Tri_kar	180	13084-Trik-PSMB9	94
Tri_kar	181	13084-Trik-PSMB9	2
Tri_kar	182	13084-Trik-PSMB9	0
Tri_kar	183	13084-Trik-PSMB9	0
Tri_kar	184	13084-Trik-PSMB9	0
Tri_kar	185	13084-Trik-PSMB9	0
Tri_kar	186	13084-Trik-PSMB9	1027
Tri_kar	187	13084-Trik-PSMB9	1222
Tri_kar	188	13084-Trik-PSMB9	1247
Tri_kar	189	13084-Trik-PSMB9	0
Tri_kar	190	13084-Trik-PSMB9	0
Tri_kar	191	13084-Trik-PSMB9	0
Tri_kar	192	13084-Trik-PSMB9	0
Tri_kar	193	13084-Trik-PSMB9	0
Tri_kar	194	13084-Trik-PSMB9	249
Tri_kar	195	13084-Trik-PSMB9	1
Tri_kar	196	13084-Trik-PSMB9	65
Tri_kar	197	13084-Trik-PSMB9	3
Tri_kar	177	13085-Trik-PSMB9	0
Tri_kar	178	13085-Trik-PSMB9	189
Tri_kar	179	13085-Trik-PSMB9	2283
Tri_kar	180	13085-Trik-PSMB9	68
Tri_kar	181	13085-Trik-PSMB9	2
Tri_kar	182	13085-Trik-PSMB9	0
Tri_kar	183	13085-Trik-PSMB9	0
Tri_kar	184	13085-Trik-PSMB9	0
Tri_kar	185	13085-Trik-PSMB9	1
Tri_kar	186	13085-Trik-PSMB9	788
Tri_kar	187	13085-Trik-PSMB9	880
Tri_kar	188	13085-Trik-PSMB9	1201
Tri_kar	189	13085-Trik-PSMB9	0
Tri_kar	190	13085-Trik-PSMB9	0
Tri_kar	191	13085-Trik-PSMB9	0
Tri_kar	192	13085-Trik-PSMB9	0
Tri_kar	193	13085-Trik-PSMB9	0
Tri_kar	194	13085-Trik-PSMB9	189
Tri_kar	195	13085-Trik-PSMB9	1
Tri_kar	196	13085-Trik-PSMB9	44
Tri_kar	197	13085-Trik-PSMB9	0
Tri_kar	177	13086-Trik-PSMB9	11
Tri_kar	178	13086-Trik-PSMB9	124
Tri_kar	179	13086-Trik-PSMB9	1521
Tri_kar	180	13086-Trik-PSMB9	0
Tri_kar	181	13086-Trik-PSMB9	0
Tri_kar	182	13086-Trik-PSMB9	0
Tri_kar	183	13086-Trik-PSMB9	0
Tri_kar	184	13086-Trik-PSMB9	0
Tri_kar	185	13086-Trik-PSMB9	0
Tri_kar	186	13086-Trik-PSMB9	911
Tri_kar	187	13086-Trik-PSMB9	713
Tri_kar	188	13086-Trik-PSMB9	654
Tri_kar	189	13086-Trik-PSMB9	0
Tri_kar	190	13086-Trik-PSMB9	11
Tri_kar	191	13086-Trik-PSMB9	0
Tri_kar	192	13086-Trik-PSMB9	0
Tri_kar	193	13086-Trik-PSMB9	0
Tri_kar	194	13086-Trik-PSMB9	124
Tri_kar	195	13086-Trik-PSMB9	3
Tri_kar	196	13086-Trik-PSMB9	20
Tri_kar	197	13086-Trik-PSMB9	2
Tri_kar	177	13087-Trik-PSMB9	1
Tri_kar	178	13087-Trik-PSMB9	456
Tri_kar	179	13087-Trik-PSMB9	6209
Tri_kar	180	13087-Trik-PSMB9	255
Tri_kar	181	13087-Trik-PSMB9	47
Tri_kar	182	13087-Trik-PSMB9	0
Tri_kar	183	13087-Trik-PSMB9	0
Tri_kar	184	13087-Trik-PSMB9	0
Tri_kar	185	13087-Trik-PSMB9	1
Tri_kar	186	13087-Trik-PSMB9	2737
Tri_kar	187	13087-Trik-PSMB9	2395
Tri_kar	188	13087-Trik-PSMB9	3467
Tri_kar	189	13087-Trik-PSMB9	0
Tri_kar	190	13087-Trik-PSMB9	1
Tri_kar	191	13087-Trik-PSMB9	0
Tri_kar	192	13087-Trik-PSMB9	0
Tri_kar	193	13087-Trik-PSMB9	0
Tri_kar	194	13087-Trik-PSMB9	456
Tri_kar	195	13087-Trik-PSMB9	1
Tri_kar	196	13087-Trik-PSMB9	290
Tri_kar	197	13087-Trik-PSMB9	2
Tri_kar	177	13088-Trik-PSMB9	1
Tri_kar	178	13088-Trik-PSMB9	286
Tri_kar	179	13088-Trik-PSMB9	2481
Tri_kar	180	13088-Trik-PSMB9	37
Tri_kar	181	13088-Trik-PSMB9	17
Tri_kar	182	13088-Trik-PSMB9	0
Tri_kar	183	13088-Trik-PSMB9	0
Tri_kar	184	13088-Trik-PSMB9	0
Tri_kar	185	13088-Trik-PSMB9	0
Tri_kar	186	13088-Trik-PSMB9	1086
Tri_kar	187	13088-Trik-PSMB9	905
Tri_kar	188	13088-Trik-PSMB9	1463
Tri_kar	189	13088-Trik-PSMB9	0
Tri_kar	190	13088-Trik-PSMB9	1
Tri_kar	191	13088-Trik-PSMB9	0
Tri_kar	192	13088-Trik-PSMB9	0
Tri_kar	193	13088-Trik-PSMB9	0
Tri_kar	194	13088-Trik-PSMB9	286
Tri_kar	195	13088-Trik-PSMB9	1
Tri_kar	196	13088-Trik-PSMB9	83
Tri_kar	197	13088-Trik-PSMB9	0
Tri_kar	177	13089-Trik-PSMB9	3
Tri_kar	178	13089-Trik-PSMB9	372
Tri_kar	179	13089-Trik-PSMB9	4259
Tri_kar	180	13089-Trik-PSMB9	199
Tri_kar	181	13089-Trik-PSMB9	9
Tri_kar	182	13089-Trik-PSMB9	0
Tri_kar	183	13089-Trik-PSMB9	0
