Species	MIP	Ind	Coverage
Tri_mar	177	13183-Trimr-PSMB9	16
Tri_mar	178	13183-Trimr-PSMB9	120
Tri_mar	179	13183-Trimr-PSMB9	203
Tri_mar	180	13183-Trimr-PSMB9	25
Tri_mar	181	13183-Trimr-PSMB9	51
Tri_mar	182	13183-Trimr-PSMB9	42
Tri_mar	183	13183-Trimr-PSMB9	0
Tri_mar	184	13183-Trimr-PSMB9	19
Tri_mar	185	13183-Trimr-PSMB9	12
Tri_mar	186	13183-Trimr-PSMB9	28
Tri_mar	187	13183-Trimr-PSMB9	22
Tri_mar	188	13183-Trimr-PSMB9	0
Tri_mar	189	13183-Trimr-PSMB9	0
Tri_mar	190	13183-Trimr-PSMB9	0
Tri_mar	191	13183-Trimr-PSMB9	9
Tri_mar	192	13183-Trimr-PSMB9	9
Tri_mar	193	13183-Trimr-PSMB9	16
Tri_mar	194	13183-Trimr-PSMB9	120
Tri_mar	195	13183-Trimr-PSMB9	103
Tri_mar	196	13183-Trimr-PSMB9	18
Tri_mar	197	13183-Trimr-PSMB9	16
Tri_mar	177	13184-Trimr-PSMB9	67
Tri_mar	178	13184-Trimr-PSMB9	215
Tri_mar	179	13184-Trimr-PSMB9	577
Tri_mar	180	13184-Trimr-PSMB9	49
Tri_mar	181	13184-Trimr-PSMB9	102
Tri_mar	182	13184-Trimr-PSMB9	96
Tri_mar	183	13184-Trimr-PSMB9	0
Tri_mar	184	13184-Trimr-PSMB9	54
Tri_mar	185	13184-Trimr-PSMB9	21
Tri_mar	186	13184-Trimr-PSMB9	61
Tri_mar	187	13184-Trimr-PSMB9	9
Tri_mar	188	13184-Trimr-PSMB9	0
Tri_mar	189	13184-Trimr-PSMB9	1
Tri_mar	190	13184-Trimr-PSMB9	0
Tri_mar	191	13184-Trimr-PSMB9	20
Tri_mar	192	13184-Trimr-PSMB9	14
Tri_mar	193	13184-Trimr-PSMB9	67
Tri_mar	194	13184-Trimr-PSMB9	215
Tri_mar	195	13184-Trimr-PSMB9	172
Tri_mar	196	13184-Trimr-PSMB9	73
Tri_mar	197	13184-Trimr-PSMB9	24
Tri_mar	177	13185-Trimr-PSMB9	44
Tri_mar	178	13185-Trimr-PSMB9	216
Tri_mar	179	13185-Trimr-PSMB9	441
Tri_mar	180	13185-Trimr-PSMB9	57
Tri_mar	181	13185-Trimr-PSMB9	74
Tri_mar	182	13185-Trimr-PSMB9	106
Tri_mar	183	13185-Trimr-PSMB9	0
Tri_mar	184	13185-Trimr-PSMB9	35
Tri_mar	185	13185-Trimr-PSMB9	15
Tri_mar	186	13185-Trimr-PSMB9	52
Tri_mar	187	13185-Trimr-PSMB9	0
Tri_mar	188	13185-Trimr-PSMB9	1
Tri_mar	189	13185-Trimr-PSMB9	1
Tri_mar	190	13185-Trimr-PSMB9	0
Tri_mar	191	13185-Trimr-PSMB9	17
Tri_mar	192	13185-Trimr-PSMB9	13
Tri_mar	193	13185-Trimr-PSMB9	44
Tri_mar	194	13185-Trimr-PSMB9	216
Tri_mar	195	13185-Trimr-PSMB9	191
Tri_mar	196	13185-Trimr-PSMB9	74
Tri_mar	197	13185-Trimr-PSMB9	29
Tri_mar	177	13186-Trimr-PSMB9	24
Tri_mar	178	13186-Trimr-PSMB9	132
Tri_mar	179	13186-Trimr-PSMB9	317
Tri_mar	180	13186-Trimr-PSMB9	18
Tri_mar	181	13186-Trimr-PSMB9	56
Tri_mar	182	13186-Trimr-PSMB9	64
Tri_mar	183	13186-Trimr-PSMB9	0
Tri_mar	184	13186-Trimr-PSMB9	18
Tri_mar	185	13186-Trimr-PSMB9	4
Tri_mar	186	13186-Trimr-PSMB9	49
Tri_mar	187	13186-Trimr-PSMB9	6
Tri_mar	188	13186-Trimr-PSMB9	0
Tri_mar	189	13186-Trimr-PSMB9	0
Tri_mar	190	13186-Trimr-PSMB9	0
Tri_mar	191	13186-Trimr-PSMB9	12
Tri_mar	192	13186-Trimr-PSMB9	2
Tri_mar	193	13186-Trimr-PSMB9	24
Tri_mar	194	13186-Trimr-PSMB9	132
Tri_mar	195	13186-Trimr-PSMB9	101
Tri_mar	196	13186-Trimr-PSMB9	18
Tri_mar	197	13186-Trimr-PSMB9	19
