Species	MIP	Ind	Coverage
Tri_pyg	177	12772-Trip-PSMB9	112
Tri_pyg	178	12772-Trip-PSMB9	308
Tri_pyg	179	12772-Trip-PSMB9	738
Tri_pyg	180	12772-Trip-PSMB9	83
Tri_pyg	181	12772-Trip-PSMB9	148
Tri_pyg	182	12772-Trip-PSMB9	189
Tri_pyg	183	12772-Trip-PSMB9	0
Tri_pyg	184	12772-Trip-PSMB9	68
Tri_pyg	185	12772-Trip-PSMB9	56
Tri_pyg	186	12772-Trip-PSMB9	91
Tri_pyg	187	12772-Trip-PSMB9	0
Tri_pyg	188	12772-Trip-PSMB9	0
Tri_pyg	189	12772-Trip-PSMB9	0
Tri_pyg	190	12772-Trip-PSMB9	0
Tri_pyg	191	12772-Trip-PSMB9	27
Tri_pyg	192	12772-Trip-PSMB9	47
Tri_pyg	193	12772-Trip-PSMB9	112
Tri_pyg	194	12772-Trip-PSMB9	308
Tri_pyg	195	12772-Trip-PSMB9	288
Tri_pyg	196	12772-Trip-PSMB9	133
Tri_pyg	197	12772-Trip-PSMB9	47
Tri_pyg	177	12773-Trip-PSMB9	35
Tri_pyg	178	12773-Trip-PSMB9	88
Tri_pyg	179	12773-Trip-PSMB9	219
Tri_pyg	180	12773-Trip-PSMB9	25
Tri_pyg	181	12773-Trip-PSMB9	53
Tri_pyg	182	12773-Trip-PSMB9	50
Tri_pyg	183	12773-Trip-PSMB9	0
Tri_pyg	184	12773-Trip-PSMB9	24
Tri_pyg	185	12773-Trip-PSMB9	21
Tri_pyg	186	12773-Trip-PSMB9	41
Tri_pyg	187	12773-Trip-PSMB9	0
Tri_pyg	188	12773-Trip-PSMB9	0
Tri_pyg	189	12773-Trip-PSMB9	0
Tri_pyg	190	12773-Trip-PSMB9	0
Tri_pyg	191	12773-Trip-PSMB9	15
Tri_pyg	192	12773-Trip-PSMB9	17
Tri_pyg	193	12773-Trip-PSMB9	33
Tri_pyg	194	12773-Trip-PSMB9	88
Tri_pyg	195	12773-Trip-PSMB9	106
Tri_pyg	196	12773-Trip-PSMB9	45
Tri_pyg	197	12773-Trip-PSMB9	18
Tri_pyg	177	12774-Trip-PSMB9	38
Tri_pyg	178	12774-Trip-PSMB9	151
Tri_pyg	179	12774-Trip-PSMB9	350
Tri_pyg	180	12774-Trip-PSMB9	47
Tri_pyg	181	12774-Trip-PSMB9	64
Tri_pyg	182	12774-Trip-PSMB9	77
Tri_pyg	183	12774-Trip-PSMB9	0
Tri_pyg	184	12774-Trip-PSMB9	53
Tri_pyg	185	12774-Trip-PSMB9	33
Tri_pyg	186	12774-Trip-PSMB9	52
Tri_pyg	187	12774-Trip-PSMB9	0
Tri_pyg	188	12774-Trip-PSMB9	1
Tri_pyg	189	12774-Trip-PSMB9	0
Tri_pyg	190	12774-Trip-PSMB9	0
Tri_pyg	191	12774-Trip-PSMB9	4
Tri_pyg	192	12774-Trip-PSMB9	30
Tri_pyg	193	12774-Trip-PSMB9	38
Tri_pyg	194	12774-Trip-PSMB9	151
Tri_pyg	195	12774-Trip-PSMB9	144
Tri_pyg	196	12774-Trip-PSMB9	97
Tri_pyg	197	12774-Trip-PSMB9	37
Tri_pyg	177	12775-Trip-PSMB9	46
Tri_pyg	178	12775-Trip-PSMB9	140
Tri_pyg	179	12775-Trip-PSMB9	359
Tri_pyg	180	12775-Trip-PSMB9	42
Tri_pyg	181	12775-Trip-PSMB9	61
Tri_pyg	182	12775-Trip-PSMB9	86
Tri_pyg	183	12775-Trip-PSMB9	0
Tri_pyg	184	12775-Trip-PSMB9	27
Tri_pyg	185	12775-Trip-PSMB9	36
Tri_pyg	186	12775-Trip-PSMB9	49
Tri_pyg	187	12775-Trip-PSMB9	1
Tri_pyg	188	12775-Trip-PSMB9	0
Tri_pyg	189	12775-Trip-PSMB9	1
Tri_pyg	190	12775-Trip-PSMB9	0
Tri_pyg	191	12775-Trip-PSMB9	11
Tri_pyg	192	12775-Trip-PSMB9	29
Tri_pyg	193	12775-Trip-PSMB9	46
Tri_pyg	194	12775-Trip-PSMB9	140
Tri_pyg	195	12775-Trip-PSMB9	131
Tri_pyg	196	12775-Trip-PSMB9	72
