gene	gene_sym	class
BRD2	BRD2	nonAPG
DAXX_Amb_tig	DAXX	nonAPG
DAXX_And_davH_c38591_g2_i1	DAXX	nonAPG
DAXX_Bat_mixed	DAXX	nonAPG
DAXX_ELJ2433_TRINITY_DN80800_c0_g14_i1	DAXX	nonAPG
DAXX_Eur_bis_TRINITY_DN112646_c2_g1_i1	DAXX	nonAPG
DAXX_Hyd_stri_TRINITY_DN97909_c3_g2_i6	DAXX	nonAPG
DAXX_Hyn_leec_ret_mod	DAXX	nonAPG
DAXX_Hyn_ret_TRINITY_DN32261_c3_g5_i1	DAXX	nonAPG
DAXX_Ich_alp_mod	DAXX	nonAPG
DAXX_Kar_kor	DAXX	nonAPG
DAXX_Lis_bosc_cons_mixed	DAXX	nonAPG
DAXX_Lis_helv_mixed_mod	DAXX	nonAPG
DAXX_Lis_ital_cons_monvul_helv	DAXX	nonAPG
DAXX	DAXX	nonAPG
DAXX_Plet_cin_cons	DAXX	nonAPG
DAXX_Pleu_wal_comp63218_c2_seq1	DAXX	nonAPG
DAXX_Prot_ang	DAXX	nonAPG
DAXX_3_Sal_sal_TRINITY_DN106812_c4_g2_i3	DAXX	nonAPG
DAXXconsenso	DAXX	nonAPG
KIFC1_Amb_tig	KIFC1	nonAPG
KIFC1_And_davH_c35240_g1_i1	KIFC1	nonAPG
KIFC1_Bat_mixed	KIFC1	nonAPG
KIFC_ELJ2393_TRINITY_DN90885_c0_g1_i2_mixed	KIFC1	nonAPG
KIFC1_Eur_bis_TRINITY_DN107319_c0_g1_i1	KIFC1	nonAPG
KIFC1_Hyd_ital_TRINITY_DN92936_c0_g5_i2	KIFC1	nonAPG
KIFC_Hyn_leec_ret_mod	KIFC1	nonAPG
KIFC1_Hyn_ret_TRINITY_DN32369_c0_g1_i2	KIFC1	nonAPG
KIFC1_Ich_alp_Consensus	KIFC1	nonAPG
KIFC1_Kar_kor	KIFC1	nonAPG
KIFC1_Lis_bosc_cons_mixed	KIFC1	nonAPG
KIFC1_Lis_monvul_c139688_g1_i1	KIFC1	nonAPG
KIFC1_Lis_ital_cons_monvul_helv	KIFC1	nonAPG
KIFC1	KIFC1	nonAPG
KIFC1_Plet_73_TRINITY_DN35044_c0_g1_i1	KIFC1	nonAPG
KIFC1_Pleu_wal_comp63704_c5_seq1	KIFC1	nonAPG
KIFC1_Prot_ang	KIFC1	nonAPG
KIFC1_2_Sal_sal_TRINITY_DN101419_c0_g3_i6	KIFC1	nonAPG
KIFC1consenso	KIFC1	nonAPG
PSMB8_mixed	PSMB8	APG
PSMB8_mod_And_davH_c9168_mod_Crypt	PSMB8	APG
PSMB8_Hyn_leec	PSMB8	APG
PSMB8_Hyn_ret_leec_TRINITY_DN34427_c2_g1_i3	PSMB8	APG
PSMB8_Lis_bosc_cons_mixed	PSMB8	APG
PSMB8_Lis_helv_Contig_20763	PSMB8	APG
PSMB8_Lis_ital_cons_monvul_helv	PSMB8	APG
PSMB8lin1	PSMB8	APG
PSMB8_Pleu_wal_comp65303_c0_seq1	PSMB8	APG
PSMB8_Cons_mixed	PSMB8	APG
PSMB8_2_Sal_sal_TRINITY_DN95236_c0_g1_i1	PSMB8	APG
PSMB9_	PSMB9	APG
PSMB9_And_davH_c34352_g1_i1	PSMB9	APG
PSMB9_Des_fus_mixed	PSMB9	APG
PSMB9_Eur_bis_consensus	PSMB9	APG
PSMB9_Hyn_leec	PSMB9	APG
PSMB9_Hyn_ret_TRINITY_DN34071_c0_g3_i2	PSMB9	APG
PSMB9_mixed	PSMB9	APG
PSMB9_Kar_kor	PSMB9	APG
PSMB9_Lis_bosc_cons_mixed	PSMB9	APG
PSMB9_Lis_helv_Contig_24001	PSMB9	APG
PSMB9_Lis_ital_cons_monvul_helv	PSMB9	APG
PSMB9lin1	PSMB9	APG
PSMB9_Plet_73_TRINITY_DN37674_c0_g1_i1_mixed	PSMB9	APG
PSMB9_Cons_mixed	PSMB9	APG
PSMB9_2_Sal_sal_TRINITY_DN45638_c0_g1_i1	PSMB9	APG
PSMB9_Bat_mixed	PSMB9	APG
