id	exon	cov
3766	2	18040
3767	2	10064
3768	2	16090
3769	2	11237
3770	2	29213
3771	2	17309
3772	2	26340
3773	2	14280
3774	2	48518
3775	2	28192
3776	2	2709
3777	2	3105
3778	2	4177
3779	2	3732
3780	2	2674
3813	2	26398
3814	2	18553
3815	2	28281
3816	2	22097
3817	2	41446
3818	2	30021
3819	2	19025
3820	2	29926
3821	2	22678
3822	2	40404
3823	2	2478
4452	2	48171
4453	2	31841
4454	2	51096
4455	2	34959
4456	2	63039
4457	2	24379
4458	2	17306
4459	2	28843
4460	2	17201
4461	2	33429
4462	2	2279
4463	2	2284
4464	2	1738
4465	2	2328
4466	2	2817
4467	2	2384
4468	2	2569
4469	2	2486
4470	2	2676
4471	2	2703
4473	2	2219
4474	2	1766
4475	2	1606
4476	2	1606
4477	2	2065
4478	2	2767
4479	2	2339
4480	2	2461
4481	2	2081
5073	2	25667
5074	2	20639
5075	2	29417
5076	2	20636
5077	2	36375
5078	2	22886
5079	2	19088
5080	2	28809
5081	2	21071
5082	2	33832
5083	2	2305
5084	2	1889
5085	2	1819
5086	2	2003
5087	2	2559
5088	2	2185
5089	2	2052
5090	2	2295
5091	2	2032
5092	2	1979
5102	2	42502
5103	2	31814
5104	2	49270
5105	2	32272
5106	2	53023
5107	2	25676
5108	2	17894
5109	2	27798
5110	2	18500
5111	2	33813
5112	2	2584
5113	2	2104
5114	2	2154
5115	2	2205
5116	2	2756
5117	2	2399
5118	2	2275
5119	2	1918
8415	2	12550
8416	2	21201
8417	2	20740
8418	2	10912
8419	2	24271
8420	2	28246
8421	2	25267
8422	2	32378
8423	2	21944
8424	2	32877
8425	2	1287
8426	2	3629
8427	2	2031
8428	2	2427
8429	2	3889
8430	2	2292
8431	2	2585
8432	2	2865
8433	2	2372
8434	2	2266
10853	2	26555
10854	2	22239
10855	2	14054
10856	2	11865
10857	2	21180
10858	2	16265
10859	2	16297
10860	2	12927
10861	2	18368
10862	2	14795
10863	2	11680
10864	2	9352
10865	2	25661
10866	2	26663
10867	2	29805
11857	2	6769
11858	2	5341
11859	2	3997
11860	2	3527
11861	2	4334
11862	2	5685
11863	2	5932
11864	2	4103
11865	2	5057
11866	2	4975
11867	2	5949
11868	2	4606
11869	2	6582
11870	2	8125
11871	2	9048
11872	2	5216
11873	2	6245
11874	2	5347
11875	2	5319
11876	2	5794
11917	2	1843
11918	2	1405
11919	2	2045
11920	2	1807
11921	2	2147
11922	2	2414
11923	2	915
11924	2	887
11925	2	10487
11926	2	6650
11927	2	7785
11928	2	5629
11929	2	11920
11930	2	9187
11931	2	5217
11932	2	6281
11933	2	4550
11934	2	6015
11935	2	4830
11936	2	3277
11947	2	1122
11948	2	10853
11949	2	6789
11950	2	19925
11951	2	8281
11952	2	7693
11953	2	5275
11954	2	3265
11955	2	11233
11956	2	7040
11957	2	6530
11958	2	13688
11959	2	11493
11960	2	9590
11961	2	6143
11962	2	10008
11963	2	5251
11964	2	5700
11966	2	768
11987	2	651
11988	2	1087
11989	2	1452
11990	2	1316
11991	2	1670
11992	2	1197
11993	2	533
11994	2	653
11995	2	3533
11996	2	2091
11997	2	1880
11998	2	2725
11999	2	3915
12000	2	9483
12001	2	6464
12002	2	8097
12003	2	5841
12004	2	4462
12005	2	9032
12006	2	11955
12257	2	20637
12258	2	20086
12259	2	13393
12260	2	13570
12261	2	20590
12262	2	17351
12263	2	17484
12264	2	12154
12265	2	20629
12266	2	12550
12267	2	10007
12268	2	18499
12269	2	13127
12270	2	24577
12271	2	14133
12272	2	27563
12273	2	26013
12274	2	31379
12275	2	26622
12276	2	41116
12277	2	29341
12278	2	3720
12279	2	3544
12280	2	4553
12281	2	4874
12282	2	3542
12283	2	3073
12284	2	4340
12285	2	3920
12286	2	3120
12287	2	3045
12288	2	45974
12289	2	32583
12290	2	48978
12291	2	40812
12292	2	51262
12293	2	43603
12294	2	63638
12295	2	44263
12296	2	69807
12297	2	49487
12298	2	3277
12299	2	3867
12300	2	2635
12301	2	2294
12302	2	3814
12303	2	3419
12304	2	2538
12305	2	2664
12306	2	3984
12307	2	3657
12314	2	51601
12315	2	19953
12316	2	61086
12317	2	56178
12318	2	67936
12319	2	54115
12320	2	40641
12321	2	36934
12322	2	33874
12323	2	33641
12324	2	2960
12325	2	2117
12326	2	2822
12327	2	2136
12328	2	1959
12329	2	2104
12330	2	2404
12331	2	3477
12339	2	3277
12340	2	2863
12341	2	2896
12342	2	2655
12343	2	2393
12344	2	2487
12345	2	2163
12346	2	2555
12347	2	2136
12348	2	3196
12349	2	2925
12350	2	2664
12351	2	2600
12352	2	2938
12353	2	2330
12354	2	2790
12355	2	2580
12356	2	2018
12357	2	1969
12358	2	1664
12359	2	1308
12360	2	1695
12361	2	1831
12362	2	1138
12363	2	3340
12364	2	2678
12365	2	2539
12366	2	1842
12367	2	1742
12368	2	1151
12369	2	1488
12370	2	2062
12371	2	2423
12372	2	2172
12373	2	2103
12374	2	1906
12375	2	1260
12376	2	1471
12377	2	1111
12378	2	1459
12379	2	2422
12380	2	2591
12381	2	2174
12382	2	2118
12383	2	1932
12384	2	2233
12387	2	1654
12388	2	2100
12389	2	1928
12392	2	1687
12393	2	1036
12394	2	1035
12395	2	1189
12396	2	957
12397	2	1010
12398	2	950
12399	2	2070
12400	2	1948
12401	2	1780
12402	2	1758
12403	2	1825
12429	2	6441
12430	2	22804
12431	2	25929
12432	2	24677
12433	2	25176
12434	2	9414
12435	2	8200
12436	2	34524
12437	2	28889
12453	2	12806
12454	2	9246
12455	2	4092
12456	2	8167
12457	2	13581
12458	2	8533
12459	2	12545
12460	2	13718
12461	2	6743
12462	2	5000
12463	2	16625
12464	2	6090
12465	2	14140
12466	2	17879
12467	2	10082
12468	2	10469
12469	2	8007
12470	2	3700
12471	2	5148
12472	2	12973
12473	2	18044
12474	2	13687
12475	2	15718
12476	2	10185
12477	2	7453
12478	2	5095
12479	2	4729
12480	2	19852
12481	2	8081
12482	2	15027
12488	2	3431
12489	2	2775
12490	2	1807
12491	2	2331
12492	2	3775
12493	2	1904
12494	2	964
12495	2	780
12496	2	6252
12497	2	8072
12498	2	6981
12499	2	5837
12500	2	7041
12501	2	6465
12502	2	8029
12503	2	6726
12504	2	2580
12505	2	3947
12506	2	2840
12507	2	4472
12508	2	3738
12509	2	3644
12510	2	2308
12511	2	2466
12512	2	3935
12515	2	3824
12517	2	3095
12518	2	1922
12519	2	2377
12520	2	3011
12521	2	3240
12522	2	2523
12523	2	2860
12524	2	2995
12525	2	3007
12526	2	2007
12527	2	2645
12528	2	2785
12529	2	2767
12762	2	3117
12763	2	2824
12764	2	2016
12765	2	2448
12766	2	2966
12767	2	2529
12768	2	1676
12769	2	2682
12770	2	2983
12771	2	2861
12772	2	8675
12773	2	6270
12774	2	9811
12775	2	5495
12776	2	13901
12777	2	1862
12778	2	2421
12779	2	2552
12780	2	6577
12781	2	4564
12782	2	7597
12783	2	2200
12784	2	1826
12785	2	1917
12786	2	2907
12787	2	2592
12788	2	4307
12789	2	9068
12790	2	3081
12791	2	2618
12792	2	2554
12793	2	2561
12794	2	3175
12795	2	3475
12796	2	1770
12797	2	2161
12798	2	20255
12799	2	17951
12800	2	13781
12801	2	36204
12802	2	35422
12803	2	28808
12804	2	25802
12805	2	24674
12806	2	24670
12807	2	21197
12808	2	1852
12809	2	1211
12810	2	1227
12811	2	1494
12812	2	1001
12813	2	1380
12814	2	1422
12815	2	1220
12816	2	1434
12817	2	1812
12819	2	9843
12820	2	15171
12821	2	13140
12822	2	6370
12823	2	8522
12824	2	8688
12825	2	16688
12826	2	22299
12827	2	21686
12828	2	14519
12829	2	16708
12830	2	14626
12831	2	8352
12832	2	13363
12833	2	10681
12834	2	25052
12835	2	28010
12836	2	25928
12837	2	18544
12838	2	20286
12840	2	2576
12841	2	3897
12842	2	2055
12843	2	3195
12844	2	4459
12845	2	2300
12846	2	3354
12847	2	2171
12848	2	2399
12849	2	2094
12850	2	1933
12851	2	2068
12852	2	5156
12853	2	3968
12854	2	4584
12855	2	4298
12856	2	3836
12857	2	2317
12858	2	2245
12859	2	1662
12860	2	37588
12861	2	20394
12862	2	11494
12863	2	27959
12864	2	30795
12865	2	14220
12866	2	40756
12867	2	26958
12868	2	27178
12869	2	40516
12870	2	2377
12871	2	2278
12872	2	2619
12873	2	1861
12874	2	1705
12875	2	2139
12876	2	1824
12877	2	2338
12878	2	1316
12879	2	1548
12880	2	27661
12881	2	23119
12882	2	31589
12883	2	26153
12884	2	25719
12885	2	40474
12886	2	35064
12887	2	27271
12888	2	44270
12889	2	49207
12890	2	1966
12891	2	2023
12892	2	1801
12893	2	1476
12894	2	1356
12895	2	1726
12896	2	3852
12897	2	3272
12898	2	3141
12899	2	1597
12940	2	9758
12941	2	8705
12942	2	17477
12943	2	8030
12944	2	7961
12945	2	11521
12946	2	13567
12947	2	14491
12948	2	26774
12950	2	28194
12951	2	39259
12952	2	24930
12953	2	24810
12954	2	39253
12955	2	32875
12956	2	28625
12957	2	41094
12958	2	21390
