id	genus	species	subspecies	locality	country
14829	Ambystoma	texanum		Waco	USA
14830	Ambystoma	texanum		Waco	USA
14831	Ambystoma	texanum		Waco	USA
14832	Ambystoma	texanum		Waco	USA
14833	Ambystoma	texanum		Waco	USA
14834	Ambystoma	texanum		Waco	USA
14835	Ambystoma	texanum		Waco	USA
14836	Ambystoma	texanum		Waco	USA
14837	Ambystoma	texanum		Waco	USA
14838	Ambystoma	texanum		Waco	USA
14839	Ambystoma	texanum		Waco	USA
14840	Ambystoma	texanum		Waco	USA
14841	Ambystoma	texanum		Waco	USA
14842	Ambystoma	texanum		Waco	USA
14843	Ambystoma	texanum		Waco	USA
14844	Ambystoma	texanum		Mexico	USA
14845	Ambystoma	texanum		Mexico	USA
14846	Ambystoma	texanum		Mexico	USA
14847	Ambystoma	texanum		Mexico	USA
14848	Ambystoma	texanum		Mexico	USA
14849	Ambystoma	texanum		Mexico	USA
14851	Ambystoma	texanum		Mexico	USA
14852	Ambystoma	texanum		Mexico	USA
14853	Ambystoma	texanum		Mexico	USA
14854	Ambystoma	texanum		Mexico	USA
14855	Ambystoma	texanum		Mexico	USA
14856	Ambystoma	texanum		Mexico	USA
14857	Ambystoma	texanum		Mexico	USA
14858	Ambystoma	texanum		Mexico	USA
14799	Ambystoma	tigrinum	mavortium	Cassoday	USA
14800	Ambystoma	tigrinum	mavortium	Cassoday	USA
14801	Ambystoma	tigrinum	mavortium	Cassoday	USA
14802	Ambystoma	tigrinum	mavortium	Cassoday	USA
14803	Ambystoma	tigrinum	mavortium	Cassoday	USA
14804	Ambystoma	tigrinum	mavortium	Cassoday	USA
14805	Ambystoma	tigrinum	mavortium	Cassoday	USA
14806	Ambystoma	tigrinum	mavortium	Cassoday	USA
14807	Ambystoma	tigrinum	mavortium	Cassoday	USA
14808	Ambystoma	tigrinum	mavortium	Cassoday	USA
14809	Ambystoma	tigrinum	mavortium	Cassoday	USA
14810	Ambystoma	tigrinum	mavortium	Cassoday	USA
14811	Ambystoma	tigrinum	mavortium	Cassoday	USA
14812	Ambystoma	tigrinum	mavortium	Cassoday	USA
14813	Ambystoma	tigrinum	mavortium	Cassoday	USA
14814	Ambystoma	tigrinum	mavortium	Grand Island	USA
14815	Ambystoma	tigrinum	mavortium	Grand Island	USA
14816	Ambystoma	tigrinum	mavortium	Grand Island	USA
14817	Ambystoma	tigrinum	mavortium	Grand Island	USA
14818	Ambystoma	tigrinum	mavortium	Grand Island	USA
14819	Ambystoma	tigrinum	mavortium	Grand Island	USA
14820	Ambystoma	tigrinum	mavortium	Grand Island	USA
14821	Ambystoma	tigrinum	mavortium	Grand Island	USA
14822	Ambystoma	tigrinum	mavortium	Grand Island	USA
14823	Ambystoma	tigrinum	mavortium	Grand Island	USA
14824	Ambystoma	tigrinum	mavortium	Grand Island	USA
14825	Ambystoma	tigrinum	mavortium	Grand Island	USA
14826	Ambystoma	tigrinum	mavortium	Grand Island	USA
14827	Ambystoma	tigrinum	mavortium	Grand Island	USA
14828	Ambystoma	tigrinum	mavortium	Grand Island	USA
14202	Andrias	davidianus		Not_Applicable	Poland
14203	Andrias	davidianus		Not_Applicable	Poland
14204	Andrias	davidianus		Not_Applicable	Poland
14205	Andrias	davidianus		Not_Applicable	Poland
14206	Andrias	davidianus		Not_Applicable	Poland
14207	Andrias	davidianus		Not_Applicable	Poland
14208	Andrias	davidianus		Not_Applicable	Poland
14209	Andrias	davidianus		Not_Applicable	Poland
14210	Andrias	davidianus		Not_Applicable	Poland
14211	Andrias	davidianus		Not_Applicable	Poland
14212	Andrias	davidianus		Not_Applicable	Poland
14213	Andrias	davidianus		Not_Applicable	Poland
14214	Andrias	davidianus		Not_Applicable	Poland
14215	Andrias	davidianus		Not_Applicable	Poland
14216	Andrias	davidianus		Not_Applicable	Poland
14859	Batrachoseps	attenuatus		San Rafael1	USA
14860	Batrachoseps	attenuatus		San Rafael1	USA
14861	Batrachoseps	attenuatus		San Rafael1	USA
14862	Batrachoseps	attenuatus		San Rafael1	USA
14863	Batrachoseps	attenuatus		San Rafael1	USA
14864	Batrachoseps	attenuatus		San Rafael1	USA
14865	Batrachoseps	attenuatus		San Rafael1	USA
14866	Batrachoseps	attenuatus		San Rafael1	USA
14867	Batrachoseps	attenuatus		San Rafael1	USA
14868	Batrachoseps	attenuatus		San Rafael1	USA
14869	Batrachoseps	attenuatus		San Rafael1	USA
14870	Batrachoseps	attenuatus		San Rafael1	USA
14871	Batrachoseps	attenuatus		San Rafael1	USA
14872	Batrachoseps	attenuatus		San Rafael1	USA
14873	Batrachoseps	attenuatus		San Rafael1	USA
14874	Batrachoseps	attenuatus		San Rafael2	USA
14875	Batrachoseps	attenuatus		San Rafael2	USA
14876	Batrachoseps	attenuatus		San Rafael2	USA
14877	Batrachoseps	attenuatus		San Rafael2	USA
14878	Batrachoseps	attenuatus		San Rafael2	USA
14879	Batrachoseps	attenuatus		San Rafael2	USA
14880	Batrachoseps	attenuatus		San Rafael2	USA
14881	Batrachoseps	attenuatus		San Rafael2	USA
14882	Batrachoseps	attenuatus		San Rafael2	USA
14883	Batrachoseps	attenuatus		San Rafael2	USA
14884	Batrachoseps	attenuatus		San Rafael2	USA
14885	Batrachoseps	attenuatus		San Rafael2	USA
14886	Batrachoseps	attenuatus		San Rafael2	USA
14887	Batrachoseps	attenuatus		San Rafael2	USA
14888	Batrachoseps	attenuatus		San Rafael2	USA
14889	Batrachoseps	nigriventris		Mugu State Park	USA
14890	Batrachoseps	nigriventris		Mugu State Park	USA
14891	Batrachoseps	nigriventris		Mugu State Park	USA
14892	Batrachoseps	nigriventris		Mugu State Park	USA
14893	Batrachoseps	nigriventris		Mugu State Park	USA
14894	Batrachoseps	nigriventris		Mugu State Park	USA
14896	Batrachoseps	nigriventris		Mugu State Park	USA
14897	Batrachoseps	nigriventris		Mugu State Park	USA
14898	Batrachoseps	nigriventris		Mugu State Park	USA
14899	Batrachoseps	nigriventris		Mugu State Park	USA
14900	Batrachoseps	nigriventris		Mugu State Park	USA
14901	Batrachoseps	nigriventris		Mugu State Park	USA
14902	Batrachoseps	nigriventris		Mugu State Park	USA
14904	Batrachoseps	nigriventris		Mugu State Park	USA
14905	Batrachoseps	nigriventris		Mugu State Park	USA
14907	Batrachoseps	nigriventris		Mugu State Park	USA
14908	Batrachoseps	nigriventris		Mugu State Park	USA
14909	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14910	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14911	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14912	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14913	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14914	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14915	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14916	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14917	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14918	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14919	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14920	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14921	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14922	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
14923	Batrachoseps	nigriventris		Stunt Ranch Reserve	USA
12339	Hydromantes	italicus		Borgo a Mozzano	Italy
12340	Hydromantes	italicus		Borgo a Mozzano	Italy
12341	Hydromantes	italicus		Borgo a Mozzano	Italy
12342	Hydromantes	italicus		Borgo a Mozzano	Italy
12343	Hydromantes	italicus		Borgo a Mozzano	Italy
12344	Hydromantes	italicus		Borgo a Mozzano	Italy
12345	Hydromantes	italicus		Borgo a Mozzano	Italy
12346	Hydromantes	italicus		Borgo a Mozzano	Italy
12347	Hydromantes	italicus		Borgo a Mozzano	Italy
12348	Hydromantes	italicus		Borgo a Mozzano	Italy
12349	Hydromantes	italicus		Borgo a Mozzano	Italy
12350	Hydromantes	italicus		Borgo a Mozzano	Italy
12351	Hydromantes	italicus		Borgo a Mozzano	Italy
12352	Hydromantes	italicus		Borgo a Mozzano	Italy
12353	Hydromantes	italicus		Borgo a Mozzano	Italy
12354	Hydromantes	italicus		Borgo a Mozzano	Italy
12355	Hydromantes	italicus		Borgo a Mozzano	Italy
12371	Hydromantes	italicus		Vaiano	Italy
12372	Hydromantes	italicus		Vaiano	Italy
12373	Hydromantes	italicus		Vaiano	Italy
12374	Hydromantes	italicus		Vaiano	Italy
12375	Hydromantes	italicus		Vaiano	Italy
12376	Hydromantes	italicus		Vaiano	Italy
12377	Hydromantes	italicus		Vaiano	Italy
12378	Hydromantes	italicus		Vaiano	Italy
12379	Hydromantes	italicus		Vaiano	Italy
12380	Hydromantes	italicus		Vaiano	Italy
12381	Hydromantes	italicus		Vaiano	Italy
12382	Hydromantes	italicus		Vaiano	Italy
12383	Hydromantes	italicus		Vaiano	Italy
12384	Hydromantes	italicus		Vaiano	Italy
12387	Hydromantes	italicus		Vaiano	Italy
12388	Hydromantes	italicus		Vaiano	Italy
12356	Hydromantes	strinatii		Preli	Italy
12357	Hydromantes	strinatii		Preli	Italy
12358	Hydromantes	strinatii		Preli	Italy
12359	Hydromantes	strinatii		Preli	Italy
12360	Hydromantes	strinatii		Preli	Italy
12361	Hydromantes	strinatii		Preli	Italy
12362	Hydromantes	strinatii		Preli	Italy
12363	Hydromantes	strinatii		Preli	Italy
12364	Hydromantes	strinatii		Preli	Italy
12365	Hydromantes	strinatii		Preli	Italy
12366	Hydromantes	strinatii		Preli	Italy
12367	Hydromantes	strinatii		Preli	Italy
12368	Hydromantes	strinatii		Preli	Italy
12369	Hydromantes	strinatii		Preli	Italy
12370	Hydromantes	strinatii		Preli	Italy
12389	Hydromantes	strinatii		Calice Ligure	Italy
12392	Hydromantes	strinatii		Calice Ligure	Italy
12393	Hydromantes	strinatii		Calice Ligure	Italy
12394	Hydromantes	strinatii		Calice Ligure	Italy
12395	Hydromantes	strinatii		Calice Ligure	Italy
12396	Hydromantes	strinatii		Calice Ligure	Italy
12397	Hydromantes	strinatii		Calice Ligure	Italy
12398	Hydromantes	strinatii		Calice Ligure	Italy
