locality,country,latitude,n_s,longitude,e_w
Unknown,Unknown,0,N,0,E
Archangelos,Greece,41.0870018,N,22.29999924,E
Bjeloši1,Montenegro,42.36800003,N,18.88800049,E
Bjeloši2,Montenegro,42.37400055,N,18.90699959,E
Blato,Serbia,43.30099869,N,20.72999954,E
Borovan,Bulgaria,43.4090004,N,23.7689991,E
Borovitsa,Bulgaria,43.59000015,N,22.77000046,E
Borsh,Albania,40.04999924,N,19.85000038,E
Debreste,Macedonia,41.5019989,N,21.29299927,E
Djurinci1,Serbia,44.51200104,N,20.63199997,E
Djurinci2,Serbia,44.49399948,N,20.65299988,E
Duboka,Serbia,44.56900024,N,21.76600075,E
Akcat Merkez,Turkey,40.62042999,N,29.61846924,E
Aleksandrovo,Bulgaria,42.60189819,N,25.09939957,E
Dzembronia,Ukraine,48.06999969,N,24.62000084,E
Efkarpia,Greece,41.05199814,N,22.89800072,E
Fushë-Krujë,Albania,41.52899933,N,19.68199921,E
Garnikovo1,Macedonia,41.27700043,N,22.05999947,E
Gjirokastër,Albania,40.09899902,N,20.12400055,E
Golesh,Bulgaria,43.04600143,N,22.9470005,E
Gorno Srpci,Macedonia,41.0719986,N,21.21899986,E
Gostivar,Macedonia,41.81700134,N,20.89900017,E
Gracen,Albania,41.1570015,N,19.9489994,E
Grza,Serbia,43.89699936,N,21.64599991,E
Gur i Zi,Albania,42.2840004,N,19.56900024,E
Gura Haitii1,Romania,47.19060135,N,25.23740005,E
Gura Haitii2,Romania,47.19820023,N,25.26539993,E
Gura Haitii3,Romania,47.19350052,N,25.25489998,E
Gura Haitii4,Romania,47.20890045,N,25.27599907,E
Harlets,Bulgaria,43.71099854,N,23.84199905,E
Inauţ,Romania,47.52539825,N,24.91300011,E
Izvor,Macedonia,41.52099991,N,21.70999908,E
Jezero,Serbia,43.88999939,N,21.90099907,E
Kavajë,Albania,41.16799927,N,19.55599976,E
Kolibari,Macedonia,41.58000183,N,20.95100021,E
Kolsh,Albania,42.0719986,N,20.32600021,E
El Ballestero,Spain,38.842,N,-2.455,W
Ercina Lake,Spain,43.267,N,-4.981,W
Evora,Portugal,38.535,N,-8.0006,W
Hoyo de Manzanares,Spain,40.597963,N,-3.920767,W
Jublain,France,48.25999832,N,-0.49000001,W
La Manjoya,Spain,43.333542,N,-5.868313,W
Lamuño,Spain,43.562837,N,-6.199628,W
Leicester,UK,52.63333511,N,-1.116666675,W
Llerandi,Spain,43.31,N,-5.2111,W
Llerena,Spain,38.22000122,N,-6.050000191,W
Lloroza Lake,Spain,43.16,N,-4.811,W
Mayenne,France,48.29999924,N,-0.600000024,W
Minas dos Carris,Portugal,41.8148,N,-8.0459,W
Monchique,Portugal,37.217,N,-8.533,W
Navia,Spain,43.53651,N,-6.718959,W
Ourense,Spain,42.336,N,-7.864,W
Pelahustán,Spain,40.16999817,N,-4.590000153,W
Valdemanco,Spain,40.8533,N,-3.645,W
Kovacica,Serbia,45.14099884,N,20.56100082,E
Porto,Portugal,41.153,N,-8.6421,W
Kraków,Poland,50.06129837,N,19.92009926,E
Krempna,Poland,49.47359848,N,21.47520065,E
Krivi Vir,Serbia,43.80099869,N,21.76099968,E
Lera,Macedonia,41.10100174,N,21.16799927,E
Leskoec,Macedonia,40.9620018,N,20.88500023,E
Ljesane,Kosovo,42.64099884,N,20.42499924,E
Ljuberadja,Serbia,43.0320015,N,22.39500046,E
Loznani,Macedonia,41.22100067,N,21.44599915,E
Lushnjë,Albania,41,N,19.66399956,E
Majdanpek,Serbia,44.43399811,N,21.97400093,E
Medjuhana,Serbia,43.29000092,N,21.30699921,E
Nova Varoš,Serbia,43.43000031,N,19.82799911,E
Omalo,Greece,40.89199829,N,22.41300011,E
Opovo,Serbia,45.06100082,N,20.43600082,E
Orik,Albania,40.31000137,N,19.45800018,E
Ostar Kamak,Bulgaria,41.87900162,N,25.85300064,E
Pefkodasos,Greece,41.02999878,N,22.57999992,E
Penteleu3,Romania,45.60630035,N,26.34770012,E
Plopu2,Romania,45.04999924,N,26.14999962,E
Promaja,Serbia,42.6780014,N,22.35700035,E
Pythio,Greece,40.0890007,N,22.20800018,E
R’zanicino,Macedonia,41.91400146,N,21.64299965,E
Rtanj,Serbia,43.77199936,N,21.93199921,E
Rzyki,Poland,49.77560043,N,19.39520073,E
Sighişoara,Romania,46.19179916,N,24.75600052,E
Sisevac,Serbia,43.95700073,N,21.58399963,E
Sopik,Albania,39.7820015,N,20.06999969,E
Strâmba,Romania,47.24760056,N,24.65309906,E
Tazlău,Romania,46.73180008,N,26.47480011,E
Trilofos,Greece,40.35800171,N,22.47699928,E
Vlasi2,Serbia,42.9980011,N,22.63800049,E
Voina,Romania,45.43939972,N,25.04640007,E
Vrtovac,Serbia,43.40399933,N,22.45000076,E
Xërze,Kosovo,42.3409996,N,20.57299995,E
Žabari,Serbia,44.35800171,N,21.1970005,E
Zli Dol,Serbia,42.42200089,N,22.45299911,E
Zlot,Serbia,44.01100159,N,21.96699905,E
Saes,Romania,46.1558,N,24.7683,E
Mihai Bravu,Romania,44.95,N,28.65,E
Kraków2,Poland,50.03993,N,19.91671,E
Yalnizçam,Turkey,41.3333321,N,31.64999962,E
Tazlău17,Romania,46.684,N,26.326,E
Preli,Italy,44.4353,N,9.0567,E
Calice Ligure,Italy,44.2017,N,8.3147,E
Alemdar,Turkey,41.02288818,N,29.2717495,E
Ambleteuse,France,50.77999878,N,1.610000014,E
Ano Kalliniki,Greece,40.85440063,N,21.45059967,E
Ano Pedina,Greece,39.86339951,N,20.70899963,E
Archontochori,Greece,38.6969986,N,21.03930092,E
Arieseni,Romania,46.46530151,N,22.78339958,E
Bahceli,Turkey,39.66419601,N,26.39180565,E
Bakuriani,Georgia,41.72999954,N,43.52999878,E
Barban1,Croatia,45.06349945,N,14.00959969,E
Vilkovo,Ukraine,45.4,N,29.6,E
Bátászek,Hungary,46.20000076,N,18.82349968,E
Bixad,Romania,46.11100006,N,25.91530037,E
Bliznatsi,Bulgaria,43.02099991,N,27.8220005,E
Bogdana,Romania,47.02750015,N,23.03070068,E
Bolătău,Romania,46.64179993,N,26.37630081,E
Brădătel,Romania,47.4905014,N,26.17779922,E
