family	genus	species	gen_abr1	sp_abr1	sp_abr2
Ambystomatidae	Ambystoma	texanum	Amb	Amb_tex	A_tex
Ambystomatidae	Ambystoma	tigrinum	Amb	Amb_tig	A_tig
Cryptobranchidae	Andrias	davidianus	And	And_dav	A_dav
Plethodontidae	Batrachoseps	attenuatus	Bat	Bat_att	B_att
Plethodontidae	Batrachoseps	nigriventris	Bat	Bat_nig	B_nig
Plethodontidae	Desmognathus	fuscus	Des	Des_fus	D_fus
Plethodontidae	Eurycea	bislineata	Eur	Eur_bis	E_bis
Plethodontidae	Hydromantes	italicus	Hyd	Hyd_ita	H_ita
Plethodontidae	Hydromantes	strinatii	Hyd	Hyd_stri	H_str
Hynobiidae	Hynobius	leechii	Hyn	Hyn_lee	H_lee
Hynobiidae	Hynobius	retardatus	Hyn	Hyn_ret	H_ret
Hynobiidae	Hynobius	tokyoensis	Hyn	Hyn_tok	H_tok
Salamandridae	Ichthyosaura	alpestris	Ich	Ich_alp	I_alp
Plethodontidae	Karsenia	koreana	Kar	Kar_kor	K_kor
Salamandridae	Lissotriton	boscai	Lis	Lis_bos	L_bos
Salamandridae	Lissotriton	helveticus	Lis	Lis_hel	L_hel
Salamandridae	Lissotriton	italicus	Lis	Lis_ita	L_ita
Salamandridae	Ommatotriton	nesterovi	Omm	Omm_nes	O_nes
Salamandridae	Ommatotriton	ophryticus	Omm	Omm_oph	O_oph
Plethodontidae	Plethodon	cinereus	Pth	Plet_cin	P_cin
Salamandridae	Pleurodeles	waltl	Ple	Pleu_wal	P_wal
Proteidae	Proteus	anguinus	Pro	Prot_ang	P_ang
Salamandridae	Salamandra	salamandra	Sal	Sal_sal	S_sal
Salamandridae	Triturus	cristatus	Tri	Tri_cri	T_cri
Salamandridae	Triturus	dobrogicus	Tri	Tri_dob	T_dob
Salamandridae	Triturus	ivanbureschi	Tri	Tri_iva	T_iva
Salamandridae	Triturus	karelinii	Tri	Tri_kar	T_kar
Salamandridae	Triturus	macedonicus	Tri	Tri_mac	T_mac
Salamandridae	Triturus	marmoratus	Tri	Tri_mar	T_mar
Salamandridae	Triturus	pygmaeus	Tri	Tri_pyg	T_pyg
